generation,meanFitness,bestFitness,diversity
0,0.502880,0.569444,0.505500
10,0.577232,0.652832,0.449500
20,0.633036,0.687901,0.434000
30,0.665881,0.711467,0.368500
40,0.692316,0.732932,0.325500
50,0.703938,0.736601,0.323500
60,0.708044,0.737828,0.335000
70,0.713866,0.740873,0.299500
80,0.713770,0.746188,0.358500
90,0.714692,0.746188,0.303500
100,0.715360,0.750927,0.352000
110,0.712700,0.746832,0.260500
120,0.712798,0.746188,0.286000
130,0.712490,0.746188,0.298500
140,0.715865,0.746188,0.353000
150,0.716242,0.746188,0.351500
160,0.713199,0.746188,0.259500
170,0.714501,0.746188,0.260000
180,0.718742,0.745947,0.279500
190,0.719696,0.746188,0.345000
200,0.719127,0.746188,0.290500
210,0.721408,0.746188,0.282500
220,0.719450,0.748705,0.259500
230,0.719490,0.746188,0.338000
240,0.719840,0.746188,0.360000
250,0.720418,0.746188,0.307500
260,0.718917,0.747350,0.334500
270,0.721262,0.746188,0.288000
280,0.719463,0.746188,0.249500
290,0.721043,0.746188,0.373000
300,0.719420,0.746188,0.330500
310,0.721261,0.746188,0.323500
320,0.719073,0.746188,0.290500
330,0.720342,0.746188,0.286000
340,0.721046,0.746188,0.255500
350,0.719983,0.746188,0.320500
360,0.717489,0.749951,0.301500
370,0.718803,0.746188,0.337000
380,0.720806,0.746188,0.344000
390,0.719833,0.746188,0.284000
400,0.722135,0.746188,0.352500
410,0.723712,0.746188,0.301000
420,0.722891,0.746188,0.399500
430,0.721445,0.746188,0.357000
440,0.718588,0.746188,0.247500
450,0.721043,0.750927,0.317500
460,0.719962,0.746188,0.343500
470,0.722397,0.746188,0.314000
480,0.722459,0.746188,0.361500
490,0.720479,0.746188,0.355500
500,0.723373,0.746188,0.340500
