generation,meanFitness,bestFitness,diversity
0,0.501673,0.580241,0.493000
10,0.581771,0.641880,0.442500
20,0.642770,0.694404,0.324500
30,0.688536,0.726302,0.194500
40,0.706784,0.732524,0.115000
50,0.718598,0.742590,0.126000
60,0.720258,0.745669,0.125500
70,0.722193,0.745669,0.104000
80,0.723740,0.747215,0.089500
90,0.724682,0.747670,0.102500
100,0.724676,0.750362,0.094500
110,0.729155,0.748816,0.091500
120,0.726111,0.748816,0.092000
130,0.729049,0.748816,0.099000
140,0.728965,0.748816,0.085000
150,0.727064,0.749607,0.083500
160,0.730513,0.748816,0.066500
170,0.730839,0.748816,0.080500
180,0.727216,0.748461,0.103500
190,0.729005,0.748816,0.086500
200,0.727648,0.748816,0.095500
210,0.730357,0.748816,0.088500
220,0.728478,0.749503,0.095500
230,0.726211,0.748816,0.079500
240,0.726246,0.748816,0.088000
250,0.726080,0.747670,0.085500
260,0.729535,0.747670,0.088500
270,0.726581,0.748006,0.101000
280,0.726470,0.748006,0.087000
290,0.726909,0.748006,0.070500
300,0.726421,0.747670,0.096000
310,0.726877,0.747670,0.087000
320,0.727359,0.750294,0.100000
330,0.726671,0.748816,0.084500
340,0.726795,0.748816,0.114000
350,0.725192,0.748816,0.101500
360,0.728469,0.748816,0.088000
370,0.729194,0.748816,0.091500
380,0.727648,0.748816,0.089000
390,0.728428,0.748816,0.089000
400,0.726961,0.748816,0.110000
410,0.728779,0.749607,0.112000
420,0.730235,0.748544,0.098000
430,0.729824,0.749607,0.087500
440,0.726968,0.751691,0.098000
450,0.728838,0.749607,0.097000
460,0.727072,0.749607,0.084000
470,0.729745,0.749607,0.090500
480,0.729128,0.749607,0.079500
490,0.727616,0.749607,0.087000
500,0.727225,0.749607,0.100000
