generation,meanFitness,bestFitness,diversity
0,0.499982,0.583655,0.504000
10,0.584532,0.641509,0.446000
20,0.628819,0.678332,0.408500
30,0.669815,0.713431,0.400000
40,0.693683,0.725862,0.272500
50,0.703137,0.735448,0.288500
60,0.705441,0.737177,0.303000
70,0.708192,0.740080,0.269500
80,0.716581,0.745422,0.218000
90,0.718283,0.745857,0.257000
100,0.723121,0.745984,0.258500
110,0.723516,0.747071,0.228000
120,0.722429,0.746944,0.270500
130,0.724433,0.748822,0.242500
140,0.726389,0.749276,0.308500
150,0.726433,0.751934,0.225500
160,0.726390,0.752988,0.192000
170,0.729257,0.753047,0.271500
180,0.728463,0.754475,0.166000
190,0.723139,0.754475,0.194000
200,0.723396,0.758346,0.153500
210,0.732383,0.754475,0.138500
220,0.732852,0.754475,0.138500
230,0.733206,0.754475,0.107500
240,0.735643,0.754348,0.102500
250,0.733425,0.754021,0.132500
260,0.735080,0.754534,0.116000
270,0.733421,0.754475,0.154500
280,0.732420,0.754475,0.217500
290,0.734389,0.754475,0.113500
300,0.733920,0.754475,0.108000
310,0.733170,0.754475,0.105500
320,0.734234,0.754475,0.145500
330,0.734740,0.754475,0.100000
340,0.733903,0.754475,0.137000
350,0.734723,0.754475,0.155000
360,0.734343,0.754475,0.121000
370,0.734228,0.754475,0.161500
380,0.734827,0.754475,0.109000
390,0.734328,0.754475,0.162500
400,0.732830,0.754475,0.153500
410,0.730887,0.754348,0.093500
420,0.726772,0.754475,0.103000
430,0.733641,0.754475,0.135000
440,0.733427,0.754475,0.163500
450,0.735267,0.754475,0.159000
460,0.735148,0.754475,0.154000
470,0.734993,0.754475,0.127500
480,0.734112,0.754475,0.177000
490,0.734678,0.755505,0.159500
500,0.731582,0.754348,0.148500
