generation,meanFitness,bestFitness,diversity
0,0.503560,0.640000,0.495500
10,0.790880,0.860000,0.294500
20,0.927000,0.990000,0.127000
30,0.976760,1.000000,0.043000
40,0.983480,1.000000,0.026500
50,0.983720,1.000000,0.025500
60,0.984640,1.000000,0.029500
70,0.984120,1.000000,0.026000
80,0.982720,1.000000,0.033500
90,0.983280,1.000000,0.037500
100,0.984920,1.000000,0.035000
110,0.982880,1.000000,0.035000
120,0.985160,1.000000,0.025500
130,0.983880,1.000000,0.031000
140,0.983520,1.000000,0.034500
150,0.984520,1.000000,0.029500
160,0.985440,1.000000,0.026500
170,0.981880,1.000000,0.035000
180,0.983320,1.000000,0.037500
190,0.983760,1.000000,0.037000
200,0.984600,1.000000,0.032000
210,0.983520,1.000000,0.028000
220,0.984520,1.000000,0.035000
230,0.987480,1.000000,0.025000
240,0.986000,1.000000,0.031000
250,0.984240,1.000000,0.024500
260,0.983880,1.000000,0.028000
270,0.985800,1.000000,0.026000
280,0.988120,1.000000,0.021500
290,0.986600,1.000000,0.031500
300,0.984920,1.000000,0.024500
310,0.985080,1.000000,0.028000
320,0.982080,1.000000,0.041500
330,0.984240,1.000000,0.035500
340,0.983560,1.000000,0.036000
350,0.984240,1.000000,0.032000
360,0.985960,1.000000,0.022500
370,0.984720,1.000000,0.026000
380,0.984480,1.000000,0.036000
390,0.983440,1.000000,0.031000
400,0.981840,1.000000,0.033000
410,0.984080,1.000000,0.030500
420,0.984720,1.000000,0.026500
430,0.983240,1.000000,0.029500
440,0.983040,1.000000,0.028500
450,0.987000,1.000000,0.025500
460,0.985480,1.000000,0.022000
470,0.983400,1.000000,0.034500
480,0.985320,1.000000,0.024500
490,0.985040,1.000000,0.034500
500,0.984600,1.000000,0.031500
