generation,meanFitness,bestFitness,diversity
0,0.505000,0.630000,0.510500
10,0.787920,0.860000,0.314500
20,0.931400,0.980000,0.121000
30,0.977440,1.000000,0.041500
40,0.984440,1.000000,0.032500
50,0.983400,1.000000,0.032500
60,0.983720,1.000000,0.033000
70,0.986320,1.000000,0.028000
80,0.985800,1.000000,0.026000
90,0.983840,1.000000,0.024000
100,0.985520,1.000000,0.030000
110,0.985720,1.000000,0.028500
120,0.984760,1.000000,0.032000
130,0.985720,1.000000,0.030000
140,0.984960,1.000000,0.027500
150,0.987680,1.000000,0.027500
160,0.986360,1.000000,0.028500
170,0.983960,1.000000,0.029000
180,0.985760,1.000000,0.030000
190,0.984680,1.000000,0.035000
200,0.986840,1.000000,0.031000
210,0.984720,1.000000,0.026500
220,0.985840,1.000000,0.030500
230,0.984520,1.000000,0.027000
240,0.986160,1.000000,0.032000
250,0.985760,1.000000,0.024000
260,0.984240,1.000000,0.023000
270,0.986240,1.000000,0.030000
280,0.987320,1.000000,0.030000
290,0.986720,1.000000,0.023000
300,0.984000,1.000000,0.033000
310,0.984120,1.000000,0.031000
320,0.986440,1.000000,0.025500
330,0.983680,1.000000,0.037000
340,0.985600,1.000000,0.023000
350,0.985680,1.000000,0.027000
360,0.983920,1.000000,0.027000
370,0.984600,1.000000,0.025000
380,0.983560,1.000000,0.029500
390,0.984160,1.000000,0.031000
400,0.985080,1.000000,0.033000
410,0.983640,1.000000,0.035000
420,0.986200,1.000000,0.033500
430,0.985680,1.000000,0.027500
440,0.986640,1.000000,0.028000
450,0.983960,1.000000,0.029500
460,0.985360,1.000000,0.028000
470,0.986720,1.000000,0.021000
480,0.984240,1.000000,0.036000
490,0.985600,1.000000,0.024000
500,0.984920,1.000000,0.026000
