generation,meanFitness,bestFitness,diversity
0,0.500400,0.670000,0.520500
10,0.801480,0.880000,0.282000
20,0.940680,0.980000,0.113500
30,0.984440,1.000000,0.029000
40,0.987960,1.000000,0.026000
50,0.985360,1.000000,0.032000
60,0.987080,1.000000,0.016000
70,0.985960,1.000000,0.030000
80,0.989080,1.000000,0.025000
90,0.988720,1.000000,0.022500
100,0.987200,1.000000,0.023000
110,0.987640,1.000000,0.027000
120,0.987240,1.000000,0.023500
130,0.988520,1.000000,0.026500
140,0.987920,1.000000,0.019000
150,0.986320,1.000000,0.023500
160,0.988280,1.000000,0.017500
170,0.988480,1.000000,0.020500
180,0.990280,1.000000,0.022500
190,0.987680,1.000000,0.024500
200,0.988840,1.000000,0.019000
210,0.985600,1.000000,0.027500
220,0.986280,1.000000,0.028500
230,0.987480,1.000000,0.030500
240,0.987440,1.000000,0.024500
250,0.987920,1.000000,0.022000
260,0.988280,1.000000,0.028000
270,0.989320,1.000000,0.023500
280,0.990480,1.000000,0.021500
290,0.990200,1.000000,0.019500
300,0.986560,1.000000,0.026000
310,0.986800,1.000000,0.027000
320,0.987280,1.000000,0.021500
330,0.987680,1.000000,0.025000
340,0.987800,1.000000,0.027000
350,0.987480,1.000000,0.024500
360,0.987000,1.000000,0.024000
370,0.988000,1.000000,0.027500
380,0.986880,1.000000,0.028500
390,0.986040,1.000000,0.024500
400,0.985720,1.000000,0.030500
410,0.986960,1.000000,0.022500
420,0.987880,1.000000,0.029000
430,0.988480,1.000000,0.027000
440,0.988280,1.000000,0.029500
450,0.986720,1.000000,0.022000
460,0.987800,1.000000,0.019500
470,0.989440,1.000000,0.027500
480,0.987400,1.000000,0.025500
490,0.989080,1.000000,0.021500
500,0.987280,1.000000,0.021500
