domain,topology,seed,within_island,between_island,pooled_exact,pooled_reconstructed,pooled_sampled_repro,pooled_published,final_best_fitness,final_mean_fitness
nk4,star_hub_out,0,0.04495184,0.12846400,0.11202988,0.11202988,0.10850000,0.10850000,0.75250688,0.72875596
nk4,star_hub_out,1,0.04961469,0.13778320,0.12043277,0.12043277,0.09150000,0.09150000,0.75874108,0.74137284
nk4,star_hub_out,2,0.06831020,0.32068960,0.27102458,0.27102458,0.30000000,0.30000000,0.75228828,0.73325967
nk4,star_hub_out,3,0.05889469,0.10960160,0.09962313,0.09962313,0.10000000,0.10000000,0.74960680,0.72722504
nk4,star_hub_out,4,0.03634122,0.04160800,0.04057157,0.04057157,0.04450000,0.04450000,0.75401667,0.73837080
nk4,star_hub_out,5,0.03606694,0.03726560,0.03702972,0.03702972,0.03000000,0.03000000,0.75668392,0.74284100
nk4,star_hub_out,6,0.09344490,0.34004960,0.29152096,0.29152096,0.24500000,0.24500000,0.76158704,0.72626769
nk4,star_hub_out,7,0.04873143,0.16008000,0.13816803,0.13816803,0.09300000,0.09300000,0.75254494,0.72887988
nk4,star_hub_out,8,0.06031837,0.17920320,0.15580819,0.15580819,0.17800000,0.17800000,0.75941352,0.72867183
nk4,star_hub_out,9,0.04701224,0.13352000,0.11649639,0.11649639,0.14950000,0.14950000,0.75964484,0.73577797
nk4,star_hub_out,10,0.05161633,0.10785920,0.09679133,0.09679133,0.07450000,0.07450000,0.76609785,0.73933933
nk4,star_hub_out,11,0.04640000,0.09128960,0.08245590,0.08245590,0.07750000,0.07750000,0.74986494,0.71370220
nk4,star_hub_out,12,0.06968653,0.29538400,0.25096964,0.25096964,0.24050000,0.24050000,0.75134561,0.72615348
nk4,star_hub_out,13,0.06165224,0.21747520,0.18681124,0.18681124,0.19200000,0.19200000,0.76037988,0.72927617
nk4,star_hub_out,14,0.08206694,0.34202080,0.29086522,0.29086522,0.33200000,0.33200000,0.75669893,0.71802459
nk4,star_hub_out,15,0.06489633,0.24166560,0.20687968,0.20687968,0.22250000,0.22250000,0.76500422,0.72475359
nk4,star_hub_out,16,0.05289306,0.18227840,0.15681703,0.15681703,0.15900000,0.15900000,0.74676876,0.72396616
nk4,star_hub_out,17,0.07527347,0.31930800,0.27128514,0.27128514,0.27050000,0.27050000,0.75189177,0.72463423
nk4,star_hub_out,18,0.07787592,0.31562080,0.26883566,0.26883566,0.26000000,0.26000000,0.74069080,0.72086305
nk4,star_hub_out,19,0.07090612,0.24951520,0.21436723,0.21436723,0.24800000,0.24800000,0.76274773,0.72531505
nk4,star_hub_out,20,0.05325714,0.16729600,0.14485462,0.14485462,0.15100000,0.15100000,0.75948872,0.73761305
nk4,star_hub_out,21,0.06200653,0.18738880,0.16271518,0.16271518,0.17500000,0.17500000,0.76931962,0.72745109
nk4,star_hub_out,22,0.07189388,0.24506240,0.21098506,0.21098506,0.18850000,0.18850000,0.75804743,0.72998220
nk4,star_hub_out,23,0.05688490,0.20596080,0.17662458,0.17662458,0.17200000,0.17200000,0.76813409,0.73645562
nk4,star_hub_out,24,0.09569796,0.39254400,0.33412851,0.33412851,0.33700000,0.33700000,0.75881565,0.72578957
nk4,star_hub_out,25,0.05705143,0.13888880,0.12278426,0.12278426,0.10950000,0.10950000,0.75854570,0.73499364
nk4,star_hub_out,26,0.09097306,0.36386480,0.31016321,0.31016321,0.31700000,0.31700000,0.76365118,0.71986445
nk4,star_hub_out,27,0.04645224,0.07864160,0.07230715,0.07230715,0.07150000,0.07150000,0.75553603,0.72841665
nk4,star_hub_out,28,0.03769633,0.03903760,0.03877365,0.03877365,0.04300000,0.04300000,0.75995248,0.74190974
nk4,star_hub_out,29,0.08321306,0.33342720,0.28418827,0.28418827,0.26700000,0.26700000,0.75431732,0.72340181
nk4,star_hub_in,0,0.07323918,0.37992080,0.31956980,0.31956980,0.33800000,0.33800000,0.73252976,0.71131273
nk4,star_hub_in,1,0.08147918,0.36314160,0.30771406,0.30771406,0.31500000,0.31500000,0.75446050,0.71870657
nk4,star_hub_in,2,0.07604245,0.36351440,0.30694361,0.30694361,0.31100000,0.31100000,0.75252732,0.72250516
nk4,star_hub_in,3,0.07190531,0.37070960,0.31190876,0.31190876,0.30600000,0.30600000,0.75951442,0.72637245
nk4,star_hub_in,4,0.07192816,0.33062160,0.27971406,0.27971406,0.28150000,0.28150000,0.74830466,0.72495586
nk4,star_hub_in,5,0.06665306,0.28659360,0.24331213,0.24331213,0.23400000,0.23400000,0.76449118,0.73153160
nk4,star_hub_in,6,0.07387592,0.26730240,0.22923855,0.22923855,0.19050000,0.19050000,0.76556105,0.73863019
