generation,leafWithinDiv,hubWithinDiv
0,0.000000,0.498539
1,0.020280,0.483910
2,0.042798,0.465453
3,0.063500,0.429159
4,0.084371,0.409437
5,0.102910,0.372122
6,0.117288,0.362180
7,0.120355,0.347551
8,0.126292,0.333151
9,0.133790,0.327494
10,0.135294,0.423771
11,0.134080,0.418351
12,0.134165,0.331918
13,0.128333,0.266931
14,0.128549,0.216131
15,0.133090,0.172931
16,0.130718,0.155641
17,0.129747,0.135812
18,0.121120,0.128808
19,0.119663,0.123151
20,0.117296,0.306082
21,0.115549,0.385486
22,0.108157,0.368751
23,0.107031,0.315200
24,0.107971,0.246702
25,0.105602,0.159984
26,0.099178,0.133788
27,0.098300,0.120792
28,0.091971,0.117241
29,0.089341,0.125159
30,0.093333,0.298547
31,0.090069,0.389429
32,0.089765,0.341355
33,0.089884,0.286416
34,0.086141,0.163151
35,0.083918,0.071078
36,0.083494,0.066686
37,0.082873,0.068416
38,0.081037,0.061551
39,0.080539,0.059151
40,0.075286,0.258686
41,0.075492,0.363731
42,0.072865,0.330139
43,0.069294,0.295363
44,0.067502,0.261290
45,0.068406,0.224351
46,0.067157,0.211118
47,0.065692,0.210057
48,0.064618,0.200514
49,0.064353,0.175559
50,0.066312,0.283951
51,0.066743,0.348090
52,0.064108,0.281094
53,0.061596,0.209118
54,0.059112,0.165241
55,0.056776,0.133853
56,0.054373,0.096873
57,0.053657,0.085102
58,0.055751,0.079322
59,0.059259,0.086180
60,0.056578,0.264433
61,0.052076,0.246824
62,0.051747,0.144727
63,0.054733,0.084906
64,0.059463,0.072963
65,0.059161,0.069902
66,0.063996,0.071012
67,0.060145,0.068890
68,0.057680,0.068073
69,0.060116,0.071951
70,0.058461,0.261649
71,0.059894,0.252098
72,0.059788,0.074237
73,0.058031,0.081127
74,0.057327,0.075363
75,0.061422,0.077951
76,0.057804,0.071233
77,0.058941,0.072759
78,0.061010,0.069469
79,0.055286,0.072873
80,0.052690,0.258212
81,0.051627,0.239339
82,0.047784,0.192931
83,0.046247,0.091567
84,0.049149,0.069151
85,0.049271,0.074914
86,0.046824,0.073518
87,0.046727,0.069453
88,0.048204,0.068245
89,0.052555,0.065567
90,0.051231,0.256188
91,0.052184,0.169469
92,0.048682,0.082384
93,0.047151,0.068808
94,0.048214,0.067241
95,0.054900,0.063404
96,0.052306,0.062898
97,0.050182,0.065845
98,0.048988,0.061020
99,0.050149,0.057527
100,0.048398,0.240482
101,0.045984,0.169176
102,0.048386,0.071127
103,0.050410,0.057298
104,0.051286,0.053992
105,0.053786,0.047837
106,0.054735,0.046792
107,0.057210,0.055894
108,0.054718,0.053910
109,0.054839,0.053233
110,0.055267,0.241845
111,0.057543,0.181633
112,0.057286,0.064473
113,0.056071,0.055682
114,0.049006,0.057265
115,0.049249,0.057763
116,0.050859,0.063127
117,0.054606,0.067151
118,0.052598,0.072563
119,0.055761,0.078539
120,0.056806,0.244547
121,0.058143,0.215763
122,0.055408,0.186065
123,0.052733,0.154947
124,0.052157,0.073943
125,0.054655,0.055853
126,0.056692,0.051241
127,0.055612,0.049714
128,0.053561,0.048531
129,0.054949,0.053861
130,0.048773,0.232441
131,0.050710,0.159216
132,0.053159,0.065592
133,0.057061,0.062245
134,0.055110,0.062661
135,0.057927,0.058922
136,0.055659,0.060857
137,0.058433,0.052882
138,0.059110,0.052416
139,0.058333,0.050294
140,0.059141,0.228433
141,0.056971,0.131184
142,0.052343,0.071322
143,0.052902,0.056335
144,0.056251,0.043812
145,0.055016,0.052139
146,0.055200,0.053322
147,0.053831,0.055429
148,0.058261,0.057714
149,0.056094,0.057371
150,0.057359,0.232392
151,0.057939,0.119951
152,0.056100,0.062033
153,0.055014,0.061690
154,0.053573,0.057869
155,0.053555,0.058637
156,0.056478,0.053535
157,0.051392,0.056400
158,0.053876,0.047127
159,0.050345,0.050359
160,0.049163,0.225518
161,0.048276,0.088996
162,0.050869,0.052931
163,0.055494,0.044449
164,0.054727,0.052514
165,0.055292,0.059224
166,0.059927,0.059061
167,0.056473,0.059649
168,0.054563,0.070245
169,0.055892,0.075992
170,0.052349,0.233624
171,0.048151,0.126759
172,0.048590,0.095102
173,0.050398,0.082833
174,0.050186,0.072547
175,0.051071,0.063110
176,0.046573,0.057437
177,0.046406,0.060400
178,0.046020,0.051224
179,0.049806,0.050735
180,0.049182,0.228522
181,0.050104,0.086865
182,0.049167,0.062555
183,0.049929,0.064359
184,0.045990,0.058988
185,0.044676,0.064522
186,0.044839,0.068318
187,0.047969,0.063412
188,0.047404,0.059633
189,0.047631,0.056351
190,0.045184,0.226922
191,0.042608,0.076057
192,0.043669,0.051935
193,0.044539,0.060253
194,0.047186,0.060931
195,0.046545,0.061943
196,0.046494,0.068220
197,0.049888,0.068000
198,0.051933,0.069216
199,0.051457,0.061755
200,0.049886,0.230620
201,0.052188,0.091959
202,0.050482,0.061763
203,0.051065,0.062098
204,0.051890,0.064416
205,0.052200,0.066702
206,0.048806,0.066424
207,0.049306,0.063233
208,0.047420,0.057682
209,0.048247,0.063812
210,0.047522,0.228449
211,0.046694,0.082669
212,0.048541,0.067861
213,0.051939,0.072376
214,0.051724,0.073943
215,0.049086,0.075657
216,0.046686,0.069673
217,0.045914,0.064596
218,0.041957,0.061943
219,0.044222,0.069355
220,0.046516,0.223314
221,0.043784,0.095771
222,0.046833,0.057927
223,0.049157,0.060531
224,0.046890,0.062180
225,0.044210,0.057845
226,0.042427,0.058294
227,0.042769,0.059347
228,0.040484,0.055078
229,0.042994,0.060971
230,0.042963,0.220661
231,0.045312,0.091755
232,0.041806,0.056441
233,0.040561,0.046824
234,0.038341,0.042694
235,0.038624,0.041437
236,0.041600,0.045453
237,0.039361,0.046955
238,0.044396,0.047371
239,0.044643,0.055265
240,0.043933,0.218792
241,0.045312,0.123543
242,0.044912,0.072571
243,0.043578,0.071388
244,0.046537,0.071706
245,0.046096,0.073927
246,0.045355,0.071649
247,0.042569,0.070514
248,0.039961,0.070310
249,0.042084,0.059698
250,0.042653,0.220841
251,0.043369,0.089233
252,0.044406,0.058890
253,0.041484,0.065731
254,0.045135,0.068678
255,0.047410,0.069135
256,0.047794,0.073788
257,0.044445,0.070302
258,0.045657,0.070890
259,0.044943,0.067216
260,0.047557,0.222824
261,0.048480,0.084441
