generation,leafWithinDiv,hubWithinDiv
0,0.000000,0.498539
1,0.020280,0.483910
2,0.042798,0.465453
3,0.063500,0.429159
4,0.084371,0.409437
5,0.102910,0.372122
6,0.117288,0.362180
7,0.120355,0.347551
8,0.126292,0.333151
9,0.133790,0.327494
10,0.204502,0.320906
11,0.247939,0.307078
12,0.202816,0.300955
13,0.154818,0.288620
14,0.143671,0.275371
15,0.148206,0.253967
16,0.139290,0.235331
17,0.129239,0.221869
18,0.125747,0.211567
19,0.123027,0.208000
20,0.194186,0.190865
21,0.270802,0.181796
22,0.217988,0.181951
23,0.162710,0.175584
24,0.134120,0.153176
25,0.127210,0.160327
26,0.118865,0.148588
27,0.112198,0.137445
28,0.108722,0.116506
29,0.104276,0.114922
30,0.168804,0.117053
31,0.246031,0.116571
32,0.223331,0.102498
33,0.198404,0.083371
34,0.169951,0.082955
35,0.121037,0.071200
36,0.114445,0.072563
37,0.108853,0.080163
38,0.106508,0.077755
39,0.102061,0.076759
40,0.165506,0.076457
41,0.257798,0.071665
42,0.246486,0.071608
43,0.226390,0.077641
44,0.214455,0.084041
45,0.170476,0.084376
46,0.145629,0.086490
47,0.118661,0.085069
48,0.093833,0.083747
49,0.090106,0.080253
50,0.139024,0.085110
51,0.184910,0.083992
52,0.117316,0.076400
53,0.093490,0.079135
54,0.087192,0.072653
55,0.087729,0.068376
56,0.083135,0.063633
57,0.082443,0.061935
58,0.079555,0.068163
59,0.076878,0.070392
60,0.121712,0.067935
61,0.168753,0.061290
62,0.137806,0.059567
63,0.110069,0.065894
64,0.079731,0.066808
65,0.069208,0.064784
66,0.069222,0.064808
67,0.067002,0.063902
68,0.065512,0.065796
69,0.065082,0.068269
70,0.111598,0.065616
71,0.134427,0.059510
72,0.086151,0.057731
73,0.058076,0.063314
74,0.058398,0.063837
75,0.061694,0.064376
76,0.061353,0.056759
77,0.065347,0.057722
78,0.069296,0.060473
79,0.065716,0.063624
80,0.110082,0.064139
81,0.127910,0.071600
82,0.088335,0.079894
83,0.073227,0.081918
84,0.065353,0.070645
85,0.064731,0.073951
86,0.062529,0.073649
87,0.057569,0.076596
88,0.060955,0.075053
89,0.063120,0.066098
90,0.108735,0.060629
91,0.126078,0.064620
92,0.118114,0.060294
93,0.092118,0.057722
94,0.078494,0.054555
95,0.073820,0.054776
96,0.068904,0.056245
97,0.064902,0.059943
98,0.061282,0.056033
99,0.059349,0.060261
100,0.107310,0.058580
101,0.120018,0.055698
102,0.103637,0.050073
103,0.091604,0.055902
104,0.089355,0.054865
105,0.072429,0.054163
106,0.067008,0.052522
107,0.069324,0.057788
108,0.061627,0.056539
109,0.061155,0.053812
110,0.107006,0.057494
111,0.141696,0.056906
112,0.087500,0.058767
113,0.067586,0.054196
114,0.061614,0.052531
115,0.059002,0.049600
116,0.055327,0.056718
117,0.058729,0.063502
118,0.054031,0.065037
119,0.056637,0.073559
120,0.103661,0.069600
121,0.129131,0.062318
122,0.096737,0.056237
123,0.079357,0.062122
124,0.060718,0.057780
125,0.060208,0.055829
126,0.061990,0.057869
127,0.060976,0.055029
128,0.056957,0.052449
129,0.059988,0.054506
130,0.100814,0.049176
131,0.137606,0.055200
132,0.114563,0.052098
133,0.083416,0.053061
134,0.073035,0.048049
135,0.070902,0.047918
136,0.069639,0.049453
137,0.066667,0.050702
138,0.062178,0.048229
139,0.058490,0.050816
140,0.098249,0.059412
141,0.125682,0.061559
142,0.113500,0.060310
143,0.095653,0.067045
144,0.071678,0.056310
145,0.068484,0.062547
146,0.064457,0.058433
147,0.062927,0.057127
148,0.062384,0.062114
149,0.058063,0.057176
150,0.094278,0.063461
151,0.106849,0.064163
152,0.081947,0.069861
153,0.063839,0.069282
154,0.056416,0.063992
155,0.055247,0.058661
156,0.055231,0.058751
157,0.049980,0.061722
158,0.052106,0.054424
159,0.051382,0.056294
160,0.087851,0.056963
161,0.125110,0.053208
162,0.079824,0.051673
163,0.057651,0.046678
164,0.060316,0.050890
165,0.058953,0.058204
166,0.058092,0.057339
167,0.055147,0.053380
168,0.054873,0.050376
169,0.053447,0.049437
170,0.086798,0.045429
171,0.128802,0.042139
172,0.113680,0.047551
173,0.103963,0.047967
174,0.087506,0.044212
175,0.065365,0.044514
176,0.057855,0.046302
177,0.058006,0.048531
178,0.052186,0.041396
179,0.056176,0.053069
180,0.088912,0.050678
181,0.129429,0.053159
182,0.110292,0.053780
183,0.081116,0.058204
184,0.081241,0.053208
185,0.075759,0.057078
186,0.062235,0.062906
187,0.058163,0.063992
188,0.058027,0.064106
189,0.058690,0.054596
190,0.091386,0.049061
191,0.145798,0.042637
192,0.126029,0.042261
193,0.112949,0.054098
194,0.084320,0.054833
195,0.066343,0.053241
196,0.063902,0.059845
197,0.060316,0.056547
198,0.057790,0.055069
199,0.052573,0.053861
200,0.074735,0.051665
201,0.101753,0.053053
202,0.099184,0.042833
203,0.091776,0.038465
204,0.076863,0.035371
205,0.071682,0.044759
206,0.064337,0.044147
207,0.063478,0.038980
208,0.061537,0.040898
209,0.061478,0.045208
210,0.073869,0.037853
211,0.106337,0.033535
212,0.109339,0.037282
213,0.096316,0.038588
214,0.070459,0.035837
215,0.061722,0.037053
216,0.060676,0.041200
217,0.057559,0.045355
218,0.053602,0.045780
219,0.054276,0.046155
220,0.069902,0.048376
221,0.091273,0.048416
222,0.073488,0.041788
223,0.061229,0.035273
224,0.050539,0.039216
225,0.049347,0.034661
226,0.046324,0.041927
227,0.047031,0.048008
228,0.043986,0.042531
229,0.048394,0.048261
230,0.066478,0.046057
231,0.094355,0.043331
232,0.080196,0.039429
233,0.063402,0.033820
234,0.052745,0.030514
235,0.049631,0.023690
236,0.049665,0.029029
237,0.046578,0.034253
238,0.047261,0.030367
239,0.049529,0.032327
240,0.067116,0.035788
241,0.094945,0.039665
242,0.079880,0.039780
243,0.066306,0.044547
244,0.052078,0.048302
245,0.051167,0.048988
246,0.048216,0.048033
247,0.045520,0.054376
248,0.043686,0.061224
249,0.045241,0.049796
250,0.063914,0.052539
251,0.095059,0.044188
252,0.089167,0.049135
253,0.085637,0.053886
254,0.075910,0.049984
255,0.058024,0.050612
256,0.053318,0.054890
257,0.050351,0.055257
258,0.048584,0.059567
259,0.047865,0.053927
260,0.049755,0.042106
261,0.059100,0.038433
