generation,meanFitness,bestFitness,pooledSampledDiv,leafWithinDiv,hubWithinDiv,betweenDiv
0,0.513032,0.581841,0.379000,0.000000,0.499314,0.484720
10,0.601082,0.655869,0.445500,0.210961,0.326049,0.482786
20,0.663837,0.713520,0.348500,0.226343,0.209992,0.385933
30,0.697630,0.737404,0.261000,0.178886,0.156286,0.305959
40,0.724643,0.750741,0.195000,0.119392,0.090833,0.219198
50,0.737865,0.756470,0.144500,0.092514,0.067820,0.180084
60,0.739725,0.758478,0.144500,0.076743,0.059233,0.145202
70,0.746568,0.761988,0.089000,0.059194,0.038220,0.128493
80,0.747103,0.761664,0.134000,0.055598,0.046441,0.129291
90,0.747119,0.761664,0.116000,0.050035,0.044767,0.129891
100,0.746752,0.761664,0.090000,0.052137,0.054392,0.129418
110,0.747180,0.761664,0.163000,0.055990,0.040024,0.122921
120,0.746003,0.761664,0.071500,0.056106,0.048669,0.068262
130,0.749268,0.761664,0.060500,0.045249,0.053869,0.053419
140,0.750356,0.761664,0.042500,0.040965,0.041331,0.043758
150,0.751138,0.761664,0.034000,0.034510,0.042147,0.038142
160,0.750923,0.761664,0.034500,0.033498,0.054188,0.039710
170,0.752923,0.761664,0.035000,0.030488,0.041314,0.034767
180,0.752187,0.761664,0.040500,0.033878,0.039698,0.037282
190,0.751561,0.761664,0.043000,0.035073,0.041029,0.038787
200,0.752090,0.761664,0.038000,0.031310,0.050988,0.036644
210,0.752501,0.761664,0.029500,0.032386,0.029135,0.033166
220,0.752038,0.761664,0.038500,0.032822,0.035371,0.033885
230,0.752513,0.761664,0.029000,0.030529,0.029984,0.031262
240,0.750097,0.761664,0.038500,0.038167,0.042024,0.042228
250,0.752753,0.761664,0.034000,0.032078,0.032800,0.034092
260,0.750975,0.761664,0.035500,0.034057,0.041535,0.037293
270,0.749339,0.761664,0.050500,0.040735,0.059461,0.046293
280,0.750406,0.761664,0.051000,0.038833,0.046645,0.042324
290,0.752070,0.761664,0.041000,0.031486,0.039429,0.034930
300,0.750980,0.761664,0.042000,0.035620,0.052335,0.041529
310,0.750941,0.761664,0.034500,0.033065,0.048531,0.037298
320,0.751631,0.761986,0.035500,0.034290,0.045682,0.040252
330,0.751758,0.761664,0.038500,0.037935,0.036588,0.040065
340,0.752334,0.761664,0.036000,0.033102,0.037249,0.035075
350,0.751790,0.761664,0.030500,0.032390,0.040057,0.034776
360,0.752871,0.761664,0.024500,0.030396,0.033976,0.032634
370,0.752195,0.761988,0.037000,0.028833,0.057020,0.035310
380,0.751903,0.761664,0.040500,0.032957,0.048808,0.037193
390,0.751292,0.761664,0.033500,0.035502,0.041845,0.038810
400,0.751223,0.761664,0.042500,0.034461,0.043837,0.037882
410,0.752136,0.761664,0.041000,0.030686,0.042939,0.034615
420,0.753492,0.761664,0.022500,0.027329,0.036939,0.030346
430,0.751330,0.761664,0.045000,0.032802,0.042890,0.035906
440,0.752703,0.761664,0.033000,0.030241,0.042082,0.034035
450,0.751024,0.761664,0.050500,0.034351,0.057045,0.040113
460,0.749927,0.761664,0.034500,0.037861,0.046294,0.041088
470,0.749352,0.761664,0.035500,0.045461,0.051061,0.049407
480,0.750356,0.761664,0.042000,0.039273,0.040767,0.043733
490,0.749278,0.761664,0.045500,0.041092,0.052261,0.047935
500,0.751712,0.761664,0.040000,0.035494,0.048743,0.041824
