generation,meanFitness,bestFitness,pooledSampledDiv,leafWithinDiv,hubWithinDiv,betweenDiv
0,0.513032,0.581841,0.379000,0.000000,0.499314,0.484720
10,0.602697,0.655869,0.467000,0.210961,0.414082,0.471033
20,0.668952,0.715068,0.344000,0.225449,0.287486,0.382258
30,0.708104,0.742692,0.200000,0.162959,0.196114,0.277267
40,0.730521,0.752238,0.217000,0.102380,0.160335,0.229978
50,0.733466,0.754098,0.169500,0.104033,0.142220,0.206970
60,0.737841,0.756279,0.184500,0.090324,0.122212,0.198128
70,0.743820,0.759194,0.099500,0.071208,0.062751,0.103275
80,0.747580,0.759194,0.085500,0.051953,0.065208,0.096283
90,0.748487,0.759670,0.068000,0.054373,0.052751,0.093763
100,0.745949,0.759670,0.087000,0.060569,0.053371,0.085887
110,0.749608,0.759670,0.070000,0.051167,0.039633,0.067707
120,0.749549,0.759670,0.041500,0.046302,0.032694,0.051642
130,0.748994,0.759994,0.048500,0.045459,0.038131,0.051486
140,0.750273,0.759670,0.043500,0.041167,0.025159,0.043148
150,0.751937,0.759670,0.026000,0.031773,0.022514,0.031991
160,0.750314,0.759670,0.037000,0.040114,0.018686,0.036933
170,0.753092,0.759670,0.024500,0.028529,0.018678,0.027560
180,0.752218,0.759670,0.030000,0.028849,0.016490,0.027036
190,0.751660,0.759670,0.029000,0.030994,0.020147,0.029464
200,0.752398,0.759670,0.026000,0.028453,0.018661,0.027268
210,0.751831,0.759670,0.029500,0.034853,0.009902,0.031271
220,0.751427,0.759670,0.035500,0.035220,0.020318,0.034069
230,0.752000,0.759670,0.025500,0.029590,0.013943,0.027468
240,0.750962,0.759670,0.027000,0.033453,0.018180,0.031350
250,0.752225,0.759670,0.030500,0.032498,0.010702,0.029214
260,0.751227,0.759670,0.024000,0.030680,0.019208,0.029338
270,0.749923,0.759670,0.043000,0.039527,0.027967,0.038630
280,0.750524,0.759994,0.036500,0.036420,0.015371,0.033325
290,0.751762,0.759670,0.029000,0.032118,0.013527,0.030645
300,0.750771,0.759670,0.032500,0.034096,0.024384,0.033396
310,0.751349,0.759670,0.028500,0.030400,0.024784,0.029810
320,0.751687,0.759992,0.027000,0.031916,0.019420,0.029928
330,0.751409,0.759992,0.034000,0.037806,0.025331,0.036231
340,0.751548,0.759992,0.041500,0.039592,0.021624,0.038462
350,0.750372,0.759992,0.038500,0.039514,0.022824,0.040606
360,0.751572,0.759994,0.035500,0.036259,0.028604,0.040195
370,0.751487,0.759994,0.037500,0.032908,0.028245,0.036052
380,0.752124,0.759994,0.039000,0.032147,0.028718,0.037766
390,0.751111,0.759994,0.041000,0.034218,0.024833,0.039422
400,0.751396,0.759992,0.042000,0.035937,0.026539,0.041521
410,0.751340,0.759670,0.042000,0.035898,0.021739,0.040463
420,0.752392,0.759670,0.033000,0.032635,0.020865,0.035864
430,0.749612,0.759670,0.039500,0.042469,0.017927,0.040397
440,0.751714,0.759670,0.035000,0.035047,0.015045,0.033353
450,0.751915,0.759670,0.037500,0.030692,0.023094,0.029923
460,0.750249,0.759670,0.028500,0.035037,0.021184,0.033904
470,0.750403,0.759670,0.026500,0.038435,0.023151,0.036782
480,0.750804,0.759994,0.038500,0.036110,0.018229,0.033918
490,0.750207,0.759670,0.036000,0.036696,0.022800,0.035278
500,0.751857,0.759670,0.030000,0.030861,0.016776,0.030213
