generation,meanFitness,bestFitness,pooledSampledDiv,leafWithinDiv,hubWithinDiv,betweenDiv
0,0.519327,0.553420,0.459000,0.000000,0.499845,0.506800
10,0.590512,0.638361,0.401000,0.112271,0.408392,0.488074
20,0.635780,0.674169,0.436000,0.104565,0.352269,0.471829
30,0.657901,0.698086,0.350500,0.085337,0.362367,0.457433
40,0.675039,0.727787,0.445000,0.073867,0.299159,0.455545
50,0.689778,0.732417,0.405000,0.057569,0.280702,0.450169
60,0.692166,0.735996,0.425000,0.059763,0.267388,0.453661
70,0.698662,0.737582,0.444000,0.059994,0.249673,0.441807
80,0.698700,0.739552,0.409000,0.063843,0.241902,0.440825
90,0.703127,0.741350,0.368500,0.052404,0.245567,0.445597
100,0.705447,0.744211,0.383500,0.050400,0.245584,0.438730
110,0.707255,0.745497,0.335500,0.046384,0.238367,0.433699
120,0.708422,0.745497,0.390500,0.046445,0.227102,0.428731
130,0.706978,0.745497,0.381000,0.052408,0.228963,0.434001
140,0.710402,0.745497,0.413500,0.044008,0.229682,0.431411
150,0.710449,0.745497,0.345000,0.043967,0.228457,0.430133
160,0.711181,0.745497,0.424000,0.042359,0.228163,0.429587
170,0.710235,0.745497,0.416000,0.043820,0.231208,0.431849
180,0.710045,0.748573,0.406500,0.048310,0.231355,0.432754
190,0.708707,0.748580,0.365500,0.049647,0.236416,0.437093
200,0.711091,0.748573,0.391000,0.044786,0.233380,0.431382
210,0.711152,0.748573,0.438500,0.047024,0.230016,0.429833
220,0.706673,0.753309,0.368000,0.053600,0.234612,0.434876
230,0.708661,0.748580,0.332500,0.050586,0.230318,0.430535
240,0.709976,0.748573,0.434000,0.052410,0.231967,0.430898
250,0.709153,0.748580,0.392000,0.051192,0.233959,0.429681
260,0.712154,0.748580,0.291500,0.043004,0.225176,0.427749
270,0.712568,0.748580,0.316000,0.044439,0.223584,0.424318
280,0.712495,0.748580,0.358000,0.041449,0.224457,0.421366
290,0.708931,0.748580,0.440000,0.046390,0.230669,0.420474
300,0.709867,0.748580,0.345500,0.046516,0.225829,0.420235
310,0.709237,0.748580,0.363000,0.051737,0.226571,0.417760
320,0.710190,0.748580,0.320500,0.047627,0.224988,0.426682
330,0.709408,0.748580,0.365500,0.050373,0.227527,0.430622
340,0.712191,0.748580,0.300500,0.047127,0.223437,0.427663
350,0.712283,0.748580,0.360500,0.045180,0.219902,0.429501
360,0.711713,0.748580,0.362000,0.042765,0.228269,0.429973
370,0.710887,0.748580,0.331500,0.049663,0.223257,0.428636
380,0.713849,0.748580,0.356000,0.040049,0.227567,0.428196
390,0.709656,0.748580,0.362000,0.052004,0.226588,0.427427
400,0.711102,0.748580,0.362500,0.051135,0.228816,0.435614
410,0.713793,0.748580,0.262000,0.041939,0.230759,0.435928
420,0.713294,0.748580,0.350000,0.042963,0.236939,0.439681
430,0.712494,0.748580,0.376500,0.044280,0.233804,0.435561
440,0.710967,0.748580,0.374500,0.047261,0.236261,0.434313
450,0.711379,0.748580,0.421500,0.043806,0.232106,0.435142
460,0.710603,0.748580,0.380000,0.042912,0.237510,0.434254
470,0.712438,0.748580,0.296000,0.040296,0.232759,0.432190
480,0.712541,0.748580,0.369000,0.045892,0.226253,0.430218
490,0.712683,0.748580,0.331500,0.047824,0.221192,0.422174
500,0.712365,0.748580,0.330500,0.046531,0.225567,0.425498
