generation,meanFitness,bestFitness,pooledSampledDiv,leafWithinDiv,hubWithinDiv,betweenDiv
0,0.477120,0.660000,0.419000,0.000000,0.501469,0.487960
10,0.636120,0.830000,0.396500,0.172841,0.339257,0.442221
20,0.805720,0.940000,0.275500,0.160410,0.178922,0.309518
30,0.911280,0.990000,0.119000,0.094347,0.073290,0.161354
40,0.964760,1.000000,0.075500,0.054569,0.026106,0.067268
50,0.980440,1.000000,0.045500,0.039590,0.012539,0.038290
60,0.984280,1.000000,0.028500,0.035224,0.012286,0.030986
70,0.985400,1.000000,0.028000,0.031757,0.015771,0.028809
80,0.986480,1.000000,0.020000,0.031278,0.007151,0.026670
90,0.984040,1.000000,0.028500,0.035667,0.011886,0.031482
100,0.984800,1.000000,0.030500,0.034261,0.011118,0.029946
110,0.985320,1.000000,0.028500,0.031922,0.016204,0.028946
120,0.983960,1.000000,0.032500,0.035998,0.011951,0.031592
130,0.982760,1.000000,0.032500,0.037737,0.016571,0.033857
140,0.985600,1.000000,0.031500,0.032516,0.008335,0.028313
150,0.984760,1.000000,0.032500,0.034253,0.010669,0.030000
160,0.984840,1.000000,0.031500,0.034341,0.010335,0.029874
170,0.984120,1.000000,0.030500,0.035980,0.009967,0.031271
180,0.984960,1.000000,0.024000,0.033692,0.011502,0.029638
190,0.983680,1.000000,0.033500,0.036314,0.012604,0.032170
200,0.983920,1.000000,0.037500,0.036139,0.011118,0.031589
210,0.985520,1.000000,0.036500,0.030804,0.017322,0.028532
220,0.982040,1.000000,0.029500,0.039984,0.013788,0.035301
230,0.986200,1.000000,0.032500,0.030490,0.013004,0.027259
240,0.985240,1.000000,0.030500,0.033280,0.009535,0.029087
250,0.984640,1.000000,0.032500,0.033302,0.015771,0.030218
260,0.983720,1.000000,0.027500,0.036992,0.009902,0.032056
270,0.982840,1.000000,0.035000,0.039604,0.006751,0.033722
280,0.982400,1.000000,0.040500,0.039355,0.013469,0.034587
290,0.983760,1.000000,0.022500,0.036565,0.010751,0.031886
300,0.983280,1.000000,0.025000,0.036890,0.012686,0.032903
310,0.983800,1.000000,0.035000,0.035063,0.017290,0.031894
320,0.986160,1.000000,0.023500,0.031104,0.010751,0.027284
330,0.983320,1.000000,0.030500,0.036561,0.015086,0.032774
340,0.984200,1.000000,0.031000,0.035961,0.009535,0.031110
350,0.986840,1.000000,0.022500,0.029149,0.011918,0.025933
360,0.986000,1.000000,0.026000,0.032151,0.007967,0.027621
370,0.984400,1.000000,0.030000,0.034169,0.014588,0.030714
380,0.986920,1.000000,0.030000,0.029551,0.009167,0.025864
390,0.983360,1.000000,0.030500,0.036861,0.013437,0.032764
400,0.985200,1.000000,0.030000,0.032241,0.015037,0.029181
410,0.984480,1.000000,0.029000,0.033496,0.017706,0.030538
420,0.985680,1.000000,0.022500,0.032535,0.009535,0.028244
430,0.984600,1.000000,0.024500,0.033867,0.014971,0.030360
440,0.982320,1.000000,0.040000,0.039880,0.011453,0.034682
450,0.984760,1.000000,0.032000,0.034282,0.011535,0.030000
460,0.985920,1.000000,0.033500,0.031871,0.009135,0.027729
470,0.983680,1.000000,0.035500,0.036233,0.013453,0.032088
480,0.985320,1.000000,0.033500,0.033608,0.008367,0.028910
490,0.984960,1.000000,0.028500,0.033324,0.012955,0.029639
500,0.985720,1.000000,0.030500,0.032076,0.011102,0.028169
