generation,meanFitness,bestFitness,pooledSampledDiv,leafWithinDiv,hubWithinDiv,betweenDiv
0,0.474320,0.580000,0.388000,0.000000,0.497518,0.485280
10,0.672520,0.840000,0.352000,0.222586,0.230204,0.434977
20,0.901080,0.990000,0.167500,0.141531,0.097396,0.160630
30,0.977200,1.000000,0.031500,0.038645,0.056180,0.044339
40,0.985080,1.000000,0.031000,0.028657,0.029886,0.029356
50,0.984720,1.000000,0.030000,0.028280,0.034914,0.030085
60,0.984680,1.000000,0.021500,0.029288,0.031020,0.030141
70,0.984440,1.000000,0.031000,0.029355,0.033837,0.030658
80,0.986880,1.000000,0.033500,0.022112,0.040041,0.025904
90,0.985840,1.000000,0.027500,0.025002,0.038669,0.027890
100,0.984880,1.000000,0.035000,0.028398,0.032955,0.029830
110,0.984160,1.000000,0.037000,0.028773,0.038473,0.031174
120,0.983760,1.000000,0.031500,0.031824,0.029861,0.031976
130,0.986720,1.000000,0.032500,0.025882,0.026841,0.026203
140,0.984320,1.000000,0.034000,0.027590,0.041722,0.030843
150,0.984680,1.000000,0.037500,0.029198,0.032947,0.030163
160,0.985600,1.000000,0.029000,0.025439,0.038278,0.028382
170,0.986960,1.000000,0.022500,0.025182,0.026359,0.025718
180,0.987840,1.000000,0.024000,0.021363,0.033192,0.024059
190,0.984680,1.000000,0.029500,0.027708,0.037976,0.030177
200,0.986440,1.000000,0.023000,0.024982,0.033029,0.026758
210,0.983960,1.000000,0.030500,0.029071,0.040408,0.031611
220,0.984280,1.000000,0.032500,0.029171,0.036776,0.030991
230,0.985320,1.000000,0.029500,0.026733,0.036457,0.028914
240,0.984240,1.000000,0.041000,0.026196,0.048098,0.031022
250,0.985840,1.000000,0.025500,0.025876,0.034506,0.027905
260,0.985320,1.000000,0.033000,0.026696,0.036196,0.028945
270,0.986640,1.000000,0.024000,0.024882,0.031429,0.026357
280,0.987800,1.000000,0.023500,0.022145,0.030857,0.024122
290,0.987880,1.000000,0.022000,0.021743,0.031714,0.023954
300,0.984440,1.000000,0.030500,0.028880,0.035037,0.030679
310,0.984320,1.000000,0.027500,0.028096,0.039910,0.030906
320,0.984640,1.000000,0.029500,0.027339,0.040278,0.030290
330,0.985800,1.000000,0.032500,0.027629,0.028547,0.027984
340,0.985080,1.000000,0.034000,0.027280,0.036343,0.029442
350,0.984560,1.000000,0.037000,0.026894,0.040359,0.030446
360,0.984160,1.000000,0.031000,0.029590,0.034947,0.031122
370,0.984520,1.000000,0.027500,0.028229,0.037902,0.030438
380,0.984160,1.000000,0.031500,0.028602,0.038359,0.031212
390,0.983920,1.000000,0.034000,0.028718,0.041290,0.031613
400,0.983640,1.000000,0.031000,0.029435,0.041306,0.032155
410,0.984440,1.000000,0.027500,0.026837,0.043584,0.030648
420,0.986280,1.000000,0.026500,0.026663,0.026922,0.027041
430,0.986680,1.000000,0.029000,0.024529,0.031935,0.026275
440,0.986720,1.000000,0.033500,0.024343,0.032702,0.026250
450,0.985600,1.000000,0.027000,0.026937,0.032922,0.028382
460,0.985120,1.000000,0.033000,0.026520,0.039192,0.029247
470,0.985360,1.000000,0.032000,0.024335,0.045682,0.028897
480,0.984280,1.000000,0.030500,0.029541,0.035167,0.030983
490,0.987400,1.000000,0.027500,0.023606,0.028898,0.024914
500,0.984480,1.000000,0.026000,0.028255,0.038278,0.030599
