generation,meanFitness,bestFitness,pooledSampledDiv,leafWithinDiv,hubWithinDiv,betweenDiv
0,0.502000,0.590000,0.394500,0.000000,0.497698,0.515920
10,0.674160,0.830000,0.438500,0.209288,0.326637,0.424560
20,0.902760,0.950000,0.152000,0.127794,0.115265,0.156673
30,0.978240,1.000000,0.039500,0.044543,0.027135,0.042341
40,0.987600,1.000000,0.031000,0.026424,0.015004,0.024482
50,0.989040,1.000000,0.025000,0.023949,0.012318,0.021688
60,0.989200,1.000000,0.021500,0.022569,0.015404,0.021397
70,0.990160,1.000000,0.016500,0.021633,0.010351,0.019495
80,0.986560,1.000000,0.024000,0.028971,0.015086,0.026504
90,0.988480,1.000000,0.016500,0.025914,0.009535,0.022802
100,0.986800,1.000000,0.021000,0.029471,0.011404,0.026034
110,0.987160,1.000000,0.027000,0.029296,0.007902,0.025383
120,0.986320,1.000000,0.023500,0.029704,0.013886,0.027014
130,0.985720,1.000000,0.027000,0.031508,0.012457,0.028130
140,0.988680,1.000000,0.020500,0.024304,0.013518,0.022393
150,0.987640,1.000000,0.019500,0.027092,0.012702,0.024398
160,0.986600,1.000000,0.030500,0.030688,0.007151,0.026505
170,0.988280,1.000000,0.024500,0.026127,0.010669,0.023193
180,0.989560,1.000000,0.021000,0.022592,0.012073,0.020672
190,0.988680,1.000000,0.021500,0.025904,0.007151,0.022372
200,0.987680,1.000000,0.018000,0.028102,0.007951,0.024374
210,0.989280,1.000000,0.026500,0.023345,0.012269,0.021221
220,0.987400,1.000000,0.023500,0.027957,0.011102,0.024902
230,0.987440,1.000000,0.022000,0.027780,0.011902,0.024837
240,0.987320,1.000000,0.022500,0.027147,0.013118,0.025038
250,0.987760,1.000000,0.023500,0.026657,0.012718,0.024171
260,0.988000,1.000000,0.019500,0.025861,0.014286,0.023671
270,0.989120,1.000000,0.026500,0.024273,0.008784,0.021484
280,0.987040,1.000000,0.025500,0.027453,0.016457,0.025596
290,0.989360,1.000000,0.022000,0.024184,0.007118,0.021066
300,0.988280,1.000000,0.019500,0.026759,0.007502,0.023192
310,0.988400,1.000000,0.023500,0.025600,0.011069,0.022941
320,0.988000,1.000000,0.023500,0.026531,0.011037,0.023705
330,0.987920,1.000000,0.027500,0.026855,0.010686,0.023858
340,0.988880,1.000000,0.018000,0.024347,0.011918,0.022021
350,0.986720,1.000000,0.025500,0.029457,0.011151,0.026139
360,0.985200,1.000000,0.027000,0.032643,0.013657,0.029176
370,0.986360,1.000000,0.026000,0.029294,0.014620,0.026924
380,0.988040,1.000000,0.019000,0.025973,0.011902,0.023657
390,0.988480,1.000000,0.027000,0.026180,0.008686,0.022775
400,0.988120,1.000000,0.024000,0.025114,0.014490,0.023446
410,0.990080,1.000000,0.020000,0.022394,0.007567,0.019660
420,0.987680,1.000000,0.024500,0.027453,0.010335,0.024355
430,0.987080,1.000000,0.028000,0.029469,0.007551,0.025498
440,0.986680,1.000000,0.019500,0.029559,0.011437,0.026298
450,0.987560,1.000000,0.023500,0.027910,0.009886,0.024579
460,0.987400,1.000000,0.027500,0.026555,0.016939,0.024886
470,0.987960,1.000000,0.029500,0.025431,0.015608,0.023806
480,0.988920,1.000000,0.021000,0.024098,0.011371,0.021903
490,0.986360,1.000000,0.027000,0.029141,0.016604,0.026886
500,0.988360,1.000000,0.019000,0.025492,0.011771,0.022990
