generation,meanFitness,bestFitness,diversity
0,0.275,0.5,0.9919642857142857
10,0.3015625,0.5625,0.9892857142857144
20,0.312734375,0.59375,0.9897321428571427
30,0.303125,0.53125,0.9870535714285713
40,0.302578125,0.53125,0.9928571428571427
50,0.308359375,0.5625,0.9897321428571427
60,0.3075,0.5,0.9901785714285714
70,0.295859375,0.5,0.9897321428571428
80,0.306640625,0.53125,0.9897321428571427
90,0.30984375,0.59375,0.9879464285714287
100,0.307734375,0.53125,0.9816964285714285
110,0.294375,0.53125,0.9928571428571429
120,0.301328125,0.53125,0.9919642857142857
130,0.30453125,0.59375,0.990625
140,0.30703125,0.53125,0.9901785714285711
150,0.307109375,0.5,0.9919642857142856
160,0.318046875,0.5,0.9950892857142858
170,0.30125,0.5625,0.98125
180,0.30921875,0.53125,0.988392857142857
190,0.30453125,0.53125,0.9888392857142859
200,0.301171875,0.59375,0.9870535714285713
210,0.302734375,0.5,0.9883928571428573
220,0.315859375,0.5,0.9785714285714286
230,0.301015625,0.5625,0.9883928571428571
240,0.308671875,0.53125,0.9897321428571427
250,0.310859375,0.5,0.9915178571428571
260,0.310703125,0.5,0.9888392857142858
270,0.301640625,0.5,0.9888392857142858
280,0.306953125,0.5,0.9866071428571429
290,0.301171875,0.5625,0.9901785714285716
300,0.313984375,0.53125,0.9892857142857144
310,0.31578125,0.625,0.9910714285714285
320,0.299765625,0.5625,0.9870535714285715
330,0.307734375,0.5,0.9915178571428569
340,0.3059375,0.5,0.9888392857142858
350,0.306328125,0.5,0.9883928571428571
360,0.304296875,0.53125,0.9861607142857143
370,0.309453125,0.53125,0.9888392857142858
380,0.305625,0.5625,0.9883928571428573
390,0.298515625,0.5,0.990625
400,0.31265625,0.5625,0.9808035714285716
410,0.298828125,0.5,0.9892857142857142
420,0.3046875,0.53125,0.990625
430,0.3059375,0.5625,0.9834821428571427
440,0.30359375,0.5625,0.9892857142857141
450,0.30453125,0.53125,0.9870535714285712
460,0.304375,0.53125,0.9879464285714284
470,0.311953125,0.59375,0.9915178571428571
480,0.29734375,0.5,0.9897321428571431
490,0.31375,0.5625,0.9669642857142857
500,0.312734375,0.5,0.9933035714285714
