generation,meanFitness,bestFitness,diversity
0,1.2952398543901041e-2,1.639344262295082e-2,0.8962962962962961
10,1.8167431521799452e-2,2.2727272727272728e-2,0.8037037037037036
20,2.3237489281792235e-2,2.7777777777777776e-2,0.7561728395061728
30,2.7592932366436923e-2,4.1666666666666664e-2,0.5123456790123455
40,3.3746414356539856e-2,4.5454545454545456e-2,0.3648148148148148
50,3.70780054526168e-2,5.555555555555555e-2,0.42777777777777776
60,3.940952913262989e-2,6.25e-2,0.24382716049382713
70,4.501624333095602e-2,6.666666666666667e-2,0.15679012345679014
80,4.854211715964332e-2,8.333333333333333e-2,0.16234567901234567
90,5.4128616467799165e-2,0.1,0.11234567901234567
100,5.949087657660998e-2,9.090909090909091e-2,9.444444444444441e-2
110,6.340570060809586e-2,0.1111111111111111,9.074074074074076e-2
120,6.214276994888206e-2,0.1111111111111111,8.580246913580247e-2
130,6.613727919724276e-2,0.1111111111111111,7.283950617283949e-2
140,6.246705976034044e-2,0.1111111111111111,8.271604938271605e-2
150,6.399567862860964e-2,0.1111111111111111,7.65432098765432e-2
160,6.2300035236353274e-2,0.1111111111111111,8.703703703703705e-2
170,6.2301878294657526e-2,0.1111111111111111,7.407407407407408e-2
180,6.0751011292934115e-2,0.1111111111111111,8.950617283950617e-2
190,6.384279928989525e-2,0.1111111111111111,8.271604938271605e-2
200,6.2122199651371786e-2,0.1111111111111111,9.506172839506173e-2
210,6.201902313018048e-2,0.1,8.641975308641973e-2
220,6.100197632670126e-2,0.1111111111111111,9.87654320987654e-2
230,6.116298211284171e-2,0.1,8.950617283950617e-2
240,6.335726209046569e-2,0.1111111111111111,7.962962962962963e-2
250,6.2286728168594936e-2,0.1111111111111111,8.02469135802469e-2
260,6.199747017697541e-2,0.1111111111111111,7.962962962962963e-2
270,6.324309824396236e-2,0.1111111111111111,7.592592592592592e-2
280,6.296715254472533e-2,0.1,8.148148148148149e-2
290,6.319521403425711e-2,0.1111111111111111,7.716049382716048e-2
300,6.458888969329987e-2,0.1111111111111111,7.160493827160493e-2
310,6.1802051796765935e-2,0.1111111111111111,7.962962962962963e-2
320,6.160944059389936e-2,9.090909090909091e-2,7.222222222222222e-2
330,6.234204461156701e-2,0.1111111111111111,8.45679012345679e-2
340,6.200693071884527e-2,0.1111111111111111,7.839506172839505e-2
350,6.385452097361595e-2,0.1111111111111111,8.703703703703702e-2
360,6.266986090186223e-2,0.1,8.703703703703702e-2
370,6.49580211735365e-2,0.14285714285714285,9.012345679012346e-2
380,6.780015915625194e-2,0.14285714285714285,9.93827160493827e-2
390,7.340109294085698e-2,0.14285714285714285,7.716049382716048e-2
400,7.527287227306588e-2,0.14285714285714285,8.580246913580247e-2
410,8.255600287066939e-2,0.2,7.28395061728395e-2
420,8.249614130709335e-2,0.2,7.160493827160494e-2
430,8.122518967101015e-2,0.16666666666666666,8.086419753086418e-2
440,7.646392437398637e-2,0.2,7.34567901234568e-2
450,7.946368585619747e-2,0.2,7.777777777777777e-2
460,7.781874175502185e-2,0.2,8.456790123456788e-2
470,7.969987261405605e-2,0.2,7.716049382716049e-2
480,7.99307371872194e-2,0.2,7.716049382716049e-2
490,8.224909932688586e-2,0.2,7.407407407407407e-2
500,8.1771197656104e-2,0.16666666666666666,7.037037037037039e-2
