generation,meanFitness,bestFitness,diversity
0,1.2987192049088951e-2,1.5873015873015872e-2,0.9055555555555556
10,1.7546532530414348e-2,2.0833333333333332e-2,0.8271604938271604
20,2.196254477097983e-2,2.702702702702703e-2,0.7382716049382714
30,2.5617784304658327e-2,3.333333333333333e-2,0.6944444444444444
40,2.9085956148297183e-2,4.0e-2,0.6475308641975308
50,3.2479663118554804e-2,4.5454545454545456e-2,0.654320987654321
60,3.5290084926296775e-2,5.0e-2,0.6166666666666667
70,3.90301991855001e-2,6.25e-2,0.5820987654320988
80,4.2089967309273175e-2,6.25e-2,0.4981481481481482
90,4.665300081385407e-2,8.333333333333333e-2,0.50679012345679
100,4.809343894944623e-2,7.692307692307693e-2,0.3024691358024691
110,5.2042173162405676e-2,8.333333333333333e-2,0.35740740740740745
120,5.260323908588069e-2,8.333333333333333e-2,0.20123456790123453
130,5.3162217352545095e-2,8.333333333333333e-2,0.14382716049382716
140,5.484808071914185e-2,8.333333333333333e-2,0.137037037037037
150,5.5876446008380924e-2,9.090909090909091e-2,0.16296296296296292
160,5.461295494465927e-2,0.1,0.15987654320987651
170,5.656582854348713e-2,0.1,0.15617283950617283
180,5.74795054455785e-2,0.1,0.12098765432098761
190,5.750304545466966e-2,0.1,0.13209876543209875
200,5.7994629206283184e-2,9.090909090909091e-2,0.13148148148148145
210,5.660536617176394e-2,8.333333333333333e-2,0.11543209876543208
220,5.751042483419831e-2,0.1,0.11172839506172841
230,5.9245297174988554e-2,0.1,0.11481481481481481
240,5.9702956743604985e-2,0.1,0.10061728395061727
250,6.060069410088429e-2,0.1,9.567901234567901e-2
260,6.018358742333044e-2,9.090909090909091e-2,9.938271604938273e-2
270,5.747762417778832e-2,0.1,9.814814814814814e-2
280,5.900370742051665e-2,9.090909090909091e-2,0.11666666666666667
290,5.9854954298386456e-2,0.1,0.11296296296296293
300,5.810129848716901e-2,9.090909090909091e-2,0.11604938271604939
310,5.995546425445309e-2,0.1,9.259259259259259e-2
320,6.053469812958398e-2,0.1,0.10308641975308644
330,6.040004492010186e-2,0.1,9.938271604938272e-2
340,6.212783866787185e-2,0.1,9.382716049382718e-2
350,5.978745932327424e-2,0.1,9.999999999999999e-2
360,5.9106304726928356e-2,0.1,0.12098765432098764
370,5.9409472327382876e-2,0.1,0.11543209876543208
380,6.104214269413161e-2,0.1,8.950617283950615e-2
390,6.0067015164282686e-2,0.1,0.1
400,6.105766439682608e-2,0.1,0.1
410,5.797212508619928e-2,0.1,0.1067901234567901
420,5.9609044429631074e-2,0.1,0.10555555555555556
430,6.114747658181937e-2,0.1,9.506172839506172e-2
440,6.0227492488549174e-2,0.1,0.10925925925925924
450,6.0250541314177175e-2,0.1,9.25925925925926e-2
460,5.9406372554062455e-2,0.1,8.950617283950617e-2
470,5.935721125354667e-2,0.1,8.580246913580244e-2
480,5.905693865008386e-2,8.333333333333333e-2,0.10432098765432099
490,5.930957867662176e-2,0.1,9.876543209876541e-2
500,6.093046104941639e-2,9.090909090909091e-2,8.703703703703705e-2
