generation,meanFitness,bestFitness,diversity
0,1.2883413648713475e-2,1.5873015873015872e-2,0.8987654320987654
10,1.823838548952937e-2,2.1739130434782608e-2,0.724074074074074
20,2.258362288263766e-2,2.7777777777777776e-2,0.7567901234567901
30,2.7157928623358755e-2,3.7037037037037035e-2,0.3907407407407407
40,3.205844333150806e-2,4.0e-2,0.24259259259259255
50,3.432110166687934e-2,4.5454545454545456e-2,0.22716049382716047
60,3.600127117244514e-2,5.0e-2,0.2777777777777778
70,3.846700897811258e-2,5.0e-2,0.1925925925925926
80,4.0069079844477586e-2,5.263157894736842e-2,0.19938271604938274
90,3.98904504108732e-2,5.555555555555555e-2,0.17777777777777778
100,4.1851614344527756e-2,5.8823529411764705e-2,0.11790123456790125
110,4.18256858604037e-2,5.8823529411764705e-2,0.16543209876543208
120,4.160380033214096e-2,5.555555555555555e-2,0.1617283950617284
130,4.4036274473481726e-2,6.25e-2,0.11666666666666665
140,4.4213528065928334e-2,6.666666666666667e-2,0.12901234567901235
150,4.501817071951451e-2,6.666666666666667e-2,0.1179012345679012
160,4.699233004934295e-2,6.666666666666667e-2,0.10987654320987653
170,4.659622985585752e-2,6.25e-2,0.10740740740740742
180,4.607699869467237e-2,7.142857142857142e-2,0.12407407407407409
190,4.739145824897947e-2,6.666666666666667e-2,0.1271604938271605
200,4.730377612115449e-2,7.142857142857142e-2,0.12654320987654316
210,4.6692717488510976e-2,6.666666666666667e-2,0.1320987654320988
220,4.851502937736453e-2,7.142857142857142e-2,0.11234567901234564
230,4.836150376432512e-2,7.142857142857142e-2,0.11481481481481481
240,4.8612836393094015e-2,6.666666666666667e-2,0.10246913580246911
250,4.9708650086602295e-2,7.142857142857142e-2,0.10925925925925925
260,5.1099352486870225e-2,7.692307692307693e-2,8.209876543209875e-2
270,5.171063429635589e-2,7.692307692307693e-2,9.012345679012344e-2
280,5.1129383682667576e-2,7.692307692307693e-2,8.580246913580247e-2
290,5.1486153044413834e-2,7.692307692307693e-2,9.876543209876544e-2
300,5.3167323613492454e-2,8.333333333333333e-2,8.888888888888888e-2
310,5.25413447556057e-2,7.692307692307693e-2,9.691358024691356e-2
320,5.140203431245556e-2,7.692307692307693e-2,0.11604938271604939
330,4.973372756576423e-2,7.692307692307693e-2,0.10617283950617284
340,5.00087662503575e-2,7.692307692307693e-2,0.11296296296296296
350,5.3082856163220386e-2,8.333333333333333e-2,0.10493827160493827
360,5.3346295852970835e-2,7.692307692307693e-2,0.10493827160493827
370,5.340966446955485e-2,8.333333333333333e-2,0.10925925925925924
380,5.3253122113824575e-2,8.333333333333333e-2,0.11111111111111112
390,5.286352097350642e-2,7.692307692307693e-2,9.691358024691357e-2
400,5.455649363424308e-2,8.333333333333333e-2,0.10185185185185189
410,5.42308113076967e-2,8.333333333333333e-2,0.10370370370370367
420,5.479484043685492e-2,8.333333333333333e-2,0.10987654320987657
430,5.568810159550008e-2,9.090909090909091e-2,9.814814814814815e-2
440,5.427886894222065e-2,7.692307692307693e-2,9.506172839506173e-2
450,5.387842506323721e-2,9.090909090909091e-2,9.506172839506173e-2
460,5.678396863919656e-2,9.090909090909091e-2,8.888888888888888e-2
470,5.669163613516161e-2,9.090909090909091e-2,8.395061728395062e-2
480,5.602358755306587e-2,9.090909090909091e-2,9.135802469135804e-2
490,5.5134584059531956e-2,8.333333333333333e-2,9.320987654320986e-2
500,5.5314336111054276e-2,9.090909090909091e-2,9.074074074074072e-2
