analysis,domain,beta1,generation,metric,cycle_mean,star_mean,eta_squared,p_value
cross_family,nk0,1,50,diversity,0.06385000000000003,0.062575,0.009004019095028933,0.5977422770016787
cross_family,nk0,1,50,bestFitness,0.671100607769103,0.6710991515188758,0.0011642503008987247,0.6146152080675783
cross_family,nk0,2,50,diversity,0.06200000000000002,0.06115000000000002,0.005437338902372532,0.7048173409130721
cross_family,nk0,2,50,bestFitness,0.671100607769103,0.6711029432650022,0.009009009009694226,0.5733589410669928
cross_family,nk0,3,50,diversity,0.06285000000000002,0.059875000000000025,0.04389116008913958,0.20819735820679108
cross_family,nk0,3,50,bestFitness,0.6711052787609013,0.671100607769103,0.052631578948869585,0.1624486736568368
cross_family,nk0,1,100,diversity,0.049075000000000014,0.04940000000000001,0.0006204134376411029,0.8817087594707631
cross_family,nk0,1,100,bestFitness,0.6711052787609013,0.6711052787609013,0.0,1.0
cross_family,nk0,2,100,diversity,0.047075000000000006,0.04845000000000001,0.016221665710348117,0.40152151608775566
cross_family,nk0,2,100,bestFitness,0.6711052787609013,0.6711052787609013,0.0,1.0
cross_family,nk0,3,100,diversity,0.047700000000000006,0.04767500000000001,4.799040191960547e-06,1.0
cross_family,nk0,3,100,bestFitness,0.6711052787609013,0.6711052787609013,0.0,1.0
cross_family,nk0,1,200,diversity,0.044850000000000015,0.04627500000000001,0.013275583794716658,0.5791827574368351
cross_family,nk0,1,200,bestFitness,0.6711052787609013,0.6711052787609013,0.0,1.0
cross_family,nk0,2,200,diversity,0.045375000000000006,0.044775000000000016,0.003223567862819166,0.818090770722896
cross_family,nk0,2,200,bestFitness,0.6711052787609013,0.6711052787609013,0.0,1.0
cross_family,nk0,3,200,diversity,0.04445000000000001,0.044925000000000014,0.0018804531840083598,0.8391950110898632
cross_family,nk0,3,200,bestFitness,0.6711052787609013,0.6711052787609013,0.0,1.0
cross_family,nk0,1,500,diversity,0.046025,0.046050000000000015,6.2833409780704476e-06,0.9892073861163788
cross_family,nk0,1,500,bestFitness,0.6711052787609013,0.6711052787609013,0.0,1.0
cross_family,nk0,2,500,diversity,0.04615000000000001,0.04565000000000001,0.00247011164904654,0.9460637649336034
cross_family,nk0,2,500,bestFitness,0.6711052787609013,0.6711052787609013,0.0,1.0
cross_family,nk0,3,500,diversity,0.04575000000000002,0.04492500000000001,0.006374721215704609,0.3435154935544764
cross_family,nk0,3,500,bestFitness,0.6711052787609013,0.6711052787609013,0.0,1.0
cross_family,nk4,1,50,diversity,0.29072499999999996,0.283675,0.005536254516777152,0.9031164959895642
cross_family,nk4,1,50,bestFitness,0.7516372439444932,0.7548002395337232,0.041129579243560546,0.20845355458876536
cross_family,nk4,2,50,diversity,0.27429999999999993,0.26535000000000003,0.0045024985698267125,0.7557428276359095
cross_family,nk4,2,50,bestFitness,0.7520913755563922,0.7553477918874831,0.03972919898460657,0.1895439841589811
cross_family,nk4,3,50,diversity,0.25545000000000007,0.26084999999999997,0.0015926149853272408,0.42488347368209856
cross_family,nk4,3,50,bestFitness,0.7538496535714622,0.7552743245877299,0.006423134173002665,0.31040225614615824
cross_family,nk4,1,100,diversity,0.23472499999999993,0.19829999999999992,0.09264403364243214,0.10169652861922229
cross_family,nk4,1,100,bestFitness,0.7669278007278478,0.767455505437158,0.0007505233436500839,0.8392322130718609
cross_family,nk4,2,100,diversity,0.20412499999999995,0.195775,0.002618514320566432,0.8181494613881999
cross_family,nk4,2,100,bestFitness,0.7636517795020161,0.7689926672121787,0.08680529697893559,0.09090738325062646
cross_family,nk4,3,100,diversity,0.16682499999999997,0.17595,0.0029332335281681615,0.5978625674290079
cross_family,nk4,3,100,bestFitness,0.7665329600830618,0.7678531262533792,0.005562341870955544,0.5608516966002302
cross_family,nk4,1,200,diversity,0.21542499999999998,0.12220000000000002,0.2645528413986096,0.002559420759537349
cross_family,nk4,1,200,bestFitness,0.7697593682191716,0.7696376781052783,4.530676748543094e-05,0.9031164959895642
cross_family,nk4,2,200,diversity,0.18444999999999995,0.120525,0.09682674355288089,0.16357596827978582
cross_family,nk4,2,200,bestFitness,0.7683163567328315,0.7725203325831848,0.06404671803671132,0.07204543046734388
cross_family,nk4,3,200,diversity,0.13692499999999996,0.103575,0.03943240397365074,0.2673621552276778
cross_family,nk4,3,200,bestFitness,0.7692946830889275,0.7707089388359293,0.007687798448416583,0.5608516966002302
cross_family,nk4,1,500,diversity,0.14799999999999996,0.09447499999999999,0.09805042921812647,0.1045557157029308
cross_family,nk4,1,500,bestFitness,0.7721304324312678,0.7738685228184969,0.009882297498988057,0.40935585574217404
cross_family,nk4,2,500,diversity,0.13322499999999998,0.0921,0.05475128849978017,0.11982083577918907
cross_family,nk4,2,500,bestFitness,0.7707695246701514,0.774491949031455,0.06602574025085575,0.0678681872124844
cross_family,nk4,3,500,diversity,0.11444999999999997,0.07995,0.05162018645285071,0.11983820110567527
cross_family,nk4,3,500,bestFitness,0.7719677027611033,0.772213368772835,0.00027224411007191533,1.0
