analysis,domain,generation,metric,eta2_beta1,p_beta1,eta2_family,p_family
twoway,nk0,50,diversity,0.015668297437269732,0.39698688104412194,0.01656888413247462,0.1611733961113806
twoway,nk0,50,bestFitness,0.006685635416204562,0.6754183942653281,0.0016753235246839,0.6571390866881341
twoway,nk0,100,diversity,0.0144434406071601,0.4269439221504237,0.00221013788129075,0.6101330991347707
twoway,nk0,100,bestFitness,0.0,,0.0,
twoway,nk0,200,diversity,0.003982597849332365,0.791799444074342,0.0014588112414787246,0.6787493251124048
twoway,nk0,200,bestFitness,0.0,,0.0,
twoway,nk0,500,diversity,0.0035664224232226575,0.8113882250214972,0.0018257490027251257,0.6430899702449476
twoway,nk0,500,bestFitness,0.0,,0.0,
twoway,nk4,50,diversity,0.03653695071156346,0.11333164711650534,0.0008005022588843609,0.7590311885913693
twoway,nk4,50,bestFitness,0.004442304307426283,0.7707018092663153,0.024715448285692013,0.0863782123437608
twoway,nk4,100,diversity,0.05671199488133359,0.032861868261946425,0.005763544838850373,0.4098681369180343
twoway,nk4,100,bestFitness,0.0019891562910879174,0.8900465346851479,0.016971601516157342,0.15613049261398876
twoway,nk4,200,diversity,0.045174552014488806,0.06691956970587862,0.1118559423745825,0.00018886778964529553
twoway,nk4,200,bestFitness,0.0012092897314574431,0.9316610054965718,0.011655747109462069,0.24050822416033626
twoway,nk4,500,diversity,0.014074362899720031,0.4363985969065572,0.06591165415279378,0.004647053495319584
twoway,nk4,500,bestFitness,0.0022627159911522963,0.8758864074033375,0.014688472532817177,0.18730093105012893
