analysis,domain,family,lambda2,generation,metric,eta_squared,f_stat,p_value
within_family,nk0,cycle,0.5858,50,diversity,0.03157610984752745,0.8260103083696355,0.48358811558508075
within_family,nk0,cycle,0.5858,50,bestFitness,0.02933333333429676,0.7655677655677648,0.5168542418622062
within_family,nk0,cycle,0.5858,100,diversity,0.015162935403168973,0.39004187666061546,0.760497299591185
within_family,nk0,cycle,0.5858,100,bestFitness,0.0,,
within_family,nk0,cycle,0.5858,200,diversity,0.0035706630446607104,0.09078094529794063,0.9649084100235156
within_family,nk0,cycle,0.5858,200,bestFitness,0.0,,
within_family,nk0,cycle,0.5858,500,diversity,0.013638627640561342,0.3502893664631933,0.7890373652601546
within_family,nk0,cycle,0.5858,500,bestFitness,0.0,,
within_family,nk0,star,1.0,50,diversity,0.03023220778586197,0.7897587478062249,0.503326951292735
within_family,nk0,star,1.0,50,bestFitness,0.0209583217710509,0.5423100602760852,0.6548013630265621
within_family,nk0,star,1.0,100,diversity,0.021306278819523284,0.551509682494824,0.6486755479587551
within_family,nk0,star,1.0,100,bestFitness,0.0,,
within_family,nk0,star,1.0,200,diversity,0.025719203343988088,0.6687529443434954,0.5738268173998933
within_family,nk0,star,1.0,200,bestFitness,0.0,,
within_family,nk0,star,1.0,500,diversity,0.020478507704785105,0.529634996205063,0.6632972119731755
within_family,nk0,star,1.0,500,bestFitness,0.0,,
within_family,nk4,cycle,0.5858,50,diversity,0.09198245041148084,2.5662742731644634,0.06069743755961511
within_family,nk4,cycle,0.5858,50,bestFitness,0.010914393909244728,0.2795490878964298,0.8399961929897664
within_family,nk4,cycle,0.5858,100,diversity,0.19142226184478098,5.997399802025644,0.0010066807828739085
within_family,nk4,cycle,0.5858,100,bestFitness,0.022353942398179866,0.5792483585280039,0.6304180869409125
within_family,nk4,cycle,0.5858,200,diversity,0.16230601879448062,4.908418310717294,0.003592098949319832
within_family,nk4,cycle,0.5858,200,bestFitness,0.02648999741233058,0.6893405642078576,0.561334958939991
within_family,nk4,cycle,0.5858,500,diversity,0.06665677371957453,1.8092361095201213,0.15261767793000902
within_family,nk4,cycle,0.5858,500,bestFitness,0.04817925271074634,1.282322403822727,0.2865465910933334
within_family,nk4,star,1.0,50,diversity,0.1060651446023995,3.005793595625795,0.03548457925351362
within_family,nk4,star,1.0,50,bestFitness,0.004043711679920671,0.1028566184005217,0.9581446387988727
within_family,nk4,star,1.0,100,diversity,0.09217190920515096,2.57209676979636,0.06026712796692763
within_family,nk4,star,1.0,100,bestFitness,0.025449179019249105,0.6615483987848849,0.5782456448097857
within_family,nk4,star,1.0,200,diversity,0.10260195672528763,2.8964288365160518,0.04055156635470317
within_family,nk4,star,1.0,200,bestFitness,0.013653416016258683,0.35067444313700225,0.7887600229411699
within_family,nk4,star,1.0,500,diversity,0.011449658644444163,0.29341754977783086,0.8300308492794174
within_family,nk4,star,1.0,500,bestFitness,0.015773983097026562,0.40601199818795797,0.749103726876397
