generation,meanFitness,bestFitness,diversity
0,0.27421875,0.5,0.9892857142857142
10,0.313125,0.5,0.9852678571428571
20,0.3065625,0.5,0.9870535714285715
30,0.299921875,0.46875,0.9915178571428571
40,0.29921875,0.59375,0.9861607142857143
50,0.309453125,0.5,0.9910714285714286
60,0.30875,0.5625,0.9870535714285715
70,0.313671875,0.5,0.9790178571428572
80,0.31453125,0.59375,0.9852678571428571
90,0.310234375,0.5625,0.9910714285714286
100,0.3071875,0.53125,0.9924107142857144
110,0.311796875,0.59375,0.9950892857142856
120,0.317734375,0.53125,0.9928571428571427
130,0.307734375,0.53125,0.9879464285714284
140,0.305625,0.5,0.9883928571428571
150,0.31171875,0.5625,0.9901785714285716
160,0.312734375,0.53125,0.9910714285714285
170,0.310234375,0.53125,0.9861607142857144
180,0.31375,0.59375,0.98125
190,0.304453125,0.5,0.9910714285714285
200,0.301484375,0.4375,0.9919642857142856
210,0.300234375,0.5,0.9883928571428571
220,0.307265625,0.5625,0.9910714285714286
230,0.312734375,0.5,0.9924107142857143
240,0.303125,0.5,0.9919642857142857
250,0.297890625,0.5,0.9901785714285714
260,0.3015625,0.53125,0.9919642857142856
270,0.30859375,0.625,0.984375
280,0.3140625,0.5,0.9892857142857144
290,0.32234375,0.53125,0.9892857142857142
300,0.300703125,0.53125,0.9924107142857143
310,0.30125,0.5,0.9861607142857141
320,0.307265625,0.5625,0.9888392857142856
330,0.314453125,0.5625,0.9901785714285716
340,0.307890625,0.5625,0.9785714285714286
350,0.30703125,0.625,0.9906249999999999
360,0.313359375,0.5625,0.9924107142857143
370,0.311796875,0.5625,0.9883928571428571
380,0.300546875,0.5,0.9852678571428571
390,0.304453125,0.5,0.9901785714285714
400,0.30171875,0.5,0.9852678571428571
410,0.310390625,0.53125,0.9866071428571429
420,0.30765625,0.59375,0.9946428571428572
430,0.306171875,0.5,0.990625
440,0.301328125,0.5,0.9892857142857141
450,0.310546875,0.5625,0.9933035714285714
460,0.308671875,0.53125,0.9924107142857143
470,0.306484375,0.5625,0.9892857142857142
480,0.308125,0.53125,0.9883928571428567
490,0.31328125,0.5,0.9910714285714288
500,0.31703125,0.5625,0.9915178571428571
