generation,meanFitness,bestFitness,diversity
0,0.274140625,0.4375,0.9875
10,0.30875,0.53125,0.9928571428571429
20,0.31328125,0.53125,0.9892857142857144
30,0.3,0.53125,0.9897321428571428
40,0.3078125,0.5,0.984375
50,0.305625,0.53125,0.9892857142857142
60,0.317265625,0.5,0.9785714285714284
70,0.318046875,0.5,0.978125
80,0.3228125,0.5625,0.9924107142857143
90,0.309765625,0.5,0.99375
100,0.30796875,0.5625,0.9674107142857145
110,0.300625,0.46875,0.9883928571428571
120,0.301640625,0.46875,0.9866071428571429
130,0.30796875,0.59375,0.9888392857142858
140,0.295859375,0.46875,0.9933035714285715
150,0.3134375,0.5,0.9910714285714286
160,0.310390625,0.53125,0.9875
170,0.314765625,0.5,0.9906250000000002
180,0.300625,0.5,0.9910714285714285
190,0.31171875,0.5,0.9825892857142857
200,0.298125,0.5625,0.9843749999999998
210,0.30453125,0.53125,0.9919642857142857
220,0.313203125,0.53125,0.9933035714285715
230,0.319921875,0.59375,0.9875
240,0.3065625,0.5,0.9892857142857144
250,0.301171875,0.5625,0.9861607142857143
260,0.300390625,0.5,0.9910714285714285
270,0.312890625,0.5625,0.9897321428571427
280,0.3153125,0.53125,0.9888392857142856
290,0.302421875,0.53125,0.9919642857142856
300,0.302265625,0.53125,0.9915178571428569
310,0.31125,0.53125,0.9901785714285716
320,0.306640625,0.53125,0.9919642857142857
330,0.3128125,0.53125,0.9874999999999998
340,0.3046875,0.5625,0.9901785714285716
350,0.30578125,0.5625,0.9901785714285716
360,0.31671875,0.5,0.9915178571428569
370,0.30625,0.59375,0.9919642857142857
380,0.3059375,0.5,0.988392857142857
390,0.31015625,0.53125,0.9870535714285715
400,0.31015625,0.5625,0.9848214285714286
410,0.30359375,0.53125,0.9861607142857143
420,0.30703125,0.53125,0.9910714285714285
430,0.3065625,0.59375,0.990625
440,0.316796875,0.53125,0.9879464285714287
450,0.315859375,0.53125,0.9924107142857144
460,0.316875,0.5625,0.9892857142857144
470,0.311484375,0.5,0.9839285714285714
480,0.309453125,0.53125,0.9875
490,0.306328125,0.53125,0.9901785714285711
500,0.31515625,0.53125,0.9910714285714285
