generation,meanFitness,bestFitness,diversity
0,0.2753125,0.53125,0.9915178571428571
10,0.299375,0.5625,0.9946428571428572
20,0.29984375,0.5,0.990625
30,0.3090625,0.5625,0.9901785714285714
40,0.31328125,0.625,0.985714285714286
50,0.30546875,0.53125,0.9906249999999999
60,0.301953125,0.53125,0.9897321428571427
70,0.308125,0.5625,0.9866071428571427
80,0.30703125,0.5625,0.9915178571428571
90,0.319765625,0.59375,0.99375
100,0.31484375,0.625,0.9825892857142856
110,0.306640625,0.5625,0.9928571428571429
120,0.308203125,0.625,0.9915178571428573
130,0.314609375,0.59375,0.9915178571428571
140,0.311875,0.59375,0.9897321428571427
150,0.3040625,0.625,0.9839285714285714
160,0.3025,0.5,0.9910714285714286
170,0.3159375,0.5625,0.9924107142857143
180,0.314609375,0.5625,0.9901785714285714
190,0.304140625,0.53125,0.9892857142857142
200,0.318671875,0.53125,0.9852678571428573
210,0.311171875,0.5,0.9879464285714287
220,0.298203125,0.5625,0.9897321428571431
230,0.2996875,0.5625,0.9910714285714286
240,0.3009375,0.53125,0.9879464285714287
250,0.307578125,0.53125,0.9839285714285714
260,0.305546875,0.53125,0.9906249999999999
270,0.30421875,0.53125,0.9888392857142858
280,0.303515625,0.5,0.9875
290,0.30359375,0.5,0.9888392857142856
300,0.3109375,0.5625,0.9834821428571429
310,0.3140625,0.53125,0.9910714285714286
320,0.30171875,0.53125,0.9950892857142858
330,0.310546875,0.5625,0.9875
340,0.308359375,0.53125,0.9892857142857144
350,0.3075,0.5625,0.984375
360,0.3059375,0.5,0.9883928571428573
370,0.30203125,0.5,0.9875
380,0.304140625,0.59375,0.9875
390,0.303125,0.53125,0.9892857142857144
400,0.306171875,0.46875,0.9866071428571427
410,0.3065625,0.5625,0.9924107142857144
420,0.303203125,0.5,0.978125
430,0.317265625,0.59375,0.9848214285714285
440,0.3140625,0.5625,0.9915178571428571
450,0.305390625,0.5625,0.99375
460,0.301953125,0.5,0.9879464285714287
470,0.304140625,0.59375,0.9924107142857144
480,0.293828125,0.5625,0.9924107142857144
490,0.303125,0.5,0.9915178571428571
500,0.3,0.5,0.9910714285714285
