generation,meanFitness,bestFitness,diversity
0,1.295764095392909e-2,1.5625e-2,0.8839506172839506
10,1.7996506549002093e-2,2.2222222222222223e-2,0.8222222222222223
20,2.231571756057657e-2,2.857142857142857e-2,0.7296296296296296
30,2.771730330118158e-2,3.8461538461538464e-2,0.5820987654320988
40,3.198264289915007e-2,4.1666666666666664e-2,0.6104938271604938
50,3.464367671478973e-2,4.7619047619047616e-2,0.5617283950617284
60,3.844473511620765e-2,5.263157894736842e-2,0.46419753086419746
70,4.323071446272048e-2,6.25e-2,0.4771604938271605
80,4.522145617490872e-2,6.25e-2,0.40185185185185174
90,4.809731871227831e-2,7.142857142857142e-2,0.5796296296296296
100,5.054049203626883e-2,7.142857142857142e-2,0.4382716049382716
110,5.0609255599846616e-2,7.692307692307693e-2,0.469753086419753
120,5.2709281116437266e-2,8.333333333333333e-2,0.369753086419753
130,5.461525679922011e-2,0.1,0.4611111111111111
140,5.6441634253409124e-2,0.1,0.39629629629629626
150,5.5340532673430906e-2,9.090909090909091e-2,0.3203703703703704
160,5.677339535713574e-2,9.090909090909091e-2,0.3432098765432099
170,5.8447585135172744e-2,0.1111111111111111,0.27283950617283953
180,5.937345774299454e-2,0.1111111111111111,0.38580246913580246
190,6.032504964334546e-2,0.1111111111111111,0.26419753086419756
200,6.339401497690561e-2,0.1111111111111111,0.3487654320987654
210,6.45731068244572e-2,0.14285714285714285,0.21358024691358019
220,6.472355275938466e-2,0.125,0.3512345679012346
230,6.380098548672926e-2,0.125,0.31234567901234567
240,6.586258257146094e-2,0.1111111111111111,0.26975308641975315
250,6.617989130665147e-2,0.14285714285714285,0.20925925925925926
260,6.629553594707799e-2,0.14285714285714285,0.27160493827160503
270,6.813804618752133e-2,0.14285714285714285,0.10123456790123457
280,7.09129552663987e-2,0.14285714285714285,8.580246913580249e-2
290,6.803016587712636e-2,0.14285714285714285,0.10061728395061728
300,7.123920329868311e-2,0.14285714285714285,8.271604938271601e-2
310,7.241789184542669e-2,0.16666666666666666,9.629629629629628e-2
320,7.490431638262351e-2,0.16666666666666666,9.567901234567902e-2
330,7.723277304592929e-2,0.16666666666666666,0.10061728395061728
340,7.809629960897367e-2,0.16666666666666666,8.641975308641973e-2
350,7.903308782347017e-2,0.16666666666666666,9.382716049382715e-2
360,7.592905993215597e-2,0.16666666666666666,9.320987654320988e-2
370,7.815649271935865e-2,0.16666666666666666,9.074074074074075e-2
380,8.033676238407277e-2,0.16666666666666666,8.08641975308642e-2
390,7.68132602224505e-2,0.16666666666666666,9.444444444444443e-2
400,7.792777645041572e-2,0.16666666666666666,9.012345679012343e-2
410,7.73498324678454e-2,0.16666666666666666,9.382716049382717e-2
420,7.501520947774644e-2,0.16666666666666666,0.10185185185185183
430,7.357299814478609e-2,0.14285714285714285,9.876543209876543e-2
440,7.15829584964437e-2,0.16666666666666666,8.950617283950617e-2
450,7.51865499481598e-2,0.16666666666666666,9.074074074074073e-2
460,7.882251843014226e-2,0.16666666666666666,8.518518518518517e-2
470,7.350298085183835e-2,0.125,9.5679012345679e-2
480,7.805038853045818e-2,0.16666666666666666,8.82716049382716e-2
490,7.386875447179239e-2,0.16666666666666666,9.259259259259259e-2
500,7.726704287714342e-2,0.16666666666666666,9.197530864197531e-2
