generation,meanFitness,bestFitness,diversity
0,1.2907532969437894e-2,1.5873015873015872e-2,0.8895061728395062
10,1.7586479285649874e-2,2.127659574468085e-2,0.7407407407407407
20,2.2216270980471842e-2,2.631578947368421e-2,0.648148148148148
30,2.5948164268648228e-2,3.125e-2,0.337037037037037
40,2.8895106473959164e-2,3.8461538461538464e-2,0.2598765432098765
50,3.118365347170875e-2,4.0e-2,0.30370370370370364
60,3.264345191736807e-2,4.1666666666666664e-2,0.29814814814814816
70,3.617212433670932e-2,5.0e-2,0.2753086419753086
80,3.9377391759169184e-2,5.555555555555555e-2,0.1691358024691358
90,4.226002531941452e-2,6.666666666666667e-2,0.2018518518518518
100,4.469287630017385e-2,7.692307692307693e-2,0.17530864197530865
110,4.56469187590754e-2,7.142857142857142e-2,0.20864197530864192
120,4.594020256754401e-2,7.692307692307693e-2,0.1802469135802469
130,4.846295904798774e-2,7.692307692307693e-2,0.1987654320987654
140,4.706798126778389e-2,7.692307692307693e-2,0.23024691358024688
150,5.035858492440435e-2,8.333333333333333e-2,0.20370370370370372
160,4.978295488248005e-2,8.333333333333333e-2,0.20370370370370366
170,4.955600903278201e-2,8.333333333333333e-2,0.2024691358024691
180,5.147694913064475e-2,8.333333333333333e-2,0.18703703703703703
190,5.0259958045232755e-2,8.333333333333333e-2,0.2148148148148148
200,5.206278396694167e-2,0.1,0.2067901234567901
210,4.965568799152072e-2,8.333333333333333e-2,0.1802469135802469
220,5.1168876533129e-2,9.090909090909091e-2,0.15679012345679014
230,5.274528029807853e-2,9.090909090909091e-2,0.13950617283950612
240,5.3155205599157165e-2,9.090909090909091e-2,0.1271604938271605
250,5.4841915477535495e-2,8.333333333333333e-2,0.13209876543209878
260,5.6903085089351026e-2,9.090909090909091e-2,0.13765432098765434
270,5.826186893726276e-2,0.1,0.1074074074074074
280,5.923496407830809e-2,0.1,0.11049382716049383
290,5.7807665239368734e-2,9.090909090909091e-2,0.11481481481481481
300,5.856078495844964e-2,0.1,0.11296296296296293
310,5.853923999002328e-2,0.1,0.12037037037037032
320,5.947420882911535e-2,0.1,0.11851851851851851
330,5.963987611552007e-2,0.1111111111111111,0.10740740740740742
340,5.8385104102609914e-2,9.090909090909091e-2,0.11111111111111112
350,5.871570738053701e-2,0.1,0.11790123456790122
360,5.8277083626528475e-2,0.1,0.13024691358024693
370,5.772912156179007e-2,0.1,9.62962962962963e-2
380,5.888648216989798e-2,9.090909090909091e-2,0.1037037037037037
390,5.966311362848195e-2,0.1111111111111111,0.10061728395061727
400,5.820075086610801e-2,9.090909090909091e-2,8.333333333333333e-2
410,5.824791860199057e-2,0.1111111111111111,0.12160493827160493
420,6.017140304243451e-2,0.1111111111111111,0.11358024691358024
430,5.9127859488610525e-2,0.1111111111111111,0.137037037037037
440,6.0469104334092895e-2,0.1,0.11851851851851851
450,5.866434399248797e-2,0.1111111111111111,0.11666666666666665
460,5.788091115920574e-2,0.1111111111111111,0.12407407407407404
470,5.7513605566703395e-2,0.1111111111111111,0.1580246913580247
480,5.700480209589034e-2,0.1,0.12469135802469138
490,5.744610756149332e-2,0.1111111111111111,0.12839506172839504
500,5.870311320074413e-2,0.1111111111111111,0.1271604938271605
