generation,meanFitness,bestFitness,diversity
0,1.288200170928848e-2,1.5625e-2,0.8876543209876543
10,1.800877915421772e-2,2.1739130434782608e-2,0.8598765432098764
20,2.2061983825859985e-2,2.857142857142857e-2,0.6462962962962963
30,2.5428190336009376e-2,3.225806451612903e-2,0.6777777777777778
40,2.7934495541989405e-2,3.571428571428571e-2,0.5567901234567902
50,3.0262569679544337e-2,3.7037037037037035e-2,0.6074074074074074
60,3.044739860285406e-2,4.0e-2,0.5679012345679013
70,3.333023689276815e-2,4.5454545454545456e-2,0.4666666666666668
80,3.471582120663738e-2,4.7619047619047616e-2,0.5302469135802469
90,3.631982329007115e-2,5.555555555555555e-2,0.5666666666666667
100,3.785042427246629e-2,5.0e-2,0.6067901234567902
110,3.9130688811041744e-2,5.263157894736842e-2,0.4092592592592593
120,3.9192687695969314e-2,5.555555555555555e-2,0.42407407407407405
130,3.9414044023633e-2,5.555555555555555e-2,0.5253086419753086
140,4.052715341146609e-2,5.8823529411764705e-2,0.4067901234567901
150,4.2785294783435374e-2,6.25e-2,0.5123456790123456
160,4.206062810907513e-2,6.25e-2,0.35802469135802467
170,4.13826194052631e-2,5.8823529411764705e-2,0.43395061728395057
180,4.090332267090509e-2,6.25e-2,0.2925925925925926
190,4.265580386360667e-2,6.25e-2,0.2716049382716049
200,4.360551301772465e-2,6.666666666666667e-2,0.345679012345679
210,4.409948253346428e-2,6.666666666666667e-2,0.3401234567901235
220,4.3320949192370214e-2,6.666666666666667e-2,0.28148148148148155
230,4.368976534295597e-2,6.25e-2,0.21358024691358027
240,4.454546623945844e-2,6.666666666666667e-2,0.3006172839506173
250,4.50843462965977e-2,7.142857142857142e-2,0.35555555555555546
260,4.494432577398542e-2,6.666666666666667e-2,0.2623456790123456
270,4.4451163533995156e-2,6.25e-2,0.24691358024691357
280,4.3535419435933524e-2,7.142857142857142e-2,0.24197530864197528
290,4.524411822508258e-2,7.142857142857142e-2,0.3864197530864196
300,4.4614860250623015e-2,6.25e-2,0.20864197530864198
310,4.559096950206115e-2,7.142857142857142e-2,0.3358024691358025
320,4.473390730637537e-2,7.142857142857142e-2,0.22222222222222218
330,4.358710516063733e-2,7.142857142857142e-2,0.23641975308641974
340,4.366944340835704e-2,6.25e-2,0.2419753086419753
350,4.452681192714158e-2,7.142857142857142e-2,0.2518518518518519
360,4.620043880835403e-2,7.142857142857142e-2,0.26728395061728394
370,4.5277333233386514e-2,7.692307692307693e-2,0.3154320987654321
380,4.630007529111493e-2,6.666666666666667e-2,0.2716049382716049
390,4.6140055785800015e-2,7.692307692307693e-2,0.29999999999999993
400,4.658771099364938e-2,7.142857142857142e-2,0.2839506172839506
410,4.669280935339761e-2,7.142857142857142e-2,0.27530864197530863
420,4.7382618209547055e-2,7.142857142857142e-2,0.2345679012345679
430,4.7087854609748174e-2,7.142857142857142e-2,0.2993827160493827
440,4.610788756662369e-2,6.666666666666667e-2,0.3944444444444445
450,4.764660459052062e-2,6.666666666666667e-2,0.2604938271604939
460,4.5785623861191685e-2,6.25e-2,0.1839506172839506
470,4.743690444689111e-2,6.666666666666667e-2,0.1685185185185185
480,4.7343061506337776e-2,7.142857142857142e-2,0.15987654320987651
490,4.742171507586819e-2,7.692307692307693e-2,0.195679012345679
500,4.7381122362793675e-2,7.142857142857142e-2,0.1925925925925926
