generation,meanFitness,bestFitness,diversity
0,1.2918105767103142e-2,1.5625e-2,0.893827160493827
10,1.7695905158894493e-2,2.0833333333333332e-2,0.7666666666666667
20,2.1925626318948524e-2,2.631578947368421e-2,0.6845679012345679
30,2.5016227511383868e-2,3.0303030303030304e-2,0.5820987654320988
40,2.719327598481671e-2,3.4482758620689655e-2,0.48580246913580255
50,2.975365407810667e-2,3.8461538461538464e-2,0.4950617283950617
60,3.265440273243778e-2,4.1666666666666664e-2,0.5833333333333333
70,3.506497630133071e-2,4.7619047619047616e-2,0.5462962962962962
80,3.865488039282392e-2,5.555555555555555e-2,0.35370370370370374
90,4.145650490236344e-2,6.25e-2,0.3456790123456791
100,4.38841403354213e-2,5.8823529411764705e-2,0.261111111111111
110,4.617547667262468e-2,7.692307692307693e-2,0.23333333333333334
120,4.764354567791382e-2,7.142857142857142e-2,0.18950617283950616
130,5.3364913779486024e-2,7.692307692307693e-2,0.19135802469135804
140,5.377545787352801e-2,8.333333333333333e-2,0.1666666666666666
150,5.645975581806546e-2,9.090909090909091e-2,0.15987654320987654
160,5.650536560672779e-2,9.090909090909091e-2,0.13950617283950623
170,5.90474103453905e-2,0.1,0.14506172839506173
180,5.96050373675535e-2,0.1,0.14691358024691356
190,6.1097179844504676e-2,0.1,0.13580246913580246
200,6.47330926867289e-2,0.125,0.11666666666666665
210,6.512166601626496e-2,0.14285714285714285,9.93827160493827e-2
220,6.828860012751277e-2,0.125,0.10864197530864195
230,6.764735849973602e-2,0.125,8.82716049382716e-2
240,6.762400857067956e-2,0.125,8.82716049382716e-2
250,6.610788236858124e-2,0.125,9.876543209876545e-2
260,6.798660302601787e-2,0.14285714285714285,8.641975308641976e-2
270,6.921217599592049e-2,0.125,0.10555555555555554
280,6.966404329030108e-2,0.14285714285714285,0.1037037037037037
290,6.906854746560633e-2,0.14285714285714285,0.10432098765432099
300,7.283433477912882e-2,0.14285714285714285,9.999999999999999e-2
310,7.114415466770259e-2,0.16666666666666666,9.876543209876543e-2
320,7.131535292305247e-2,0.125,9.999999999999998e-2
330,7.34730425733126e-2,0.14285714285714285,0.10061728395061727
340,7.478473794437414e-2,0.14285714285714285,9.814814814814812e-2
350,7.865274883570161e-2,0.14285714285714285,8.703703703703702e-2
360,7.749059695735312e-2,0.2,9.259259259259262e-2
370,8.341565199721171e-2,0.2,8.148148148148147e-2
380,8.534829976954596e-2,0.2,9.382716049382714e-2
390,8.594099090465114e-2,0.2,7.777777777777778e-2
400,8.543850607811539e-2,0.2,8.518518518518517e-2
410,8.379215217402143e-2,0.2,7.777777777777777e-2
420,8.131946967076611e-2,0.2,8.82716049382716e-2
430,7.908787135422206e-2,0.2,9.87654320987654e-2
440,8.301202074499296e-2,0.2,8.148148148148146e-2
450,8.791138032933712e-2,0.2,7.901234567901233e-2
460,8.701822931969995e-2,0.2,8.024691358024691e-2
470,8.448477490002261e-2,0.2,8.333333333333333e-2
480,8.436988163410383e-2,0.2,8.456790123456788e-2
490,8.258539009636069e-2,0.2,9.382716049382717e-2
500,8.351979890379672e-2,0.2,8.086419753086418e-2
