generation,meanFitness,bestFitness,diversity
0,1.2874517432024663e-2,1.6129032258064516e-2,0.8864197530864196
10,1.7569451972250627e-2,2.2222222222222223e-2,0.8203703703703701
20,2.239507082457155e-2,2.7777777777777776e-2,0.6944444444444444
30,2.6837127707516388e-2,3.4482758620689655e-2,0.5759259259259258
40,2.9495678458922026e-2,3.7037037037037035e-2,0.6685185185185186
50,3.213476198097427e-2,4.1666666666666664e-2,0.49074074074074064
60,3.4544301753151714e-2,4.5454545454545456e-2,0.5265432098765432
70,3.806016151637693e-2,5.555555555555555e-2,0.37037037037037035
80,4.281268275489316e-2,6.666666666666667e-2,0.30185185185185187
90,4.587337545402477e-2,7.692307692307693e-2,0.23888888888888887
100,4.9134140435667106e-2,7.142857142857142e-2,0.2117283950617283
110,5.093478624784411e-2,7.692307692307693e-2,0.1833333333333333
120,5.422994757634771e-2,9.090909090909091e-2,0.14814814814814814
130,5.36417966428374e-2,9.090909090909091e-2,0.14567901234567898
140,5.512006337829559e-2,8.333333333333333e-2,0.16419753086419747
150,5.600122853087683e-2,9.090909090909091e-2,0.12037037037037038
160,5.6224083541907444e-2,9.090909090909091e-2,0.11481481481481481
170,5.5420816807144134e-2,9.090909090909091e-2,0.13456790123456788
180,5.5939767688732184e-2,9.090909090909091e-2,0.1308641975308642
190,5.6791873245185726e-2,9.090909090909091e-2,0.11234567901234568
200,5.7085927299021344e-2,9.090909090909091e-2,0.1271604938271605
210,5.592392825360514e-2,0.1,0.12345679012345678
220,5.901654063167991e-2,0.14285714285714285,0.12407407407407404
230,6.591018867622642e-2,0.16666666666666666,0.11234567901234564
240,6.959924672103304e-2,0.14285714285714285,0.11419753086419752
250,7.108396924283154e-2,0.14285714285714285,0.11234567901234568
260,8.451432915910402e-2,0.2,7.098765432098766e-2
270,8.51301335403504e-2,0.2,6.790123456790123e-2
280,8.056672967770112e-2,0.2,8.209876543209875e-2
290,8.011775338795374e-2,0.2,8.271604938271607e-2
300,8.2355979729335e-2,0.2,7.222222222222222e-2
310,7.742529704669639e-2,0.16666666666666666,9.259259259259259e-2
320,8.028858742306885e-2,0.2,8.950617283950615e-2
330,8.354100249166047e-2,0.2,7.469135802469136e-2
340,8.034588137181022e-2,0.2,7.530864197530864e-2
350,7.853634280666016e-2,0.16666666666666666,7.839506172839504e-2
360,8.319266307308106e-2,0.2,7.962962962962963e-2
370,7.887437973747957e-2,0.14285714285714285,6.913580246913578e-2
380,8.07992036450821e-2,0.2,7.65432098765432e-2
390,8.37590242467372e-2,0.2,7.962962962962962e-2
400,8.2575338049893e-2,0.2,6.296296296296297e-2
410,7.926354872552628e-2,0.14285714285714285,7.777777777777779e-2
420,8.51195158970306e-2,0.2,7.098765432098765e-2
430,8.199824805397568e-2,0.2,7.34567901234568e-2
440,8.374709663186831e-2,0.2,6.728395061728393e-2
450,8.064721290920984e-2,0.2,7.654320987654321e-2
460,7.912220116699617e-2,0.16666666666666666,6.728395061728396e-2
470,8.284067359154439e-2,0.2,7.160493827160494e-2
480,8.183739599538759e-2,0.2,7.098765432098766e-2
490,7.995523941628739e-2,0.2,7.345679012345678e-2
500,7.826077961108763e-2,0.16666666666666666,7.34567901234568e-2
