generation,meanFitness,bestFitness,diversity
0,1.3017710785261032e-2,1.6129032258064516e-2,0.8901234567901234
10,1.8095995876658735e-2,2.1739130434782608e-2,0.7746913580246914
20,2.2187622085137568e-2,2.7777777777777776e-2,0.5950617283950618
30,2.6086339993274206e-2,3.125e-2,0.7771604938271606
40,2.9838683096709985e-2,3.8461538461538464e-2,0.5074074074074074
50,3.409600424879239e-2,4.7619047619047616e-2,0.48888888888888893
60,3.721468418409167e-2,5.0e-2,0.4586419753086419
70,3.9069552085426784e-2,5.0e-2,0.32222222222222224
80,4.029205175608522e-2,5.8823529411764705e-2,0.3746913580246913
90,4.219532356957831e-2,5.8823529411764705e-2,0.525925925925926
100,4.3688130081818786e-2,5.8823529411764705e-2,0.47407407407407404
110,4.740794054651096e-2,7.142857142857142e-2,0.4753086419753087
120,4.752889505695876e-2,7.692307692307693e-2,0.4222222222222222
130,5.184898089688446e-2,8.333333333333333e-2,0.30740740740740746
140,5.35088106800047e-2,7.692307692307693e-2,0.2438271604938272
150,5.6303409156031166e-2,0.1111111111111111,0.16419753086419756
160,6.682449153770588e-2,0.1111111111111111,0.1222222222222222
170,6.846579529487737e-2,0.14285714285714285,0.1191358024691358
180,6.950804717139783e-2,0.125,0.1265432098765432
190,7.017816593133767e-2,0.125,0.10432098765432099
200,6.91812619817441e-2,0.125,9.07407407407407e-2
210,7.22576080610136e-2,0.14285714285714285,8.271604938271605e-2
220,7.465493558570109e-2,0.14285714285714285,8.518518518518518e-2
230,7.526811784062164e-2,0.14285714285714285,8.82716049382716e-2
240,7.280992895563328e-2,0.125,8.641975308641975e-2
250,7.586218782404759e-2,0.16666666666666666,7.962962962962963e-2
260,7.666352111566813e-2,0.16666666666666666,7.839506172839505e-2
270,7.416107991866418e-2,0.16666666666666666,6.913580246913578e-2
280,7.486509713841373e-2,0.125,7.716049382716052e-2
290,7.742758185656781e-2,0.16666666666666666,7.407407407407407e-2
300,7.400709863751653e-2,0.16666666666666666,7.592592592592592e-2
310,7.709857041822983e-2,0.16666666666666666,6.790123456790123e-2
320,7.840727453875673e-2,0.16666666666666666,6.1111111111111095e-2
330,7.744482860620629e-2,0.16666666666666666,7.65432098765432e-2
340,7.606224528451612e-2,0.125,6.85185185185185e-2
350,7.65538104503855e-2,0.14285714285714285,6.790123456790124e-2
360,7.578580520356837e-2,0.16666666666666666,6.604938271604939e-2
370,7.521795641420169e-2,0.14285714285714285,7.901234567901234e-2
380,7.344370911596147e-2,0.125,8.086419753086416e-2
390,7.882108664310594e-2,0.2,8.641975308641976e-2
400,7.78674821158374e-2,0.2,9.197530864197531e-2
410,8.18023911073448e-2,0.2,7.34567901234568e-2
420,7.960319334303478e-2,0.2,7.283950617283949e-2
430,7.820064807913103e-2,0.2,8.271604938271604e-2
440,8.164672913786614e-2,0.2,7.839506172839507e-2
450,8.043038506041608e-2,0.16666666666666666,7.901234567901232e-2
460,8.370239518879152e-2,0.2,6.975308641975307e-2
470,8.213955456737974e-2,0.2,6.543209876543207e-2
480,7.930621444688785e-2,0.2,8.333333333333334e-2
490,8.193314863670914e-2,0.14285714285714285,7.469135802469135e-2
500,8.300469554310501e-2,0.2,6.358024691358025e-2
