generation,meanFitness,bestFitness,diversity
0,0.5011499999999995,0.64,0.49799999999999994
10,0.7754249999999995,0.88,0.33499999999999996
20,0.9304999999999991,0.99,0.124
30,0.9778000000000016,1.0,4.6000000000000006e-2
40,0.9814500000000044,1.0,3.8500000000000006e-2
50,0.9827500000000036,1.0,3.650000000000001e-2
60,0.9815500000000028,1.0,3.600000000000001e-2
70,0.9817250000000034,1.0,3.8500000000000006e-2
80,0.9823750000000032,1.0,3.750000000000001e-2
90,0.9838500000000036,1.0,3.600000000000001e-2
100,0.9828750000000038,1.0,2.8000000000000014e-2
110,0.9831750000000027,1.0,3.550000000000001e-2
120,0.981975000000003,1.0,3.850000000000001e-2
130,0.9813500000000032,1.0,3.800000000000001e-2
140,0.9804250000000025,1.0,3.750000000000001e-2
150,0.9807500000000031,1.0,3.400000000000001e-2
160,0.9824500000000043,1.0,3.550000000000001e-2
170,0.9816500000000041,1.0,3.6000000000000004e-2
180,0.9823500000000037,1.0,3.300000000000001e-2
190,0.9833750000000038,1.0,3.1000000000000007e-2
200,0.9828000000000041,1.0,3.400000000000001e-2
210,0.9812500000000024,1.0,3.2500000000000015e-2
220,0.9833500000000039,1.0,3.9000000000000014e-2
230,0.9826500000000031,1.0,3.0500000000000006e-2
240,0.9834500000000039,1.0,2.9000000000000005e-2
250,0.9812500000000035,1.0,3.9500000000000014e-2
260,0.9811750000000035,1.0,4.05e-2
270,0.9807250000000028,1.0,4.1000000000000016e-2
280,0.9800750000000044,1.0,4.1500000000000016e-2
290,0.9826750000000043,1.0,3.700000000000001e-2
300,0.9825250000000039,1.0,3.200000000000001e-2
310,0.9816750000000044,1.0,3.500000000000001e-2
320,0.981275000000003,1.0,3.650000000000001e-2
330,0.9817000000000035,1.0,4.300000000000002e-2
340,0.9819250000000038,1.0,4.5500000000000006e-2
350,0.9821250000000031,1.0,3.600000000000001e-2
360,0.9824250000000039,1.0,3.4000000000000016e-2
370,0.983750000000003,1.0,2.8500000000000004e-2
380,0.9827250000000036,1.0,3.2500000000000015e-2
390,0.9822000000000034,1.0,3.100000000000001e-2
400,0.9821250000000034,1.0,3.9e-2
410,0.980950000000004,1.0,3.700000000000001e-2
420,0.981550000000003,1.0,3.3500000000000016e-2
430,0.9824250000000034,1.0,3.600000000000001e-2
440,0.9803000000000036,1.0,3.250000000000001e-2
450,0.9825250000000036,1.0,2.6499999999999996e-2
460,0.9825500000000035,1.0,4.05e-2
470,0.980625000000003,1.0,4.250000000000002e-2
480,0.9823250000000031,1.0,3.650000000000001e-2
490,0.9818500000000037,1.0,2.8999999999999998e-2
500,0.9836250000000035,1.0,3.3e-2
