generation,meanFitness,bestFitness,diversity
0,0.49767499999999965,0.67,0.5035000000000001
10,0.7740250000000009,0.87,0.345
20,0.9276999999999994,0.98,0.1255
30,0.9755000000000039,1.0,5.200000000000001e-2
40,0.9821000000000033,1.0,3.800000000000001e-2
50,0.9826750000000033,1.0,2.7500000000000004e-2
60,0.9816000000000034,1.0,3.800000000000001e-2
70,0.9818250000000037,1.0,3.800000000000002e-2
80,0.9804500000000037,1.0,2.8500000000000004e-2
90,0.9817500000000039,1.0,3.450000000000001e-2
100,0.9833250000000031,1.0,3.1000000000000007e-2
110,0.9817500000000033,1.0,3.550000000000001e-2
120,0.9816000000000039,1.0,3.450000000000001e-2
130,0.9809500000000035,1.0,3.4e-2
140,0.9820500000000044,1.0,3.550000000000001e-2
150,0.9826000000000045,1.0,3.250000000000001e-2
160,0.9805500000000034,1.0,3.650000000000001e-2
170,0.9798750000000033,1.0,4.0000000000000015e-2
180,0.9817250000000035,1.0,3.150000000000001e-2
190,0.9825250000000042,1.0,3.25e-2
200,0.9822500000000036,1.0,3.700000000000001e-2
210,0.9821250000000044,1.0,3.9000000000000014e-2
220,0.9814500000000039,1.0,3.6000000000000004e-2
230,0.981525000000003,1.0,3.550000000000001e-2
240,0.9817750000000028,1.0,3.25e-2
250,0.9820750000000029,1.0,3.150000000000001e-2
260,0.9815250000000042,1.0,3.5e-2
270,0.983775000000004,1.0,3.150000000000001e-2
280,0.9816000000000037,1.0,4.650000000000002e-2
290,0.9826000000000039,1.0,3.150000000000001e-2
300,0.983000000000003,1.0,3.200000000000001e-2
310,0.9831000000000034,1.0,3.0000000000000006e-2
320,0.9817000000000031,1.0,3.700000000000001e-2
330,0.9804500000000042,1.0,3.700000000000001e-2
340,0.9805250000000035,1.0,3.850000000000001e-2
350,0.9800750000000034,1.0,2.7500000000000007e-2
360,0.9833000000000035,1.0,3.300000000000001e-2
370,0.9807000000000035,1.0,3.700000000000002e-2
380,0.9820250000000031,1.0,2.8500000000000008e-2
390,0.9817750000000032,1.0,3.450000000000001e-2
400,0.9835250000000031,1.0,3.1000000000000007e-2
410,0.9825750000000038,1.0,3.250000000000001e-2
420,0.9820500000000035,1.0,3.650000000000001e-2
430,0.9844500000000028,1.0,2.900000000000001e-2
440,0.9827000000000035,1.0,3.350000000000001e-2
450,0.9816250000000032,1.0,3.8500000000000006e-2
460,0.9830500000000032,1.0,3.150000000000001e-2
470,0.9814500000000028,1.0,3.45e-2
480,0.9827000000000039,1.0,3.2500000000000015e-2
490,0.981900000000003,1.0,3.850000000000001e-2
500,0.983300000000002,1.0,3.7000000000000005e-2
