generation,meanFitness,bestFitness,diversity
0,0.5019250000000001,0.67,0.506
10,0.7876250000000006,0.89,0.327
20,0.9330749999999999,0.99,0.11950000000000001
30,0.9734000000000036,1.0,5.050000000000001e-2
40,0.9826250000000029,1.0,3.300000000000001e-2
50,0.9819250000000034,1.0,3.8500000000000006e-2
60,0.9828750000000032,1.0,2.8999999999999998e-2
70,0.9819250000000035,1.0,3.500000000000001e-2
80,0.9808750000000032,1.0,3.600000000000001e-2
90,0.9827750000000036,1.0,2.950000000000001e-2
100,0.9810750000000046,1.0,4.5000000000000005e-2
110,0.9791750000000025,1.0,4.300000000000002e-2
120,0.9808250000000034,1.0,3.950000000000001e-2
130,0.9815250000000032,1.0,3.350000000000001e-2
140,0.9839750000000034,1.0,3.8500000000000006e-2
150,0.9830500000000036,1.0,3.150000000000001e-2
160,0.9826750000000039,1.0,3.2e-2
170,0.9797000000000036,1.0,3.75e-2
180,0.980525000000003,1.0,3.75e-2
190,0.9817000000000036,1.0,3.250000000000001e-2
200,0.9827750000000036,1.0,3.250000000000001e-2
210,0.9825500000000039,1.0,3.400000000000001e-2
220,0.9835000000000038,1.0,2.950000000000001e-2
230,0.9821000000000036,1.0,3.550000000000001e-2
240,0.9819250000000033,1.0,3.850000000000002e-2
250,0.9824250000000034,1.0,2.8500000000000004e-2
260,0.9819000000000028,1.0,2.7500000000000004e-2
270,0.9840500000000033,1.0,3.550000000000001e-2
280,0.9831750000000042,1.0,4.1000000000000016e-2
290,0.9823000000000036,1.0,3.0500000000000006e-2
300,0.9811500000000036,1.0,3.500000000000001e-2
310,0.9809500000000032,1.0,3.5e-2
320,0.9828500000000027,1.0,2.3500000000000007e-2
330,0.9815250000000039,1.0,3.000000000000001e-2
340,0.9822250000000033,1.0,3.850000000000001e-2
350,0.9830250000000036,1.0,3.150000000000001e-2
360,0.9830500000000025,1.0,3.550000000000002e-2
370,0.9828000000000037,1.0,4.1500000000000016e-2
380,0.9819250000000036,1.0,3.45e-2
390,0.9833500000000037,1.0,4.0500000000000015e-2
400,0.9805750000000026,1.0,4.250000000000002e-2
410,0.9810000000000035,1.0,3.250000000000001e-2
420,0.9834750000000038,1.0,3.350000000000001e-2
430,0.9830250000000038,1.0,3.450000000000001e-2
440,0.9830250000000034,1.0,3.550000000000001e-2
450,0.9830250000000035,1.0,2.6000000000000002e-2
460,0.9814250000000032,1.0,3.05e-2
470,0.9824000000000038,1.0,3.300000000000001e-2
480,0.9825000000000028,1.0,3.9500000000000014e-2
490,0.9813500000000032,1.0,4.4500000000000005e-2
500,0.982450000000004,1.0,3.600000000000001e-2
