generation,meanFitness,bestFitness,diversity
0,0.4985000000000003,0.62,0.499
10,0.7783500000000007,0.89,0.32399999999999995
20,0.9360249999999998,0.98,0.10600000000000001
30,0.9797250000000044,1.0,4.6500000000000014e-2
40,0.9814750000000028,1.0,3.700000000000001e-2
50,0.9835500000000036,1.0,3.500000000000001e-2
60,0.9818000000000037,1.0,4.0500000000000015e-2
70,0.9830750000000034,1.0,3.400000000000001e-2
80,0.9821000000000026,1.0,3.4e-2
90,0.9814750000000032,1.0,4.0e-2
100,0.9804250000000038,1.0,3.650000000000001e-2
110,0.9840000000000036,1.0,2.9500000000000005e-2
120,0.9816250000000046,1.0,4.05e-2
130,0.981650000000004,1.0,5.050000000000001e-2
140,0.9831750000000037,1.0,3.1000000000000007e-2
150,0.9819250000000029,1.0,3.400000000000001e-2
160,0.9817500000000038,1.0,3.150000000000001e-2
170,0.9826250000000032,1.0,3.350000000000001e-2
180,0.9803250000000037,1.0,3.4999999999999996e-2
190,0.9817250000000037,1.0,3.000000000000001e-2
200,0.9819500000000042,1.0,3.300000000000001e-2
210,0.981275000000004,1.0,3.1000000000000007e-2
220,0.9818250000000036,1.0,3.850000000000001e-2
230,0.9842750000000038,1.0,2.8500000000000004e-2
240,0.9841000000000031,1.0,3.2e-2
250,0.9828750000000035,1.0,3.8e-2
260,0.9828250000000032,1.0,3.200000000000001e-2
270,0.9820500000000041,1.0,3.150000000000001e-2
280,0.9824750000000035,1.0,3.0500000000000006e-2
290,0.9814250000000032,1.0,3.800000000000001e-2
300,0.9799250000000037,1.0,3.9e-2
310,0.9819000000000037,1.0,4.200000000000001e-2
320,0.9816500000000029,1.0,4.0999999999999995e-2
330,0.9825750000000035,1.0,3.600000000000001e-2
340,0.9824500000000035,1.0,3.300000000000001e-2
350,0.9808250000000035,1.0,3.750000000000001e-2
360,0.9824000000000034,1.0,3.900000000000001e-2
370,0.9824500000000036,1.0,4.0e-2
380,0.9799000000000042,1.0,4.2000000000000016e-2
390,0.9811250000000038,1.0,3.650000000000001e-2
400,0.9816250000000037,1.0,3.300000000000001e-2
410,0.9834500000000038,1.0,3.9000000000000014e-2
420,0.9830750000000034,1.0,3.800000000000001e-2
430,0.9828500000000038,1.0,3.350000000000001e-2
440,0.9818000000000039,1.0,4.0500000000000015e-2
450,0.9812250000000031,1.0,3.650000000000001e-2
460,0.9817750000000034,1.0,3.300000000000001e-2
470,0.9818500000000039,1.0,4.250000000000001e-2
480,0.9827250000000042,1.0,2.9500000000000005e-2
490,0.9813500000000033,1.0,3.95e-2
500,0.9821500000000029,1.0,3.8500000000000006e-2
