generation,meanFitness,bestFitness,diversity
0,0.5032000000000003,0.64,0.5085
10,0.7818999999999992,0.88,0.33449999999999996
20,0.931425,0.98,0.11850000000000001
30,0.9734500000000026,1.0,5.150000000000001e-2
40,0.9814250000000032,1.0,4.25e-2
50,0.9823750000000047,1.0,3.1000000000000007e-2
60,0.9816750000000039,1.0,3.450000000000002e-2
70,0.9803750000000028,1.0,4.200000000000001e-2
80,0.983100000000004,1.0,3.450000000000001e-2
90,0.9808250000000039,1.0,4.350000000000002e-2
100,0.981100000000004,1.0,3.700000000000001e-2
110,0.9840500000000034,1.0,2.5e-2
120,0.982175000000004,1.0,3.150000000000001e-2
130,0.9827750000000028,1.0,3.500000000000001e-2
140,0.9819000000000037,1.0,4.2000000000000016e-2
150,0.981525000000003,1.0,3.0000000000000006e-2
160,0.9829250000000035,1.0,3.2000000000000015e-2
170,0.9808500000000037,1.0,3.350000000000001e-2
180,0.9821000000000033,1.0,4.25e-2
190,0.9836750000000033,1.0,3.450000000000002e-2
200,0.983500000000003,1.0,3.600000000000001e-2
210,0.9840500000000035,1.0,3.0999999999999993e-2
220,0.9824500000000032,1.0,3.700000000000001e-2
230,0.9806500000000032,1.0,3.800000000000001e-2
240,0.9796250000000032,1.0,4.1500000000000016e-2
250,0.9823250000000036,1.0,3.600000000000001e-2
260,0.9822750000000033,1.0,3.500000000000001e-2
270,0.9818250000000036,1.0,3.800000000000001e-2
280,0.981850000000004,1.0,2.8500000000000004e-2
290,0.9818000000000039,1.0,3.1500000000000014e-2
300,0.9832750000000036,1.0,3.600000000000001e-2
310,0.9806750000000035,1.0,4.050000000000001e-2
320,0.9811750000000045,1.0,3.500000000000001e-2
330,0.9823750000000038,1.0,3.650000000000001e-2
340,0.9816750000000034,1.0,4.250000000000002e-2
350,0.9826750000000043,1.0,3.400000000000001e-2
360,0.9818750000000032,1.0,3.9e-2
370,0.9812750000000031,1.0,2.6500000000000013e-2
380,0.9810000000000036,1.0,3.8500000000000006e-2
390,0.9795750000000037,1.0,4.5500000000000006e-2
400,0.9827500000000036,1.0,3.1000000000000007e-2
410,0.9816000000000035,1.0,3.450000000000001e-2
420,0.9817500000000026,1.0,3.950000000000001e-2
430,0.9814000000000038,1.0,3.250000000000001e-2
440,0.9819250000000034,1.0,3.9500000000000014e-2
450,0.9828750000000032,1.0,3.1000000000000007e-2
460,0.9830250000000024,1.0,3.1500000000000014e-2
470,0.9812750000000028,1.0,3.400000000000001e-2
480,0.9795000000000035,1.0,4.2e-2
490,0.9822000000000031,1.0,4.150000000000002e-2
500,0.9825500000000034,1.0,3.450000000000001e-2
