generation,meanFitness,bestFitness,diversity
0,0.5041500000000003,0.66,0.5064999999999998
10,0.77905,0.89,0.3195
20,0.9332999999999998,0.99,0.12800000000000003
30,0.9776750000000028,1.0,4.450000000000002e-2
40,0.9818500000000039,1.0,3.200000000000001e-2
50,0.982900000000003,1.0,4.05e-2
60,0.9818000000000034,1.0,4.3000000000000003e-2
70,0.9824250000000037,1.0,3.3e-2
80,0.9810750000000036,1.0,3.9500000000000014e-2
90,0.9811000000000035,1.0,3.600000000000001e-2
100,0.9821750000000032,1.0,4.0000000000000015e-2
110,0.9819750000000039,1.0,3.8000000000000006e-2
120,0.9828250000000027,1.0,3.8000000000000006e-2
130,0.9814000000000036,1.0,3.0500000000000006e-2
140,0.9833250000000042,1.0,3.250000000000001e-2
150,0.9820750000000028,1.0,3.750000000000001e-2
160,0.981850000000003,1.0,3.8000000000000006e-2
170,0.9836250000000039,1.0,3.600000000000001e-2
180,0.9823750000000033,1.0,3.250000000000001e-2
190,0.9820500000000039,1.0,3.4e-2
200,0.9806250000000031,1.0,3.650000000000001e-2
210,0.9815750000000039,1.0,4.0500000000000015e-2
220,0.9823250000000037,1.0,3.700000000000002e-2
230,0.9818250000000037,1.0,3.750000000000001e-2
240,0.9827000000000038,1.0,3.400000000000001e-2
250,0.9836500000000032,1.0,2.5000000000000005e-2
260,0.9833500000000036,1.0,3.650000000000002e-2
270,0.9813750000000038,1.0,3.750000000000001e-2
280,0.9828000000000032,1.0,3.150000000000001e-2
290,0.982400000000003,1.0,3.800000000000001e-2
300,0.9801000000000039,1.0,4.15e-2
310,0.9805500000000026,1.0,3.600000000000001e-2
320,0.9822000000000033,1.0,4.400000000000002e-2
330,0.9833500000000032,1.0,2.9000000000000005e-2
340,0.9827750000000027,1.0,2.8000000000000008e-2
350,0.9817750000000032,1.0,3.400000000000001e-2
360,0.9813000000000035,1.0,3.4e-2
370,0.9826500000000036,1.0,3.250000000000001e-2
380,0.9800000000000036,1.0,3.750000000000001e-2
390,0.9826500000000036,1.0,3.5500000000000004e-2
400,0.9823000000000026,1.0,3.9000000000000014e-2
410,0.981850000000003,1.0,3.850000000000001e-2
420,0.9825250000000025,1.0,2.3000000000000003e-2
430,0.9805750000000031,1.0,4.4000000000000004e-2
440,0.9798250000000038,1.0,4.25e-2
450,0.9821250000000044,1.0,2.8500000000000008e-2
460,0.9826500000000042,1.0,3.300000000000001e-2
470,0.9825500000000028,1.0,2.5e-2
480,0.9823000000000041,1.0,3.300000000000001e-2
490,0.9809750000000029,1.0,3.1000000000000007e-2
500,0.9825250000000036,1.0,3.0500000000000006e-2
