generation,meanFitness,bestFitness,diversity
0,0.49994999999999984,0.65,0.4865000000000001
10,0.7822499999999996,0.87,0.32249999999999995
20,0.9324750000000002,0.99,0.12300000000000003
30,0.9811750000000034,1.0,3.750000000000001e-2
40,0.9832250000000041,1.0,3.550000000000001e-2
50,0.9814750000000031,1.0,3.9500000000000014e-2
60,0.9802750000000036,1.0,4.1500000000000016e-2
70,0.9816250000000043,1.0,3.0000000000000006e-2
80,0.9818500000000039,1.0,3.500000000000001e-2
90,0.9806000000000039,1.0,3.500000000000002e-2
100,0.9807500000000033,1.0,3.850000000000001e-2
110,0.9817750000000045,1.0,3.0000000000000006e-2
120,0.9832000000000031,1.0,2.3999999999999997e-2
130,0.9836500000000038,1.0,3.750000000000002e-2
140,0.9809500000000031,1.0,3.200000000000001e-2
150,0.9812250000000025,1.0,4.25e-2
160,0.981850000000003,1.0,3.800000000000001e-2
170,0.9823000000000032,1.0,2.950000000000001e-2
180,0.9841750000000035,1.0,3.600000000000001e-2
190,0.982175000000004,1.0,3.550000000000001e-2
200,0.9835500000000039,1.0,3.450000000000001e-2
210,0.9824250000000038,1.0,2.7499999999999997e-2
220,0.9798750000000037,1.0,4.1500000000000016e-2
230,0.9816500000000026,1.0,3.5e-2
240,0.9841750000000031,1.0,3.15e-2
250,0.9822750000000036,1.0,4.1000000000000016e-2
260,0.9829750000000048,1.0,2.8500000000000008e-2
270,0.9820250000000034,1.0,4.1000000000000016e-2
280,0.9812000000000032,1.0,3.900000000000001e-2
290,0.9834500000000038,1.0,3.600000000000001e-2
300,0.9814750000000032,1.0,3.0500000000000006e-2
310,0.9815000000000037,1.0,3.350000000000001e-2
320,0.9825250000000032,1.0,3.300000000000001e-2
330,0.9810500000000033,1.0,3.9000000000000014e-2
340,0.9827750000000033,1.0,3.9e-2
350,0.9831750000000032,1.0,3.1e-2
360,0.9812500000000037,1.0,3.700000000000001e-2
370,0.982525000000004,1.0,3.650000000000001e-2
380,0.9823250000000031,1.0,3.9000000000000014e-2
390,0.982675000000004,1.0,3.6000000000000004e-2
400,0.979500000000003,1.0,4.700000000000001e-2
410,0.9803250000000038,1.0,3.6500000000000005e-2
420,0.9844000000000027,1.0,2.3000000000000003e-2
430,0.9818000000000033,1.0,3.850000000000001e-2
440,0.984500000000004,1.0,2.6500000000000006e-2
450,0.9827250000000031,1.0,3.250000000000001e-2
460,0.9835500000000035,1.0,3.350000000000001e-2
470,0.9812000000000037,1.0,4.2000000000000016e-2
480,0.9829750000000034,1.0,2.4500000000000004e-2
490,0.9827750000000036,1.0,3.650000000000001e-2
500,0.9821500000000033,1.0,3.700000000000001e-2
