generation,meanFitness,bestFitness,diversity
0,0.49767499999999965,0.67,0.5035000000000001
10,0.7740250000000009,0.87,0.345
20,0.9329000000000006,1.0,0.11600000000000003
30,0.979350000000004,1.0,3.550000000000001e-2
40,0.9839250000000028,1.0,3.450000000000001e-2
50,0.9828000000000036,1.0,3.0000000000000006e-2
60,0.9818000000000034,1.0,3.450000000000001e-2
70,0.9819000000000035,1.0,3.9000000000000014e-2
80,0.9808500000000034,1.0,2.7000000000000007e-2
90,0.980950000000004,1.0,3.150000000000001e-2
100,0.9838750000000034,1.0,3.100000000000001e-2
110,0.9819250000000033,1.0,3.300000000000001e-2
120,0.9820500000000041,1.0,3.600000000000001e-2
130,0.9808250000000033,1.0,3.5500000000000004e-2
140,0.9817750000000041,1.0,3.7000000000000005e-2
150,0.9831750000000044,1.0,3.050000000000001e-2
160,0.9805750000000032,1.0,3.500000000000001e-2
170,0.9801500000000033,1.0,4.1000000000000016e-2
180,0.9816500000000032,1.0,3.150000000000001e-2
190,0.9827000000000038,1.0,3.1000000000000007e-2
200,0.9815750000000034,1.0,3.750000000000001e-2
210,0.9823250000000037,1.0,3.9500000000000014e-2
220,0.9816250000000035,1.0,3.4999999999999996e-2
230,0.9810750000000035,1.0,4.0000000000000015e-2
240,0.9824750000000029,1.0,3.150000000000001e-2
250,0.9816500000000038,1.0,3.300000000000001e-2
260,0.982025000000004,1.0,3.600000000000001e-2
270,0.9828750000000038,1.0,3.25e-2
280,0.9814000000000043,1.0,4.450000000000002e-2
290,0.9825750000000036,1.0,3.0500000000000006e-2
300,0.982825000000003,1.0,3.150000000000001e-2
310,0.9834750000000034,1.0,2.8500000000000004e-2
320,0.9815750000000031,1.0,3.949999999999999e-2
330,0.9799250000000044,1.0,3.8500000000000006e-2
340,0.9797750000000033,1.0,3.9500000000000014e-2
350,0.9804250000000034,1.0,2.6500000000000006e-2
360,0.9834500000000037,1.0,3.450000000000001e-2
370,0.980450000000003,1.0,3.600000000000001e-2
380,0.9819500000000032,1.0,2.8000000000000008e-2
390,0.9819750000000036,1.0,3.600000000000001e-2
400,0.9829750000000033,1.0,3.2000000000000015e-2
410,0.9826000000000045,1.0,3.300000000000001e-2
420,0.9816750000000027,1.0,3.9500000000000014e-2
430,0.9846250000000029,1.0,2.8000000000000004e-2
440,0.9823250000000039,1.0,3.400000000000001e-2
450,0.9809000000000033,1.0,4.050000000000001e-2
460,0.9830500000000033,1.0,3.1000000000000007e-2
470,0.9814500000000023,1.0,3.400000000000001e-2
480,0.9821500000000036,1.0,3.4000000000000016e-2
490,0.9821750000000027,1.0,3.9000000000000014e-2
500,0.9829000000000027,1.0,3.900000000000001e-2
