generation,meanFitness,bestFitness,diversity
0,0.5040750000000002,0.64,0.5175000000000001
10,0.7713249999999995,0.86,0.314
20,0.9248749999999996,0.98,0.137
30,0.9763000000000028,1.0,4.45e-2
40,0.9817750000000025,1.0,4.350000000000001e-2
50,0.9824000000000039,1.0,3.550000000000001e-2
60,0.9810750000000033,1.0,3.9500000000000014e-2
70,0.9833750000000037,1.0,3.500000000000001e-2
80,0.9834250000000044,1.0,3.1000000000000007e-2
90,0.9831750000000038,1.0,3.400000000000001e-2
100,0.9824500000000043,1.0,4.1000000000000016e-2
110,0.980625000000004,1.0,3.500000000000001e-2
120,0.9820000000000035,1.0,3.650000000000001e-2
130,0.9813000000000041,1.0,2.6000000000000006e-2
140,0.9811750000000034,1.0,3.9000000000000014e-2
150,0.9813500000000036,1.0,4.0499999999999994e-2
160,0.9823250000000037,1.0,3.450000000000001e-2
170,0.9823750000000033,1.0,3.450000000000001e-2
180,0.9824750000000035,1.0,3.400000000000001e-2
190,0.9825250000000036,1.0,3.650000000000001e-2
200,0.983400000000003,1.0,2.7500000000000004e-2
210,0.9825000000000038,1.0,3.450000000000001e-2
220,0.9817250000000038,1.0,3.9e-2
230,0.9830000000000031,1.0,3.650000000000001e-2
240,0.9816250000000042,1.0,2.7499999999999997e-2
250,0.9809250000000034,1.0,3.3499999999999995e-2
260,0.9810500000000038,1.0,3.9500000000000014e-2
270,0.9820500000000026,1.0,3.6e-2
280,0.9808000000000038,1.0,3.750000000000001e-2
290,0.981800000000003,1.0,4.1000000000000016e-2
300,0.9816500000000035,1.0,2.9500000000000005e-2
310,0.9815000000000034,1.0,4.6000000000000006e-2
320,0.9823500000000034,1.0,3.750000000000001e-2
330,0.9807750000000034,1.0,3.150000000000001e-2
340,0.9839500000000042,1.0,2.9000000000000005e-2
350,0.9830500000000028,1.0,3.2e-2
360,0.982800000000003,1.0,3.15e-2
370,0.9838250000000034,1.0,3.0500000000000006e-2
380,0.981900000000004,1.0,3.95e-2
390,0.9847250000000034,1.0,3.3999999999999996e-2
400,0.982900000000003,1.0,3.600000000000001e-2
410,0.9835500000000036,1.0,3.350000000000001e-2
420,0.9809000000000029,1.0,4.0000000000000015e-2
430,0.981000000000003,1.0,4.8000000000000015e-2
440,0.981550000000003,1.0,3.800000000000001e-2
450,0.9841500000000033,1.0,2.8000000000000004e-2
460,0.9804500000000033,1.0,3.400000000000001e-2
470,0.9829750000000038,1.0,3.7000000000000005e-2
480,0.9838250000000036,1.0,3.3e-2
490,0.9835000000000035,1.0,3.200000000000001e-2
500,0.9824250000000038,1.0,4.0500000000000015e-2
