generation,meanFitness,bestFitness,diversity
0,0.5032000000000003,0.64,0.5085
10,0.7818999999999992,0.88,0.33449999999999996
20,0.9336999999999999,0.98,0.11550000000000002
30,0.9768000000000037,1.0,4.4000000000000004e-2
40,0.9823250000000037,1.0,4.1000000000000016e-2
50,0.9818250000000045,1.0,3.650000000000001e-2
60,0.9819750000000027,1.0,3.300000000000001e-2
70,0.9799000000000032,1.0,4.300000000000001e-2
80,0.9829000000000042,1.0,3.550000000000001e-2
90,0.9814000000000034,1.0,4.0000000000000015e-2
100,0.980875000000004,1.0,3.450000000000001e-2
110,0.9837750000000033,1.0,2.5000000000000005e-2
120,0.9822000000000037,1.0,3.250000000000001e-2
130,0.983150000000003,1.0,3.3e-2
140,0.9820250000000037,1.0,4.350000000000002e-2
150,0.9817250000000028,1.0,2.9000000000000005e-2
160,0.9827250000000035,1.0,3.400000000000001e-2
170,0.9815250000000033,1.0,3.400000000000001e-2
180,0.9816250000000035,1.0,4.300000000000002e-2
190,0.9831750000000031,1.0,3.550000000000001e-2
200,0.9829750000000032,1.0,3.300000000000001e-2
210,0.9834000000000036,1.0,3.400000000000001e-2
220,0.9830250000000029,1.0,3.850000000000001e-2
230,0.9806000000000036,1.0,3.800000000000001e-2
240,0.9794750000000034,1.0,3.9500000000000014e-2
250,0.9818500000000034,1.0,3.4e-2
260,0.9823750000000033,1.0,3.300000000000001e-2
270,0.9819000000000041,1.0,3.800000000000001e-2
280,0.9818500000000037,1.0,2.7000000000000007e-2
290,0.9821750000000041,1.0,3.1000000000000007e-2
300,0.9835250000000029,1.0,3.400000000000001e-2
310,0.9808500000000037,1.0,4.2000000000000016e-2
320,0.9800500000000046,1.0,3.850000000000001e-2
330,0.9821500000000037,1.0,3.750000000000001e-2
340,0.9811250000000028,1.0,4.400000000000002e-2
350,0.9820250000000041,1.0,3.600000000000001e-2
360,0.9823750000000028,1.0,4.05e-2
370,0.9814750000000032,1.0,2.7500000000000007e-2
380,0.9810500000000036,1.0,4.3500000000000004e-2
390,0.9794500000000039,1.0,4.5e-2
400,0.9827750000000037,1.0,3.1000000000000007e-2
410,0.9811000000000034,1.0,3.4999999999999996e-2
420,0.9808750000000025,1.0,4.1999999999999996e-2
430,0.9813500000000036,1.0,3.200000000000001e-2
440,0.9817000000000036,1.0,4.300000000000002e-2
450,0.9826750000000033,1.0,3.1500000000000014e-2
460,0.9833000000000025,1.0,3.100000000000001e-2
470,0.9817000000000027,1.0,3.250000000000001e-2
480,0.9794500000000036,1.0,4.4500000000000005e-2
490,0.9815000000000036,1.0,4.550000000000002e-2
500,0.9826500000000032,1.0,3.450000000000001e-2
