generation,meanFitness,bestFitness,diversity
0,0.49727499999999947,0.65,0.49450000000000005
10,0.7718249999999997,0.86,0.35
20,0.9298500000000003,0.99,0.12300000000000003
30,0.9743750000000019,1.0,4.800000000000001e-2
40,0.9826500000000035,1.0,2.5500000000000005e-2
50,0.9824750000000044,1.0,2.6000000000000002e-2
60,0.9814250000000034,1.0,2.9500000000000005e-2
70,0.9801750000000037,1.0,4.7500000000000014e-2
80,0.9825500000000038,1.0,3.6000000000000004e-2
90,0.9840000000000034,1.0,2.9500000000000005e-2
100,0.9838000000000038,1.0,3.350000000000001e-2
110,0.9822500000000041,1.0,4.3500000000000004e-2
120,0.979925000000003,1.0,3.850000000000001e-2
130,0.9823750000000031,1.0,3.050000000000001e-2
140,0.9837250000000037,1.0,3.650000000000001e-2
150,0.9827000000000042,1.0,3.650000000000001e-2
160,0.9822500000000032,1.0,3.350000000000001e-2
170,0.9811000000000034,1.0,4.1000000000000016e-2
180,0.9824000000000036,1.0,3.800000000000001e-2
190,0.9813750000000041,1.0,3.550000000000001e-2
200,0.9827250000000031,1.0,3.400000000000001e-2
210,0.9822500000000031,1.0,3.250000000000001e-2
220,0.9839750000000028,1.0,2.7500000000000004e-2
230,0.9810000000000039,1.0,3.750000000000001e-2
240,0.9823500000000034,1.0,4.1000000000000016e-2
250,0.982625000000003,1.0,2.7000000000000014e-2
260,0.9810250000000035,1.0,4.350000000000001e-2
270,0.9826500000000035,1.0,3.950000000000002e-2
280,0.9807000000000035,1.0,3.850000000000001e-2
290,0.9802000000000035,1.0,3.350000000000001e-2
300,0.982800000000004,1.0,4.1000000000000016e-2
310,0.9819250000000038,1.0,3.650000000000001e-2
320,0.9828750000000029,1.0,3.550000000000001e-2
330,0.9814000000000037,1.0,3.650000000000001e-2
340,0.9831000000000042,1.0,3.05e-2
350,0.982400000000004,1.0,4.0000000000000015e-2
360,0.982625000000004,1.0,3.3499999999999995e-2
370,0.9828500000000032,1.0,3.3500000000000016e-2
380,0.9825000000000033,1.0,3.0500000000000006e-2
390,0.9830750000000036,1.0,3.200000000000001e-2
400,0.9824500000000039,1.0,3.0500000000000006e-2
410,0.9812750000000033,1.0,3.650000000000001e-2
420,0.9810000000000032,1.0,3.500000000000001e-2
430,0.9820250000000028,1.0,4.400000000000002e-2
440,0.9830000000000028,1.0,2.7500000000000004e-2
450,0.9832250000000041,1.0,2.8500000000000004e-2
460,0.9824250000000028,1.0,3.2000000000000015e-2
470,0.9815000000000031,1.0,3.9000000000000014e-2
480,0.9797500000000035,1.0,4.1500000000000016e-2
490,0.9809500000000031,1.0,4.600000000000001e-2
500,0.9833000000000027,1.0,2.9000000000000005e-2
