generation,meanFitness,bestFitness,diversity
0,0.5018500000000006,0.65,0.495
10,0.7821833333333322,0.88,0.318
20,0.9194499999999992,0.98,0.1395
30,0.9741166666666726,1.0,4.9500000000000016e-2
40,0.9793666666666733,1.0,4.75e-2
50,0.98308333333334,1.0,3.300000000000001e-2
60,0.9808666666666734,1.0,3.450000000000002e-2
70,0.9830000000000065,1.0,3.750000000000001e-2
80,0.9828666666666724,1.0,3.000000000000001e-2
90,0.9837666666666731,1.0,3.500000000000001e-2
100,0.9809333333333395,1.0,4.100000000000001e-2
110,0.981433333333339,1.0,3.650000000000001e-2
120,0.9806833333333396,1.0,3.650000000000001e-2
130,0.9810000000000065,1.0,3.200000000000001e-2
140,0.9824500000000063,1.0,3.800000000000001e-2
150,0.9800833333333403,1.0,4.0500000000000015e-2
160,0.982200000000006,1.0,3.200000000000001e-2
170,0.9821666666666731,1.0,3.0500000000000006e-2
180,0.9809666666666726,1.0,4.0e-2
190,0.9814666666666733,1.0,4.0500000000000015e-2
200,0.9812333333333396,1.0,4.1500000000000016e-2
210,0.9829166666666729,1.0,3.9500000000000014e-2
220,0.9828166666666734,1.0,2.95e-2
230,0.9827333333333393,1.0,4.400000000000002e-2
240,0.9817333333333391,1.0,3.700000000000001e-2
250,0.9827833333333401,1.0,3.95e-2
260,0.9814000000000063,1.0,4.2000000000000016e-2
270,0.98188333333334,1.0,3.750000000000001e-2
280,0.982316666666673,1.0,3.100000000000001e-2
290,0.9818000000000069,1.0,3.850000000000001e-2
300,0.9813333333333403,1.0,3.450000000000001e-2
310,0.9812500000000072,1.0,3.800000000000002e-2
320,0.9820666666666727,1.0,3.500000000000001e-2
330,0.9823833333333397,1.0,3.95e-2
340,0.980916666666673,1.0,3.400000000000001e-2
350,0.9814000000000073,1.0,4.1500000000000016e-2
360,0.9819500000000068,1.0,3.850000000000001e-2
370,0.9822666666666732,1.0,2.6500000000000003e-2
380,0.9828666666666726,1.0,2.9500000000000005e-2
390,0.9799833333333392,1.0,4.0500000000000015e-2
400,0.9807666666666728,1.0,3.650000000000001e-2
410,0.9815500000000069,1.0,3.300000000000001e-2
420,0.9809333333333397,1.0,3.6e-2
430,0.9795833333333401,1.0,3.550000000000001e-2
440,0.9816000000000069,1.0,3.6e-2
450,0.9829333333333405,1.0,3.050000000000001e-2
460,0.980950000000006,1.0,4.1500000000000016e-2
470,0.9818166666666736,1.0,3.6e-2
480,0.9813500000000069,1.0,2.9500000000000005e-2
490,0.9811000000000073,1.0,3.950000000000001e-2
500,0.9826333333333395,1.0,3.200000000000001e-2
