Up to date
generation,meanFitness,bestFitness,diversity
0,0.5004107142857143,0.67,0.4964999999999999
10,0.7908142857142715,0.92,0.31999999999999995
20,0.9383857142857223,1.0,0.11450000000000005
30,0.9790607142857006,1.0,4.250000000000002e-2
40,0.9818857142856979,1.0,3.9500000000000014e-2
50,0.9826214285714145,1.0,3.700000000000001e-2
60,0.9830107142856993,1.0,3.150000000000001e-2
70,0.981889285714272,1.0,3.2499999999999994e-2
80,0.9827464285714138,1.0,3.350000000000001e-2
90,0.9827535714285588,1.0,3.9e-2
100,0.9824035714285573,1.0,3.45e-2
110,0.9827892857142719,1.0,2.9000000000000005e-2
120,0.9823035714285581,1.0,3.100000000000001e-2
130,0.9825071428571297,1.0,3.650000000000001e-2
140,0.9820607142856977,1.0,3.800000000000001e-2
150,0.9824535714285565,1.0,3.7e-2
160,0.9823964285714156,1.0,3.250000000000001e-2
170,0.9823571428571299,1.0,3.1000000000000007e-2
180,0.9823499999999838,1.0,3.700000000000001e-2
190,0.9820999999999876,1.0,4.5000000000000005e-2
200,0.9828142857142721,1.0,3.1000000000000007e-2
210,0.9828892857142701,1.0,3.1000000000000007e-2
220,0.9828285714285551,1.0,4.0000000000000015e-2
230,0.982567857142843,1.0,2.9500000000000005e-2
240,0.982960714285701,1.0,2.7000000000000007e-2
250,0.9827999999999858,1.0,3.15e-2
260,0.9828357142857005,1.0,3.1000000000000007e-2
270,0.9824678571428445,1.0,3.9500000000000014e-2
280,0.9828214285714146,1.0,3.600000000000001e-2
290,0.9822035714285572,1.0,3.65e-2
300,0.9826857142857008,1.0,3.250000000000001e-2
310,0.9820249999999853,1.0,2.9500000000000005e-2
320,0.981910714285699,1.0,4.450000000000001e-2
330,0.9825357142857001,1.0,3.800000000000001e-2
340,0.9825999999999848,1.0,3.250000000000001e-2
350,0.9826035714285587,1.0,3.150000000000001e-2
360,0.9829964285714152,1.0,3.400000000000001e-2
370,0.9829321428571286,1.0,3.550000000000001e-2
380,0.9828464285714139,1.0,3.2000000000000015e-2
390,0.9826678571428417,1.0,3.500000000000001e-2
400,0.9826499999999838,1.0,3.650000000000001e-2
410,0.9820071428571278,1.0,4.450000000000002e-2
420,0.9824321428571279,1.0,3.600000000000001e-2
430,0.9824107142857004,1.0,2.8000000000000008e-2
440,0.9825892857142725,1.0,4.0000000000000015e-2
450,0.9826214285714148,1.0,3.400000000000001e-2
460,0.982749999999984,1.0,3.950000000000001e-2
470,0.9818178571428429,1.0,4.1000000000000016e-2
480,0.9822392857142709,1.0,3.600000000000001e-2
490,0.9823285714285567,1.0,3.350000000000001e-2
500,0.9823642857142713,1.0,3.650000000000001e-2
