Build profile: -w ghc-9.4.7 -O1
In order, the following will be built (use -v for more details):
 - topology-experiments-0.1.0.0 (exe:topology-sim) (file src/Main.hs changed)
Preprocessing executable 'topology-sim' for topology-experiments-0.1.0.0..
Building executable 'topology-sim' for topology-experiments-0.1.0.0..
[3 of 9] Compiling NKLandscape      ( src/NKLandscape.hs, /home/lyra/projects/Topology-experiments/dist-newstyle/build/aarch64-linux/ghc-9.4.7/topology-experiments-0.1.0.0/x/topology-sim/build/topology-sim/topology-sim-tmp/NKLandscape.o )
[9 of 9] Compiling Main             ( src/Main.hs, /home/lyra/projects/Topology-experiments/dist-newstyle/build/aarch64-linux/ghc-9.4.7/topology-experiments-0.1.0.0/x/topology-sim/build/topology-sim/topology-sim-tmp/Main.o ) [Source file changed]
[10 of 10] Linking /home/lyra/projects/Topology-experiments/dist-newstyle/build/aarch64-linux/ghc-9.4.7/topology-experiments-0.1.0.0/x/topology-sim/build/topology-sim/topology-sim [Objects changed]
generation,meanFitness,bestFitness,diversity
0,0.5001178571428576,0.68,0.5110000000000001
10,0.7928571428571276,0.9,0.3205
20,0.9406285714285817,1.0,0.10950000000000001
30,0.9785142857142738,1.0,4.500000000000002e-2
40,0.9820178571428441,1.0,2.9000000000000005e-2
50,0.9820357142856991,1.0,3.1e-2
60,0.9826535714285559,1.0,3.650000000000001e-2
70,0.9826714285714143,1.0,3.600000000000001e-2
80,0.9827857142856987,1.0,2.950000000000001e-2
90,0.9825892857142727,1.0,3.200000000000001e-2
100,0.9826857142857016,1.0,2.7500000000000004e-2
110,0.9832035714285553,1.0,2.7500000000000004e-2
120,0.9826142857142697,1.0,3.250000000000001e-2
130,0.9825892857142711,1.0,3.9000000000000014e-2
140,0.98268928571427,1.0,3.300000000000001e-2
150,0.9820857142857011,1.0,3.250000000000001e-2
160,0.9819357142857014,1.0,3.0500000000000006e-2
170,0.9817999999999865,1.0,3.45e-2
180,0.9826285714285589,1.0,3.5500000000000004e-2
190,0.9826214285714142,1.0,2.5500000000000002e-2
200,0.9824142857142725,1.0,2.9500000000000005e-2
210,0.9822642857142702,1.0,3.400000000000001e-2
220,0.9828464285714155,1.0,3.5e-2
230,0.982949999999984,1.0,3.300000000000001e-2
240,0.9825428571428423,1.0,3.4999999999999996e-2
250,0.982110714285701,1.0,3.500000000000001e-2
260,0.9825714285714143,1.0,3.450000000000001e-2
270,0.9825178571428419,1.0,3.350000000000001e-2
280,0.9825357142857003,1.0,3.200000000000001e-2
290,0.982846428571413,1.0,3.550000000000001e-2
300,0.9828964285714135,1.0,3.2000000000000015e-2
310,0.9822785714285545,1.0,3.800000000000001e-2
320,0.9823928571428424,1.0,3.65e-2
330,0.9822178571428413,1.0,2.8500000000000004e-2
340,0.9827499999999847,1.0,3.850000000000001e-2
350,0.9821178571428422,1.0,3.450000000000001e-2
360,0.9822642857142707,1.0,4.250000000000002e-2
370,0.9820285714285583,1.0,3.350000000000001e-2
380,0.9820107142856994,1.0,3.0500000000000006e-2
390,0.9827285714285563,1.0,3.250000000000001e-2
400,0.9829607142856978,1.0,2.5500000000000005e-2
410,0.9815428571428433,1.0,3.0500000000000006e-2
420,0.9817107142857003,1.0,3.200000000000001e-2
430,0.9822285714285561,1.0,3.650000000000001e-2
440,0.9819571428571284,1.0,3.350000000000001e-2
450,0.9824357142857015,1.0,4.0500000000000015e-2
460,0.9823428571428436,1.0,3.9500000000000014e-2
470,0.9820535714285549,1.0,3.200000000000001e-2
480,0.9827321428571268,1.0,2.8000000000000004e-2
490,0.9822535714285566,1.0,3.9500000000000014e-2
500,0.9828571428571307,1.0,3.200000000000001e-2
