Up to date
generation,meanFitness,bestFitness,diversity
0,0.5008875000000004,0.64,0.4924999999999999
10,0.7925999999999973,0.9,0.32249999999999995
20,0.9375249999999999,1.0,0.11500000000000002
30,0.9782750000000093,1.0,3.500000000000001e-2
40,0.9824500000000091,1.0,3.700000000000001e-2
50,0.9822250000000093,1.0,3.4e-2
60,0.9830375000000086,1.0,3.0500000000000006e-2
70,0.9819625000000096,1.0,4.500000000000002e-2
80,0.9826250000000081,1.0,3.450000000000001e-2
90,0.9830125000000087,1.0,3.600000000000001e-2
100,0.9826500000000084,1.0,3.85e-2
110,0.982700000000009,1.0,3.200000000000001e-2
120,0.9820750000000084,1.0,3.550000000000001e-2
130,0.9821875000000085,1.0,3.750000000000001e-2
140,0.9820250000000084,1.0,2.6500000000000003e-2
150,0.9827750000000084,1.0,3.350000000000001e-2
160,0.9822500000000091,1.0,3.050000000000001e-2
170,0.9817375000000084,1.0,3.300000000000001e-2
180,0.9826875000000089,1.0,3.150000000000001e-2
190,0.9818250000000087,1.0,3.0000000000000006e-2
200,0.982875000000009,1.0,3.150000000000001e-2
210,0.9818125000000097,1.0,2.900000000000001e-2
220,0.9824375000000096,1.0,3.800000000000001e-2
230,0.9834500000000084,1.0,3.300000000000001e-2
240,0.9820250000000087,1.0,4.2000000000000016e-2
250,0.9830625000000086,1.0,3.05e-2
260,0.9830000000000081,1.0,3.8000000000000006e-2
270,0.9814250000000091,1.0,3.6000000000000004e-2
280,0.9844250000000083,1.0,2.7000000000000007e-2
290,0.9814250000000087,1.0,3.250000000000001e-2
300,0.9832500000000087,1.0,3.2499999999999994e-2
310,0.9828875000000084,1.0,3.05e-2
320,0.9811000000000089,1.0,4.700000000000002e-2
330,0.9822750000000089,1.0,4.0000000000000015e-2
340,0.9842375000000088,1.0,3.150000000000001e-2
350,0.9828125000000082,1.0,3.200000000000001e-2
360,0.9824625000000086,1.0,3.200000000000001e-2
370,0.9822000000000094,1.0,3.650000000000001e-2
380,0.9817625000000089,1.0,3.65e-2
390,0.983300000000008,1.0,2.9500000000000005e-2
400,0.9839500000000088,1.0,3.250000000000001e-2
410,0.981662500000009,1.0,3.150000000000001e-2
420,0.9816250000000095,1.0,3.600000000000001e-2
430,0.9827375000000085,1.0,3.450000000000001e-2
440,0.9812000000000088,1.0,4.6000000000000006e-2
450,0.9812875000000105,1.0,4.0000000000000015e-2
460,0.9821000000000083,1.0,3.500000000000001e-2
470,0.9828625000000096,1.0,3.450000000000001e-2
480,0.9813875000000093,1.0,3.9000000000000014e-2
490,0.9817500000000088,1.0,3.800000000000001e-2
500,0.9831250000000079,1.0,3.6500000000000005e-2
