Up to date
generation,meanFitness,bestFitness,diversity
0,0.4994100000000005,0.65,0.49899999999999994
10,0.7934149999999829,0.9,0.32949999999999996
20,0.9412600000000276,1.0,0.11150000000000004
30,0.979360000000015,1.0,3.650000000000001e-2
40,0.9822750000000131,1.0,2.950000000000001e-2
50,0.9820400000000132,1.0,3.1500000000000014e-2
60,0.9830400000000125,1.0,3.65e-2
70,0.9823400000000128,1.0,3.95e-2
80,0.982130000000013,1.0,3.750000000000001e-2
90,0.9824850000000127,1.0,2.799999999999999e-2
100,0.9820650000000131,1.0,3.8e-2
110,0.982135000000013,1.0,3.850000000000001e-2
120,0.9822700000000135,1.0,3.9000000000000014e-2
130,0.982420000000013,1.0,3.9000000000000014e-2
140,0.9819800000000135,1.0,3.400000000000001e-2
150,0.9832250000000127,1.0,3.200000000000001e-2
160,0.9832450000000125,1.0,3.9500000000000014e-2
170,0.9824600000000129,1.0,3.8000000000000006e-2
180,0.982950000000013,1.0,2.900000000000001e-2
190,0.9829700000000126,1.0,3.2000000000000015e-2
200,0.9829350000000124,1.0,3.650000000000001e-2
210,0.9818300000000133,1.0,3.5500000000000004e-2
220,0.9826850000000129,1.0,2.8000000000000004e-2
230,0.9824850000000128,1.0,4.15e-2
240,0.9825250000000131,1.0,4.1000000000000016e-2
250,0.9819100000000133,1.0,3.200000000000001e-2
260,0.9818450000000134,1.0,3.850000000000001e-2
270,0.9820650000000132,1.0,3.75e-2
280,0.9820750000000134,1.0,3.0500000000000006e-2
290,0.9824200000000132,1.0,3.400000000000001e-2
300,0.9825750000000129,1.0,3.15e-2
310,0.9812600000000138,1.0,4.6e-2
320,0.9814450000000133,1.0,3.35e-2
330,0.9830200000000129,1.0,2.8000000000000004e-2
340,0.982175000000013,1.0,3.6000000000000004e-2
350,0.9830850000000123,1.0,3.5500000000000004e-2
360,0.9814150000000135,1.0,3.500000000000002e-2
370,0.9823350000000132,1.0,3.450000000000001e-2
380,0.9818850000000134,1.0,3.4000000000000016e-2
390,0.982430000000013,1.0,3.100000000000001e-2
400,0.9823000000000133,1.0,3.650000000000001e-2
410,0.982585000000013,1.0,2.950000000000001e-2
420,0.9825100000000133,1.0,3.450000000000001e-2
430,0.9823250000000131,1.0,3.650000000000001e-2
440,0.9825100000000128,1.0,3.000000000000001e-2
450,0.9827950000000132,1.0,3.750000000000001e-2
460,0.9817600000000134,1.0,3.3499999999999995e-2
470,0.9828650000000129,1.0,3.300000000000001e-2
480,0.9828850000000128,1.0,2.3000000000000003e-2
490,0.9820550000000136,1.0,3.400000000000001e-2
500,0.9824600000000132,1.0,4.100000000000001e-2
