Build profile: -w ghc-9.4.7 -O1
In order, the following will be built (use -v for more details):
 - topology-experiments-0.1.0.0 (exe:topology-sim) (file src/MazeCore.hs changed)
Preprocessing executable 'topology-sim' for topology-experiments-0.1.0.0..
Building executable 'topology-sim' for topology-experiments-0.1.0.0..
[5 of 8] Compiling MazeCore         ( src/MazeCore.hs, /home/lyra/projects/Topology-experiments/dist-newstyle/build/aarch64-linux/ghc-9.4.7/topology-experiments-0.1.0.0/x/topology-sim/build/topology-sim/topology-sim-tmp/MazeCore.o ) [Source file changed]
[6 of 8] Compiling Maze8            ( src/Maze8.hs, /home/lyra/projects/Topology-experiments/dist-newstyle/build/aarch64-linux/ghc-9.4.7/topology-experiments-0.1.0.0/x/topology-sim/build/topology-sim/topology-sim-tmp/Maze8.o ) [Source file changed]
[7 of 8] Compiling Maze             ( src/Maze.hs, /home/lyra/projects/Topology-experiments/dist-newstyle/build/aarch64-linux/ghc-9.4.7/topology-experiments-0.1.0.0/x/topology-sim/build/topology-sim/topology-sim-tmp/Maze.o ) [MazeCore changed]
[8 of 8] Compiling Main             ( src/Main.hs, /home/lyra/projects/Topology-experiments/dist-newstyle/build/aarch64-linux/ghc-9.4.7/topology-experiments-0.1.0.0/x/topology-sim/build/topology-sim/topology-sim-tmp/Main.o ) [Maze changed]
[6 of 9] Compiling Maze8            ( src/Maze8.hs, /home/lyra/projects/Topology-experiments/dist-newstyle/build/aarch64-linux/ghc-9.4.7/topology-experiments-0.1.0.0/x/topology-sim/build/topology-sim/topology-sim-tmp/Maze8.o ) [Source file changed]
[8 of 9] Compiling Main             ( src/Main.hs, /home/lyra/projects/Topology-experiments/dist-newstyle/build/aarch64-linux/ghc-9.4.7/topology-experiments-0.1.0.0/x/topology-sim/build/topology-sim/topology-sim-tmp/Main.o ) [Maze8 changed]
[9 of 9] Linking /home/lyra/projects/Topology-experiments/dist-newstyle/build/aarch64-linux/ghc-9.4.7/topology-experiments-0.1.0.0/x/topology-sim/build/topology-sim/topology-sim [Objects changed]
generation,meanFitness,bestFitness,diversity
0,0.5010450000000002,0.66,0.49899999999999983
10,0.7932049999999841,0.89,0.3409999999999999
20,0.9428750000000261,1.0,0.11299999999999996
30,0.9797600000000147,1.0,3.3999999999999996e-2
40,0.9818250000000135,1.0,3.650000000000001e-2
50,0.9832500000000125,1.0,3.8000000000000006e-2
60,0.9825100000000131,1.0,3.9000000000000014e-2
70,0.9827800000000131,1.0,3.600000000000001e-2
80,0.9822850000000132,1.0,3.550000000000001e-2
90,0.9818450000000132,1.0,3.300000000000001e-2
100,0.9829300000000123,1.0,3.750000000000001e-2
110,0.9828750000000128,1.0,4.0e-2
120,0.9827500000000131,1.0,3.850000000000001e-2
130,0.9822400000000135,1.0,2.8500000000000004e-2
140,0.9824950000000129,1.0,4.350000000000002e-2
150,0.9828200000000133,1.0,2.900000000000001e-2
160,0.9823450000000136,1.0,3.2e-2
170,0.9818800000000139,1.0,3.7500000000000006e-2
180,0.9817100000000136,1.0,3.500000000000001e-2
190,0.9827700000000129,1.0,3.5500000000000004e-2
200,0.982275000000013,1.0,3.250000000000001e-2
210,0.9828800000000129,1.0,3.4e-2
220,0.9823900000000129,1.0,3.450000000000001e-2
230,0.9836650000000123,1.0,3.250000000000001e-2
240,0.9825700000000127,1.0,2.9000000000000005e-2
250,0.9824750000000134,1.0,3.250000000000001e-2
260,0.9817450000000139,1.0,4.4500000000000005e-2
270,0.9826200000000129,1.0,3.350000000000001e-2
280,0.982630000000013,1.0,3.550000000000001e-2
290,0.9823500000000134,1.0,3.650000000000001e-2
300,0.9822450000000134,1.0,3.7500000000000006e-2
310,0.982755000000013,1.0,2.9500000000000016e-2
320,0.9825950000000128,1.0,3.350000000000001e-2
330,0.9821050000000131,1.0,3.45e-2
340,0.9824700000000129,1.0,3.5500000000000004e-2
350,0.9820450000000136,1.0,3.150000000000001e-2
360,0.9829700000000129,1.0,3.550000000000001e-2
370,0.9833300000000125,1.0,3.700000000000001e-2
380,0.9829300000000132,1.0,2.95e-2
390,0.9822800000000136,1.0,3.9000000000000014e-2
400,0.9818500000000131,1.0,3.650000000000001e-2
410,0.9822500000000131,1.0,3.750000000000001e-2
420,0.9811350000000136,1.0,3.6000000000000004e-2
430,0.9822700000000136,1.0,3.05e-2
440,0.9827700000000128,1.0,2.9500000000000005e-2
450,0.9827100000000131,1.0,3.150000000000001e-2
460,0.9828700000000128,1.0,3.45e-2
470,0.982165000000013,1.0,3.0500000000000006e-2
480,0.9827550000000126,1.0,3.550000000000001e-2
490,0.9824300000000129,1.0,3.500000000000001e-2
500,0.9827100000000129,1.0,3.600000000000001e-2
