Up to date
generation,meanFitness,bestFitness,diversity
0,0.5018649999999993,0.68,0.507
10,0.7934099999999805,0.91,0.33399999999999996
20,0.9389350000000285,0.99,0.10800000000000001
30,0.9792750000000152,1.0,3.850000000000001e-2
40,0.9818900000000136,1.0,2.7999999999999997e-2
50,0.9816600000000136,1.0,2.6500000000000006e-2
60,0.9814250000000143,1.0,3.8000000000000006e-2
70,0.9813750000000134,1.0,3.800000000000001e-2
80,0.9819900000000135,1.0,3.400000000000001e-2
90,0.9826250000000131,1.0,3.750000000000001e-2
100,0.9819800000000134,1.0,3.2499999999999994e-2
110,0.9819200000000134,1.0,4.1000000000000016e-2
120,0.982620000000013,1.0,4.0000000000000015e-2
130,0.9824450000000131,1.0,3.300000000000001e-2
140,0.9821700000000126,1.0,3.800000000000001e-2
150,0.9826500000000127,1.0,3.350000000000001e-2
160,0.9828750000000129,1.0,2.7500000000000007e-2
170,0.9834550000000123,1.0,3.9000000000000014e-2
180,0.9822750000000133,1.0,3.7e-2
190,0.9830400000000125,1.0,3.75e-2
200,0.9814900000000136,1.0,3.400000000000001e-2
210,0.9820550000000133,1.0,2.7500000000000004e-2
220,0.9825400000000133,1.0,4.4000000000000004e-2
230,0.9825700000000127,1.0,3.95e-2
240,0.9823500000000132,1.0,3.400000000000001e-2
250,0.9818500000000134,1.0,3.450000000000001e-2
260,0.9820200000000133,1.0,3.900000000000001e-2
270,0.981855000000014,1.0,3.85e-2
280,0.982410000000013,1.0,3.450000000000001e-2
290,0.9826650000000129,1.0,3.3000000000000015e-2
300,0.982635000000013,1.0,2.7500000000000004e-2
310,0.9830700000000127,1.0,3.250000000000001e-2
320,0.9826850000000131,1.0,3.4499999999999996e-2
330,0.9831250000000129,1.0,3.250000000000001e-2
340,0.9815400000000137,1.0,3.95e-2
350,0.9828500000000129,1.0,3.1000000000000007e-2
360,0.9823150000000131,1.0,2.6500000000000003e-2
370,0.9821600000000131,1.0,3.650000000000001e-2
380,0.9818500000000135,1.0,3.5500000000000004e-2
390,0.9820450000000133,1.0,3.300000000000001e-2
400,0.982700000000013,1.0,3.300000000000001e-2
410,0.9826350000000132,1.0,3.150000000000001e-2
420,0.9823800000000131,1.0,3.650000000000001e-2
430,0.9823400000000134,1.0,3.350000000000001e-2
440,0.9825850000000128,1.0,3.000000000000001e-2
450,0.9818350000000136,1.0,3.600000000000001e-2
460,0.9824600000000128,1.0,3.1000000000000007e-2
470,0.9819150000000134,1.0,3.250000000000001e-2
480,0.9830650000000125,1.0,3.200000000000001e-2
490,0.9832250000000123,1.0,3.150000000000001e-2
500,0.9831550000000122,1.0,2.9500000000000005e-2
