Up to date
generation,meanFitness,bestFitness,diversity
0,0.4997576923076925,0.66,0.48200000000000004
10,0.7934884615384399,0.9,0.3165
20,0.9407000000000126,1.0,0.11050000000000001
30,0.9789730769230713,1.0,3.800000000000001e-2
40,0.9821576923076829,1.0,3.550000000000001e-2
50,0.9822461538461453,1.0,3.250000000000001e-2
60,0.983219230769222,1.0,3.350000000000001e-2
70,0.9823038461538389,1.0,3.500000000000002e-2
80,0.9816576923076847,1.0,3.300000000000001e-2
90,0.9823307692307602,1.0,3.1000000000000007e-2
100,0.9825615384615309,1.0,3.700000000000001e-2
110,0.9825884615384534,1.0,3.4499999999999996e-2
120,0.9823730769230685,1.0,3.300000000000001e-2
130,0.9825269230769144,1.0,3.650000000000001e-2
140,0.9816384615384536,1.0,3.550000000000001e-2
150,0.9831115384615283,1.0,3.1000000000000007e-2
160,0.9828269230769126,1.0,3.850000000000001e-2
170,0.9826192307692223,1.0,4.1500000000000016e-2
180,0.9826692307692219,1.0,3.800000000000001e-2
190,0.9825499999999903,1.0,3.750000000000001e-2
200,0.9828423076922981,1.0,2.9500000000000005e-2
210,0.9822769230769156,1.0,3.300000000000001e-2
220,0.9828769230769137,1.0,3.350000000000001e-2
230,0.9828423076923012,1.0,2.5000000000000005e-2
240,0.9826384615384527,1.0,3.400000000000001e-2
250,0.9822538461538372,1.0,3.600000000000001e-2
260,0.9819730769230686,1.0,3.8000000000000006e-2
270,0.9824076923076831,1.0,3.500000000000001e-2
280,0.9819692307692218,1.0,2.5e-2
290,0.9826769230769152,1.0,2.9500000000000005e-2
300,0.9821230769230699,1.0,3.350000000000001e-2
310,0.9822192307692238,1.0,3.750000000000001e-2
320,0.9820923076922989,1.0,3.200000000000001e-2
330,0.9829423076923001,1.0,4.000000000000001e-2
340,0.9824961538461437,1.0,4.15e-2
350,0.9826884615384535,1.0,3.750000000000001e-2
360,0.9815692307692235,1.0,3.450000000000001e-2
370,0.981853846153838,1.0,3.450000000000001e-2
380,0.982007692307684,1.0,3.6500000000000005e-2
390,0.9824653846153767,1.0,3.450000000000001e-2
400,0.9822538461538372,1.0,3.250000000000001e-2
410,0.9827499999999918,1.0,3.250000000000001e-2
420,0.982249999999992,1.0,3.850000000000001e-2
430,0.9818269230769152,1.0,3.300000000000001e-2
440,0.9829269230769148,1.0,3.95e-2
450,0.9826192307692219,1.0,3.800000000000001e-2
460,0.9815730769230693,1.0,3.400000000000001e-2
470,0.9823807692307613,1.0,3.350000000000001e-2
480,0.9823346153846071,1.0,3.800000000000001e-2
490,0.9826115384615324,1.0,3.2000000000000015e-2
500,0.9825384615384531,1.0,3.55e-2
