Up to date
generation,meanFitness,bestFitness,diversity
0,0.5008999999999997,0.65,0.502
10,0.7896499999999997,0.88,0.303
20,0.9393166666666686,0.99,0.11700000000000002
30,0.978200000000007,1.0,4.250000000000001e-2
40,0.9811666666666728,1.0,3.700000000000001e-2
50,0.9815333333333407,1.0,3.550000000000001e-2
60,0.9827500000000065,1.0,3.55e-2
70,0.9820666666666731,1.0,3.250000000000001e-2
80,0.9835833333333386,1.0,3.600000000000002e-2
90,0.9834500000000064,1.0,3.750000000000001e-2
100,0.9816166666666736,1.0,3.500000000000001e-2
110,0.9835166666666718,1.0,4.0000000000000015e-2
120,0.9825000000000065,1.0,3.0000000000000006e-2
130,0.9804666666666727,1.0,4.500000000000001e-2
140,0.9819666666666738,1.0,3.600000000000001e-2
150,0.9818000000000067,1.0,3.400000000000001e-2
160,0.9815166666666729,1.0,3.35e-2
170,0.9827166666666729,1.0,2.7000000000000007e-2
180,0.9832833333333401,1.0,3.600000000000001e-2
190,0.9835333333333396,1.0,3.9500000000000014e-2
200,0.9811166666666736,1.0,3.0500000000000006e-2
210,0.9821500000000062,1.0,3.750000000000001e-2
220,0.9823333333333399,1.0,4.100000000000002e-2
230,0.9825666666666732,1.0,3.850000000000001e-2
240,0.9812000000000066,1.0,3.500000000000002e-2
250,0.9824000000000072,1.0,3.400000000000001e-2
260,0.9806500000000065,1.0,4.8000000000000015e-2
270,0.9821500000000062,1.0,3.650000000000001e-2
280,0.9837000000000061,1.0,3.5e-2
290,0.9820666666666736,1.0,3.150000000000001e-2
300,0.9832500000000062,1.0,3.45e-2
310,0.9826833333333396,1.0,3.550000000000001e-2
320,0.980900000000007,1.0,4.650000000000001e-2
330,0.9830500000000065,1.0,3.300000000000001e-2
340,0.981316666666673,1.0,3.6000000000000004e-2
350,0.9815666666666739,1.0,3.250000000000001e-2
360,0.9836833333333397,1.0,3.15e-2
370,0.9827666666666734,1.0,3.7000000000000005e-2
380,0.9829000000000064,1.0,3.4999999999999996e-2
390,0.9838166666666727,1.0,2.6500000000000003e-2
400,0.9843000000000065,1.0,2.8000000000000004e-2
410,0.9818833333333401,1.0,3.450000000000002e-2
420,0.9810500000000062,1.0,3.200000000000001e-2
430,0.9815333333333399,1.0,2.9500000000000005e-2
440,0.9824000000000062,1.0,3.95e-2
450,0.9822500000000078,1.0,3.250000000000001e-2
460,0.98293333333334,1.0,3.750000000000001e-2
470,0.9832333333333406,1.0,3.0e-2
480,0.98213333333334,1.0,3.650000000000001e-2
490,0.9825833333333397,1.0,3.350000000000001e-2
500,0.9826833333333395,1.0,2.9000000000000005e-2
