Up to date
generation,meanFitness,bestFitness,diversity
0,0.5015791666666661,0.68,0.49400000000000005
10,0.7937666666666459,0.9,0.331
20,0.9371250000000221,1.0,0.12100000000000002
30,0.9793875000000009,1.0,3.600000000000001e-2
40,0.9829416666666652,1.0,3.750000000000001e-2
50,0.9830708333333301,1.0,3.300000000000001e-2
60,0.9829416666666652,1.0,2.6500000000000003e-2
70,0.9823958333333316,1.0,3.2500000000000015e-2
80,0.9825374999999974,1.0,3.250000000000001e-2
90,0.9829291666666654,1.0,3.300000000000001e-2
100,0.9823208333333308,1.0,3.1000000000000007e-2
110,0.9829708333333319,1.0,3.9000000000000014e-2
120,0.9822999999999998,1.0,3.25e-2
130,0.9821874999999979,1.0,3.950000000000001e-2
140,0.9826583333333324,1.0,3.850000000000001e-2
150,0.9821750000000001,1.0,3.1000000000000007e-2
160,0.9828583333333321,1.0,3.250000000000001e-2
170,0.9822374999999992,1.0,3.000000000000001e-2
180,0.9826291666666661,1.0,2.8000000000000008e-2
190,0.9822208333333329,1.0,3.650000000000001e-2
200,0.9819333333333323,1.0,3.200000000000001e-2
210,0.9827083333333324,1.0,3.600000000000001e-2
220,0.982529166666666,1.0,3.45e-2
230,0.9823208333333324,1.0,3.0500000000000006e-2
240,0.9825458333333325,1.0,3.15e-2
250,0.9818958333333317,1.0,3.500000000000002e-2
260,0.9822083333333322,1.0,3.500000000000001e-2
270,0.982504166666666,1.0,3.400000000000001e-2
280,0.9831874999999993,1.0,3.0500000000000006e-2
290,0.9820708333333313,1.0,3.9500000000000014e-2
300,0.9821374999999978,1.0,3.250000000000001e-2
310,0.9814291666666679,1.0,3.800000000000001e-2
320,0.9827291666666657,1.0,3.000000000000001e-2
330,0.9825499999999988,1.0,4.0e-2
340,0.9832874999999982,1.0,3.750000000000001e-2
350,0.9823041666666668,1.0,3.650000000000001e-2
360,0.9826833333333324,1.0,3.9000000000000014e-2
370,0.9832291666666642,1.0,2.8500000000000004e-2
380,0.9823166666666658,1.0,3.350000000000001e-2
390,0.9824874999999997,1.0,3.55e-2
400,0.9816749999999996,1.0,3.150000000000001e-2
410,0.9818208333333331,1.0,3.800000000000001e-2
420,0.9824416666666648,1.0,3.300000000000001e-2
430,0.9827916666666645,1.0,3.8e-2
440,0.9819125000000003,1.0,3.9000000000000014e-2
450,0.9820958333333326,1.0,4.2000000000000016e-2
460,0.9821999999999992,1.0,3.500000000000001e-2
470,0.9821833333333321,1.0,3.8e-2
480,0.9823458333333323,1.0,3.2499999999999994e-2
490,0.982183333333332,1.0,3.6500000000000005e-2
500,0.9827749999999986,1.0,2.8000000000000008e-2
