Up to date
generation,meanFitness,bestFitness,diversity
0,0.5025611111111103,0.69,0.5165
10,0.7971222222222074,0.89,0.337
20,0.9398388888889126,1.0,0.10100000000000005
30,0.9806166666666805,1.0,3.9000000000000014e-2
40,0.9830833333333459,1.0,3.35e-2
50,0.9828333333333458,1.0,3.550000000000001e-2
60,0.9825888888889017,1.0,2.8000000000000004e-2
70,0.9821000000000134,1.0,3.0000000000000006e-2
80,0.9821111111111243,1.0,3.500000000000001e-2
90,0.9827722222222351,1.0,3.1500000000000014e-2
100,0.9822055555555683,1.0,3.400000000000001e-2
110,0.9835222222222344,1.0,3.550000000000001e-2
120,0.9826611111111234,1.0,3.0999999999999993e-2
130,0.9821666666666792,1.0,2.9000000000000005e-2
140,0.9822166666666798,1.0,3.6000000000000004e-2
150,0.9827666666666792,1.0,3.350000000000001e-2
160,0.9823555555555682,1.0,3.500000000000001e-2
170,0.9834388888889006,1.0,2.7000000000000007e-2
180,0.9824722222222352,1.0,3.650000000000001e-2
190,0.9822111111111244,1.0,3.800000000000001e-2
200,0.9823777777777903,1.0,3.450000000000001e-2
210,0.9828333333333455,1.0,3.05e-2
220,0.9828388888889016,1.0,3.5e-2
230,0.9827000000000125,1.0,3.800000000000001e-2
240,0.9833000000000125,1.0,4.0e-2
250,0.9826166666666795,1.0,3.2000000000000015e-2
260,0.9824333333333464,1.0,2.8000000000000004e-2
270,0.9821722222222349,1.0,3.250000000000001e-2
280,0.9828444444444568,1.0,2.8000000000000008e-2
290,0.9823388888889021,1.0,4.650000000000002e-2
300,0.98317777777779,1.0,4.05e-2
310,0.9824611111111238,1.0,3.849999999999999e-2
320,0.9829833333333455,1.0,2.9000000000000005e-2
330,0.9825944444444576,1.0,3.55e-2
340,0.9822111111111238,1.0,3.800000000000001e-2
350,0.9824666666666796,1.0,3.050000000000001e-2
360,0.9825111111111238,1.0,3.800000000000001e-2
370,0.9826722222222347,1.0,3.150000000000001e-2
380,0.9826444444444572,1.0,3.400000000000001e-2
390,0.9815055555555691,1.0,3.05e-2
400,0.9825333333333464,1.0,3.450000000000001e-2
410,0.9831722222222343,1.0,3.4999999999999996e-2
420,0.9831722222222343,1.0,3.1e-2
430,0.9823944444444573,1.0,3.650000000000001e-2
440,0.9822611111111239,1.0,2.8000000000000004e-2
450,0.9827444444444569,1.0,2.5500000000000002e-2
460,0.9824000000000127,1.0,2.7000000000000007e-2
470,0.9824722222222346,1.0,3.750000000000001e-2
480,0.9822388888889018,1.0,3.200000000000001e-2
490,0.9825166666666789,1.0,2.8500000000000004e-2
500,0.9825944444444568,1.0,3.900000000000001e-2
