generation,meanFitness,bestFitness,diversity
0,0.274609375,0.46875,0.9941964285714289
10,0.299765625,0.53125,0.9933035714285714
20,0.305078125,0.53125,0.9928571428571429
30,0.306796875,0.53125,0.9897321428571428
40,0.299140625,0.46875,0.9941964285714284
50,0.30125,0.5,0.9919642857142856
60,0.2971875,0.5,0.9879464285714284
70,0.3165625,0.5,0.990625
80,0.311640625,0.53125,0.9883928571428571
90,0.310703125,0.53125,0.9915178571428569
100,0.307890625,0.625,0.9892857142857144
110,0.326171875,0.5625,0.9852678571428569
120,0.30859375,0.53125,0.9892857142857144
130,0.31078125,0.53125,0.9901785714285716
140,0.317421875,0.625,0.9861607142857143
150,0.30671875,0.5,0.9937499999999998
160,0.319453125,0.59375,0.9879464285714284
170,0.3053125,0.59375,0.9892857142857142
180,0.3059375,0.53125,0.99375
190,0.309296875,0.5,0.9892857142857142
200,0.30609375,0.59375,0.9897321428571427
210,0.31,0.53125,0.9919642857142857
220,0.325703125,0.53125,0.9888392857142858
230,0.319609375,0.5625,0.9897321428571431
240,0.3103125,0.53125,0.9883928571428571
250,0.30171875,0.5625,0.9924107142857144
260,0.309375,0.5625,0.9901785714285716
270,0.30734375,0.53125,0.9901785714285714
280,0.311484375,0.53125,0.9870535714285713
290,0.29796875,0.53125,0.9928571428571427
300,0.306875,0.53125,0.9870535714285713
310,0.3046875,0.53125,0.9874999999999998
320,0.306015625,0.5,0.9919642857142857
330,0.3021875,0.53125,0.9892857142857142
340,0.29890625,0.46875,0.9584821428571428
350,0.301484375,0.5,0.98125
360,0.303671875,0.5,0.9933035714285715
370,0.303984375,0.5625,0.9924107142857143
380,0.308984375,0.5625,0.9933035714285715
390,0.31703125,0.5,0.9910714285714283
400,0.311875,0.5625,0.9906250000000002
410,0.3015625,0.5,0.9866071428571429
420,0.304765625,0.5,0.9879464285714284
430,0.30578125,0.53125,0.9879464285714287
440,0.305078125,0.5625,0.9892857142857144
450,0.31359375,0.53125,0.9897321428571428
460,0.303125,0.5,0.9861607142857143
470,0.307421875,0.53125,0.971875
480,0.308671875,0.5,0.9924107142857144
490,0.298671875,0.53125,0.9915178571428571
500,0.31703125,0.59375,0.9915178571428571
