generation,meanFitness,bestFitness,diversity
0,0.27421875,0.5625,0.9933035714285714
10,0.31203125,0.5625,0.9919642857142856
20,0.306875,0.53125,0.9901785714285714
30,0.309921875,0.5625,0.9924107142857143
40,0.305703125,0.5,0.9852678571428571
50,0.303359375,0.5,0.9910714285714285
60,0.31,0.53125,0.9919642857142857
70,0.3071875,0.5,0.978125
80,0.30390625,0.5625,0.9910714285714286
90,0.306484375,0.53125,0.9915178571428571
100,0.3015625,0.53125,0.9888392857142858
110,0.301953125,0.53125,0.9928571428571429
120,0.316015625,0.53125,0.98125
130,0.29859375,0.53125,0.984375
140,0.3121875,0.5625,0.9901785714285716
150,0.312734375,0.5,0.9946428571428572
160,0.326796875,0.5625,0.9901785714285716
170,0.323671875,0.59375,0.9874999999999998
180,0.307734375,0.5,0.9870535714285715
190,0.305703125,0.46875,0.9897321428571427
200,0.311875,0.5625,0.9883928571428571
210,0.31421875,0.5,0.9767857142857143
220,0.311484375,0.5,0.9950892857142855
230,0.306953125,0.65625,0.9901785714285714
240,0.309453125,0.53125,0.9870535714285715
250,0.312734375,0.53125,0.9928571428571429
260,0.31171875,0.625,0.9897321428571427
270,0.303671875,0.53125,0.9861607142857143
280,0.316171875,0.53125,0.9915178571428573
290,0.307265625,0.53125,0.9700892857142855
300,0.3171875,0.5625,0.9888392857142858
310,0.3178125,0.5625,0.990625
320,0.308515625,0.5625,0.990625
330,0.307421875,0.5,0.9888392857142858
340,0.317890625,0.53125,0.9879464285714287
350,0.30359375,0.5,0.992410714285714
360,0.305546875,0.625,0.9915178571428571
370,0.308984375,0.5625,0.9848214285714285
380,0.322109375,0.59375,0.9946428571428573
390,0.309453125,0.5625,0.9910714285714285
400,0.308515625,0.59375,0.9901785714285716
410,0.307109375,0.53125,0.9915178571428571
420,0.3040625,0.5625,0.9937499999999998
430,0.321015625,0.5625,0.9651785714285713
440,0.311796875,0.5,0.9901785714285716
450,0.3053125,0.53125,0.990625
460,0.30265625,0.53125,0.9870535714285713
470,0.30890625,0.5,0.9910714285714285
480,0.301875,0.5,0.9946428571428572
490,0.30109375,0.5,0.9888392857142856
500,0.31015625,0.53125,0.990625
