generation,meanFitness,bestFitness,diversity
0,1.3003644615680841e-2,1.6129032258064516e-2,0.8901234567901234
10,1.765455556959193e-2,2.0833333333333332e-2,0.7333333333333333
20,2.1162154655291084e-2,2.631578947368421e-2,0.7734567901234568
30,2.5195311151330304e-2,3.125e-2,0.6734567901234568
40,2.8889493206196257e-2,3.571428571428571e-2,0.6802469135802469
50,3.185301697378902e-2,4.3478260869565216e-2,0.7216049382716049
60,3.327985163825875e-2,4.3478260869565216e-2,0.6895061728395061
70,3.429023206938679e-2,4.5454545454545456e-2,0.5820987654320987
80,3.692648880854512e-2,5.0e-2,0.5882716049382715
90,3.784083914564938e-2,5.0e-2,0.5098765432098765
100,4.02331839229578e-2,6.25e-2,0.5506172839506174
110,4.420485107363316e-2,6.666666666666667e-2,0.42098765432098767
120,4.543838053104458e-2,6.666666666666667e-2,0.4401234567901235
130,4.7276735826161535e-2,7.142857142857142e-2,0.3790123456790122
140,4.872475652086915e-2,7.692307692307693e-2,0.27283950617283953
150,4.914332218760245e-2,8.333333333333333e-2,0.3290123456790123
160,5.062415068399196e-2,7.692307692307693e-2,0.21049382716049383
170,5.221152627939223e-2,7.692307692307693e-2,0.16666666666666663
180,5.2337257519300115e-2,7.692307692307693e-2,0.1425925925925926
190,5.291428159115862e-2,8.333333333333333e-2,0.14259259259259258
200,5.264048953344968e-2,8.333333333333333e-2,0.14012345679012345
210,5.6654068517799486e-2,9.090909090909091e-2,0.13765432098765432
220,5.774229440203426e-2,9.090909090909091e-2,0.1339506172839506
230,5.821719399414256e-2,9.090909090909091e-2,0.1364197530864198
240,5.9113339297485155e-2,0.1,0.14382716049382713
250,5.911489070638552e-2,0.1,0.15925925925925924
260,5.931751078174557e-2,0.1,0.14938271604938272
270,6.2296772116946515e-2,0.1111111111111111,0.15617283950617283
280,6.355055665949302e-2,0.125,0.14320987654320988
290,6.623745223756672e-2,0.14285714285714285,0.14876543209876544
300,6.713521225347774e-2,0.125,0.13765432098765434
310,7.034491673243527e-2,0.14285714285714285,0.10925925925925925
320,7.033767412880942e-2,0.125,0.12654320987654322
330,7.521154679569847e-2,0.16666666666666666,0.12592592592592594
340,7.83733851787636e-2,0.2,0.1074074074074074
350,7.770446610278264e-2,0.2,0.1191358024691358
360,8.049876196271238e-2,0.2,9.691358024691359e-2
370,8.101842926165677e-2,0.2,9.93827160493827e-2
380,8.064105199496067e-2,0.2,0.10679012345679009
390,8.32275024597007e-2,0.16666666666666666,8.02469135802469e-2
400,7.878346539511406e-2,0.2,9.197530864197531e-2
410,7.797537463237846e-2,0.2,0.10123456790123457
420,7.618618165516307e-2,0.14285714285714285,9.876543209876543e-2
430,7.51943468253453e-2,0.2,9.753086419753088e-2
440,8.144296678768428e-2,0.2,8.641975308641973e-2
450,7.935820651871352e-2,0.16666666666666666,9.25925925925926e-2
460,7.812979081359334e-2,0.2,9.93827160493827e-2
470,7.922514492086863e-2,0.2,9.074074074074075e-2
480,8.288813135823599e-2,0.2,8.333333333333334e-2
490,7.82188939478994e-2,0.2,8.024691358024691e-2
500,8.195343242498819e-2,0.2,8.148148148148147e-2
