generation,meanFitness,bestFitness,diversity
0,1.2918105767103142e-2,1.5625e-2,0.893827160493827
10,1.7695905158894493e-2,2.0833333333333332e-2,0.7666666666666667
20,2.207165737942968e-2,2.631578947368421e-2,0.70679012345679
30,2.574902885866564e-2,3.225806451612903e-2,0.6907407407407407
40,2.901955493964019e-2,3.571428571428571e-2,0.6913580246913581
50,3.169168744217407e-2,4.0e-2,0.6611111111111112
60,3.4660001164031874e-2,4.3478260869565216e-2,0.5876543209876541
70,3.618730369909735e-2,4.5454545454545456e-2,0.6685185185185183
80,3.689483041250187e-2,5.0e-2,0.5938271604938272
90,3.702997626165861e-2,4.7619047619047616e-2,0.608641975308642
100,3.87018840149496e-2,6.25e-2,0.5672839506172841
110,4.0210095198159414e-2,5.263157894736842e-2,0.6000000000000001
120,4.1491008683766636e-2,5.8823529411764705e-2,0.5074074074074075
130,4.3315268633179936e-2,6.25e-2,0.4882716049382717
140,4.433091336586911e-2,6.666666666666667e-2,0.2962962962962962
150,4.3643762632556496e-2,6.666666666666667e-2,0.552469135802469
160,4.540001569675465e-2,6.666666666666667e-2,0.3932098765432098
170,4.573249095554128e-2,6.666666666666667e-2,0.35246913580246914
180,4.5891062081761295e-2,7.142857142857142e-2,0.39629629629629626
190,4.731137498678364e-2,8.333333333333333e-2,0.3641975308641974
200,5.033487749976437e-2,7.692307692307693e-2,0.3604938271604937
210,5.2078309222282924e-2,8.333333333333333e-2,0.24567901234567896
220,5.318329093532027e-2,9.090909090909091e-2,0.311111111111111
230,5.4088210185149886e-2,0.1,0.15493827160493823
240,5.672059211537372e-2,0.1111111111111111,0.14691358024691356
250,6.019601612062588e-2,0.1111111111111111,0.12345679012345681
260,6.071077117551254e-2,0.1111111111111111,0.1308641975308642
270,6.554664371155916e-2,0.14285714285714285,0.11172839506172838
280,6.736883577491005e-2,0.125,0.10925925925925925
290,6.925041119226501e-2,0.14285714285714285,0.10370370370370367
300,7.081678791251075e-2,0.14285714285714285,0.11172839506172838
310,7.493119679924852e-2,0.16666666666666666,0.10123456790123456
320,7.63035157996458e-2,0.14285714285714285,9.567901234567902e-2
330,7.884051139778693e-2,0.2,9.62962962962963e-2
340,8.266878311802771e-2,0.2,8.271604938271604e-2
350,8.175420086075968e-2,0.2,7.592592592592592e-2
360,8.648605416126715e-2,0.2,8.148148148148149e-2
370,8.482053110932768e-2,0.2,8.39506172839506e-2
380,8.373164961758238e-2,0.2,7.037037037037036e-2
390,7.906735434328312e-2,0.2,8.209876543209875e-2
400,7.940364720418908e-2,0.2,9.320987654320986e-2
410,7.907648901721963e-2,0.16666666666666666,8.209876543209878e-2
420,8.148067424977173e-2,0.2,8.950617283950617e-2
430,8.421177605504238e-2,0.2,9.012345679012347e-2
440,8.219148455603568e-2,0.14285714285714285,7.777777777777777e-2
450,8.480096291522385e-2,0.2,6.85185185185185e-2
460,8.521924695157981e-2,0.2,7.28395061728395e-2
470,8.30791533672726e-2,0.2,7.222222222222222e-2
480,8.625855011216857e-2,0.2,7.469135802469135e-2
490,8.286708107209283e-2,0.2,7.777777777777775e-2
500,7.952027062905459e-2,0.14285714285714285,7.469135802469137e-2
