generation,meanFitness,bestFitness,diversity
0,1.287298267880017e-2,1.639344262295082e-2,0.893827160493827
10,1.801957842098768e-2,2.127659574468085e-2,0.8506172839506172
20,2.18131200716789e-2,2.631578947368421e-2,0.7216049382716049
30,2.505412487146319e-2,3.125e-2,0.5820987654320986
40,2.7556638995555983e-2,3.4482758620689655e-2,0.578395061728395
50,3.0711150272234894e-2,4.0e-2,0.41913580246913584
60,3.399781489333166e-2,4.7619047619047616e-2,0.7592592592592592
70,3.7433923278890585e-2,5.0e-2,0.5117283950617284
80,4.134210411746611e-2,6.25e-2,0.593827160493827
90,4.3817110132461104e-2,7.142857142857142e-2,0.669753086419753
100,4.524655421689289e-2,7.142857142857142e-2,0.49444444444444446
110,4.72409846891565e-2,7.692307692307693e-2,0.43765432098765433
120,4.7321636954335604e-2,7.692307692307693e-2,0.6302469135802469
130,4.878601908667837e-2,9.090909090909091e-2,0.5592592592592593
140,4.897132816999687e-2,7.692307692307693e-2,0.5469135802469135
150,5.02025504152846e-2,9.090909090909091e-2,0.5475308641975308
160,5.151631238810626e-2,9.090909090909091e-2,0.5432098765432098
170,5.311053451980316e-2,8.333333333333333e-2,0.597530864197531
180,5.3882577290631894e-2,7.692307692307693e-2,0.5271604938271605
190,5.393483926098686e-2,0.1,0.4783950617283949
200,5.638969141957946e-2,0.1,0.3981481481481482
210,5.8045751177805506e-2,9.090909090909091e-2,0.4783950617283951
220,5.830106555322194e-2,0.1,0.43580246913580245
230,5.780650608455758e-2,0.1,0.46913580246913594
240,5.999288370737345e-2,0.1111111111111111,0.49938271604938256
250,5.8173773504243756e-2,9.090909090909091e-2,0.4259259259259259
260,5.974421056202594e-2,0.1,0.49876543209876545
270,5.8618211639469654e-2,9.090909090909091e-2,0.5382716049382716
280,6.17661052142646e-2,0.1111111111111111,0.4512345679012347
290,6.220641991214244e-2,0.1,0.48456790123456794
300,6.0871092885274695e-2,0.1,0.4253086419753086
310,6.205351338342493e-2,0.125,0.2728395061728395
320,6.351732679533868e-2,0.125,0.4901234567901235
330,6.105723567592431e-2,0.125,0.5358024691358024
340,6.28811830823963e-2,0.125,0.4617283950617284
350,6.352193354741316e-2,0.125,0.5691358024691359
360,6.266262778870976e-2,0.125,0.34320987654320995
370,6.15526042624088e-2,0.125,0.5203703703703705
380,6.003056414428075e-2,0.1,0.41296296296296287
390,6.2091444753478726e-2,0.125,0.49259259259259247
400,6.424524308951475e-2,0.1,0.44197530864197543
410,6.318705509699844e-2,0.1,0.5574074074074075
420,6.110606769204835e-2,0.125,0.3018518518518519
430,6.291272331273592e-2,0.1,0.5228395061728394
440,6.128705721261589e-2,0.1,0.6364197530864197
450,6.26591928067708e-2,0.1111111111111111,0.5672839506172839
460,5.883109140451991e-2,0.1,0.45000000000000007
470,6.207129296908209e-2,0.1,0.4901234567901235
480,6.2354445827002794e-2,0.125,0.5283950617283951
490,6.315850847377305e-2,0.125,0.519753086419753
500,6.1918989095494224e-2,0.125,0.3469135802469136
