generation,meanFitness,bestFitness,diversity
0,0.27421875,0.5,0.9892857142857142
10,0.313125,0.5,0.9852678571428571
20,0.305234375,0.53125,0.9892857142857144
30,0.312265625,0.46875,0.9897321428571428
40,0.2990625,0.5,0.99375
50,0.306328125,0.59375,0.9919642857142857
60,0.29578125,0.5,0.9897321428571428
70,0.3175,0.59375,0.9808035714285716
80,0.3090625,0.5625,0.9875
90,0.311171875,0.5,0.990625
100,0.300078125,0.53125,0.9946428571428572
110,0.30625,0.59375,0.9897321428571431
120,0.305703125,0.53125,0.9933035714285714
130,0.309375,0.5625,0.9875000000000002
140,0.305859375,0.5625,0.9915178571428573
150,0.308125,0.53125,0.9892857142857144
160,0.313359375,0.5,0.990625
170,0.295859375,0.5,0.9919642857142856
180,0.31078125,0.5625,0.9857142857142858
190,0.30484375,0.53125,0.9852678571428571
200,0.313984375,0.5625,0.9915178571428571
210,0.303046875,0.53125,0.9892857142857144
220,0.30484375,0.46875,0.9897321428571428
230,0.29265625,0.5,0.9875
240,0.309140625,0.53125,0.9888392857142858
250,0.295546875,0.5,0.9901785714285716
260,0.311953125,0.5625,0.9946428571428572
270,0.30890625,0.625,0.9767857142857143
280,0.315390625,0.59375,0.9866071428571429
290,0.312734375,0.59375,0.9825892857142857
300,0.308515625,0.5625,0.9910714285714285
310,0.293359375,0.5,0.9834821428571429
320,0.301796875,0.5625,0.9857142857142858
330,0.306953125,0.5,0.9897321428571427
340,0.308203125,0.53125,0.9888392857142858
350,0.311796875,0.5,0.9910714285714286
360,0.313984375,0.53125,0.9897321428571427
370,0.31078125,0.59375,0.9915178571428573
380,0.311328125,0.53125,0.9781249999999998
390,0.320546875,0.5625,0.9879464285714284
400,0.310859375,0.5,0.98125
410,0.308359375,0.5625,0.9924107142857143
420,0.30984375,0.5,0.9919642857142857
430,0.314765625,0.625,0.9848214285714285
440,0.3028125,0.5,0.9776785714285715
450,0.31265625,0.5625,0.9897321428571428
460,0.29609375,0.5,0.9901785714285716
470,0.302265625,0.5,0.9857142857142855
480,0.307265625,0.59375,0.9919642857142856
490,0.303515625,0.5,0.990625
500,0.305,0.46875,0.9888392857142858
