generation,meanFitness,bestFitness,diversity
0,0.275,0.5,0.9919642857142857
10,0.3015625,0.5625,0.9892857142857144
20,0.305390625,0.53125,0.9901785714285714
30,0.315,0.5625,0.9901785714285716
40,0.31671875,0.53125,0.9839285714285715
50,0.319140625,0.53125,0.990625
60,0.310703125,0.5625,0.9928571428571429
70,0.31421875,0.5625,0.9879464285714284
80,0.29765625,0.5,0.9861607142857143
90,0.32375,0.625,0.9888392857142858
100,0.307265625,0.5625,0.9754464285714283
110,0.3125,0.53125,0.9901785714285714
120,0.2996875,0.5625,0.9919642857142857
130,0.304765625,0.53125,0.9901785714285714
140,0.30640625,0.59375,0.990625
150,0.308125,0.46875,0.9933035714285714
160,0.32421875,0.5625,0.99375
170,0.300859375,0.5,0.9879464285714284
180,0.310703125,0.53125,0.9915178571428573
190,0.312890625,0.5625,0.9888392857142856
200,0.305625,0.53125,0.9839285714285714
210,0.3125,0.5,0.9946428571428572
220,0.3028125,0.5,0.9473214285714286
230,0.3115625,0.53125,0.9928571428571427
240,0.309921875,0.5625,0.9875
250,0.29953125,0.5,0.9875
260,0.306328125,0.59375,0.9910714285714285
270,0.30890625,0.53125,0.9879464285714284
280,0.30515625,0.53125,0.99375
290,0.3115625,0.5625,0.9910714285714285
300,0.306796875,0.53125,0.9839285714285712
310,0.315859375,0.53125,0.9888392857142858
320,0.305078125,0.5,0.9933035714285715
330,0.30671875,0.53125,0.9933035714285714
340,0.3059375,0.53125,0.9901785714285717
350,0.306484375,0.53125,0.9901785714285716
360,0.30828125,0.53125,0.9848214285714285
370,0.3084375,0.53125,0.9861607142857144
380,0.31140625,0.53125,0.9888392857142856
390,0.30921875,0.53125,0.984375
400,0.3140625,0.53125,0.9825892857142856
410,0.303828125,0.5,0.9924107142857143
420,0.3128125,0.5625,0.9897321428571428
430,0.311171875,0.5,0.9861607142857144
440,0.316875,0.5625,0.9892857142857142
450,0.316953125,0.59375,0.9910714285714286
460,0.303984375,0.625,0.990625
470,0.30296875,0.5625,0.9575892857142858
480,0.30625,0.53125,0.9928571428571429
490,0.303984375,0.5625,0.9629464285714286
500,0.30796875,0.5,0.9906250000000002
