generation,meanFitness,bestFitness,diversity
0,0.275,0.5,0.9919642857142857
10,0.3015625,0.5625,0.9892857142857144
20,0.30625,0.53125,0.9843749999999998
30,0.30484375,0.5,0.9919642857142856
40,0.307734375,0.5625,0.9906250000000002
50,0.304375,0.5625,0.978125
60,0.319296875,0.5625,0.9875
70,0.30234375,0.46875,0.9910714285714286
80,0.31640625,0.5625,0.9866071428571427
90,0.310625,0.5,0.9897321428571428
100,0.312109375,0.5625,0.9870535714285713
110,0.31203125,0.5625,0.9897321428571428
120,0.298046875,0.53125,0.9910714285714285
130,0.3075,0.53125,0.986607142857143
140,0.300546875,0.53125,0.9910714285714288
150,0.294296875,0.46875,0.9910714285714286
160,0.299609375,0.53125,0.9919642857142856
170,0.310078125,0.5625,0.9897321428571428
180,0.30390625,0.5,0.9910714285714286
190,0.308515625,0.53125,0.9875
200,0.302578125,0.53125,0.9924107142857143
210,0.30203125,0.53125,0.9883928571428573
220,0.308125,0.5625,0.9897321428571425
230,0.312421875,0.53125,0.9928571428571429
240,0.3053125,0.5,0.9879464285714284
250,0.304609375,0.5,0.9910714285714286
260,0.30296875,0.53125,0.990625
270,0.300703125,0.53125,0.9892857142857142
280,0.301640625,0.5,0.9910714285714286
290,0.305078125,0.53125,0.9915178571428571
300,0.311484375,0.53125,0.9888392857142856
310,0.316875,0.625,0.9888392857142856
320,0.29671875,0.59375,0.9924107142857143
330,0.3040625,0.5625,0.9906250000000002
340,0.31328125,0.5625,0.9901785714285714
350,0.305859375,0.53125,0.9852678571428571
360,0.30375,0.5,0.9915178571428571
370,0.304453125,0.53125,0.9888392857142856
380,0.304296875,0.5,0.9888392857142858
390,0.307421875,0.53125,0.9883928571428573
400,0.3228125,0.59375,0.9866071428571427
410,0.309453125,0.53125,0.9857142857142858
420,0.299140625,0.5,0.9910714285714286
430,0.296015625,0.5,0.978125
440,0.304140625,0.53125,0.9901785714285714
450,0.309609375,0.53125,0.9919642857142857
460,0.3090625,0.5,0.9928571428571427
470,0.315078125,0.625,0.99375
480,0.30921875,0.53125,0.9973214285714287
490,0.315859375,0.5,0.9861607142857143
500,0.310546875,0.53125,0.9928571428571429
