generation,meanFitness,bestFitness,diversity
0,0.27421875,0.5,0.9892857142857142
10,0.313125,0.5,0.9852678571428571
20,0.30953125,0.53125,0.9901785714285716
30,0.309453125,0.5625,0.9924107142857143
40,0.311875,0.5,0.990625
50,0.309375,0.53125,0.9892857142857144
60,0.31703125,0.5625,0.9924107142857143
70,0.31265625,0.5625,0.975
80,0.306796875,0.5,0.9919642857142856
90,0.309921875,0.5625,0.9910714285714285
100,0.334453125,0.625,0.9915178571428573
110,0.308515625,0.5,0.9915178571428571
120,0.301953125,0.5625,0.9901785714285716
130,0.31421875,0.53125,0.988392857142857
140,0.312265625,0.59375,0.9910714285714285
150,0.3046875,0.5625,0.9919642857142856
160,0.30578125,0.5625,0.9946428571428573
170,0.3034375,0.53125,0.9879464285714287
180,0.306484375,0.5,0.9892857142857142
190,0.30625,0.5625,0.9906249999999999
200,0.332265625,0.625,0.9919642857142856
210,0.316015625,0.5,0.9888392857142858
220,0.306171875,0.5,0.9919642857142857
230,0.314375,0.53125,0.9870535714285713
240,0.30328125,0.5,0.9888392857142858
250,0.304609375,0.46875,0.9888392857142858
260,0.311328125,0.5625,0.9879464285714284
270,0.324921875,0.5625,0.98125
280,0.3071875,0.5625,0.990625
290,0.29515625,0.5625,0.9834821428571427
300,0.29625,0.53125,0.9910714285714285
310,0.308046875,0.625,0.9879464285714287
320,0.320625,0.59375,0.9866071428571429
330,0.318203125,0.53125,0.9892857142857141
340,0.303828125,0.5625,0.9933035714285715
350,0.303203125,0.53125,0.9883928571428571
360,0.293828125,0.5,0.984375
370,0.314296875,0.53125,0.9915178571428573
380,0.3290625,0.53125,0.9897321428571428
390,0.308984375,0.53125,0.9870535714285713
400,0.315625,0.59375,0.990625
410,0.311640625,0.53125,0.9892857142857144
420,0.319375,0.5625,0.991964285714286
430,0.326015625,0.53125,0.9897321428571431
440,0.319140625,0.53125,0.9767857142857143
450,0.3215625,0.5625,0.9834821428571427
460,0.298359375,0.5,0.986607142857143
470,0.30421875,0.5,0.9924107142857143
480,0.308515625,0.53125,0.990625
490,0.303046875,0.53125,0.9883928571428571
500,0.303359375,0.5,0.9892857142857142
