generation,meanFitness,bestFitness,diversity
0,0.4950250000000002,0.64,0.4880000000000001
10,0.7743250000000004,0.89,0.33499999999999996
20,0.9349500000000002,0.99,0.11400000000000002
30,0.9765750000000024,1.0,4.850000000000002e-2
40,0.9819250000000039,1.0,3.6000000000000004e-2
50,0.9826250000000034,1.0,3.000000000000001e-2
60,0.9827000000000038,1.0,3.8e-2
70,0.9824250000000024,1.0,3.500000000000001e-2
80,0.981700000000004,1.0,4.0000000000000015e-2
90,0.9822000000000035,1.0,3.500000000000001e-2
100,0.9817750000000034,1.0,3.05e-2
110,0.9812000000000032,1.0,4.1500000000000016e-2
120,0.9822250000000026,1.0,3.0e-2
130,0.9824000000000035,1.0,3.750000000000001e-2
140,0.984175000000003,1.0,2.9000000000000005e-2
150,0.982475000000003,1.0,3.600000000000001e-2
160,0.9825000000000037,1.0,3.0500000000000006e-2
170,0.9811250000000036,1.0,2.8000000000000004e-2
180,0.9827000000000041,1.0,2.8500000000000004e-2
190,0.9830250000000033,1.0,2.7500000000000004e-2
200,0.9822250000000037,1.0,4.1e-2
210,0.9822250000000038,1.0,3.750000000000001e-2
220,0.9834500000000029,1.0,2.8500000000000004e-2
230,0.9831000000000037,1.0,2.950000000000001e-2
240,0.9824250000000029,1.0,3.300000000000001e-2
250,0.9829000000000042,1.0,3.350000000000001e-2
260,0.9832500000000032,1.0,4.1e-2
270,0.9831750000000038,1.0,2.45e-2
280,0.9828750000000035,1.0,3.750000000000001e-2
290,0.9825250000000035,1.0,3.300000000000001e-2
300,0.9829000000000037,1.0,3.450000000000001e-2
310,0.9825500000000033,1.0,4.0500000000000015e-2
320,0.9813750000000038,1.0,3.750000000000001e-2
330,0.9809000000000029,1.0,3.9e-2
340,0.9835000000000035,1.0,2.7500000000000004e-2
350,0.9806500000000038,1.0,4.5000000000000005e-2
360,0.9798750000000027,1.0,3.800000000000001e-2
370,0.981025000000003,1.0,3.650000000000001e-2
380,0.9838000000000038,1.0,3.650000000000001e-2
390,0.9835500000000036,1.0,3.250000000000001e-2
400,0.9806750000000037,1.0,3.9000000000000014e-2
410,0.9817000000000035,1.0,3.450000000000001e-2
420,0.9818000000000037,1.0,2.8000000000000004e-2
430,0.9816500000000032,1.0,3.650000000000001e-2
440,0.9827250000000036,1.0,2.7500000000000007e-2
450,0.9818250000000032,1.0,3.350000000000001e-2
460,0.9821000000000023,1.0,3.4999999999999996e-2
470,0.9828750000000032,1.0,2.7500000000000004e-2
480,0.9803500000000028,1.0,4.500000000000001e-2
490,0.9822250000000032,1.0,3.0999999999999993e-2
500,0.9822750000000039,1.0,3.9500000000000014e-2
