generation,meanFitness,bestFitness,diversity
0,0.4985000000000003,0.62,0.499
10,0.7783500000000007,0.89,0.32399999999999995
20,0.9404499999999988,1.0,0.10800000000000003
30,0.9811000000000036,1.0,3.9000000000000014e-2
40,0.9816750000000029,1.0,3.9500000000000014e-2
50,0.9834750000000032,1.0,3.150000000000001e-2
60,0.9817750000000031,1.0,4.0500000000000015e-2
70,0.9828750000000039,1.0,3.450000000000001e-2
80,0.982850000000003,1.0,3.5e-2
90,0.9813500000000029,1.0,4.0e-2
100,0.9800000000000036,1.0,3.000000000000001e-2
110,0.9828750000000032,1.0,3.150000000000001e-2
120,0.9822000000000044,1.0,3.9500000000000014e-2
130,0.9812750000000036,1.0,4.900000000000001e-2
140,0.983200000000004,1.0,2.849999999999999e-2
150,0.9817500000000033,1.0,3.700000000000001e-2
160,0.9827500000000038,1.0,3.0000000000000006e-2
170,0.9824750000000033,1.0,3.550000000000001e-2
180,0.9800250000000035,1.0,3.7e-2
190,0.981150000000004,1.0,3.400000000000001e-2
200,0.9820750000000039,1.0,3.400000000000001e-2
210,0.9813000000000044,1.0,3.1000000000000007e-2
220,0.9816750000000032,1.0,3.900000000000001e-2
230,0.9845250000000035,1.0,3.0000000000000006e-2
240,0.9838000000000036,1.0,3.500000000000001e-2
250,0.9831500000000034,1.0,3.75e-2
260,0.9832000000000031,1.0,3.05e-2
270,0.9824750000000038,1.0,2.9500000000000005e-2
280,0.9823500000000034,1.0,2.8500000000000004e-2
290,0.9818750000000034,1.0,3.700000000000001e-2
300,0.9806250000000035,1.0,3.700000000000001e-2
310,0.9822750000000035,1.0,3.8500000000000006e-2
320,0.9814500000000029,1.0,4.2e-2
330,0.9824500000000036,1.0,3.300000000000001e-2
340,0.982275000000003,1.0,3.450000000000001e-2
350,0.9804250000000034,1.0,3.75e-2
360,0.9820250000000034,1.0,3.800000000000001e-2
370,0.9822000000000037,1.0,4.1e-2
380,0.9800750000000042,1.0,4.2000000000000016e-2
390,0.9815250000000038,1.0,3.3499999999999995e-2
400,0.9818250000000038,1.0,3.350000000000001e-2
410,0.9834250000000041,1.0,4.0500000000000015e-2
420,0.9837000000000038,1.0,3.400000000000001e-2
430,0.9829500000000035,1.0,3.3e-2
440,0.9819250000000036,1.0,4.150000000000001e-2
450,0.9824000000000028,1.0,3.600000000000001e-2
460,0.9815250000000033,1.0,3.6e-2
470,0.9819250000000035,1.0,4.050000000000001e-2
480,0.9837000000000039,1.0,2.7500000000000004e-2
490,0.9813750000000038,1.0,4.2e-2
500,0.9824500000000025,1.0,3.700000000000001e-2
